n_shots,accuracy,run_num,nspw,f1
32,0.124,0,32,0
32,0.14,1,32,0
32,0.184,2,32,0
32,0.176,3,32,0
32,0.208,4,32,0
32,0.208,4,32,0
32,0.208,4,32,0
32,0.208,4,32,0
64,0.236,0,64,0
64,0.308,1,64,0
64,0.264,2,64,0
64,0.256,3,64,0
64,0.28,4,64,0
64,0.28,4,64,0
64,0.28,4,64,0
64,0.28,4,64,0
128,0.46,0,128,0
128,0.42,1,128,0
128,0.456,2,128,0
128,0.396,3,128,0
128,0.408,4,128,0
128,0.408,4,128,0
128,0.408,4,128,0
128,0.408,4,128,0
256,0.148,0,256,0
256,0.592,1,256,0
256,0.596,2,256,0
256,0.612,3,256,0
256,0.648,4,256,0
256,0.648,4,256,0
256,0.648,4,256,0
256,0.648,4,256,0
512,0.56,0,512,0
512,0.56,0,512,0
512,0.56,0,512,0
512,0.504,1,512,0
512,0.536,2,512,0
512,0.532,3,512,0
512,0.532,4,512,0
1024,0.708,0,1024,0
1024,0.672,1,1024,0
1024,0.704,2,1024,0
1024,0.7,3,1024,0
1024,0.672,4,1024,0
2048,0.804,0,2048,0
2048,0.748,1,2048,0
2048,0.8,2,2048,0
2048,0.756,3,2048,0
2048,0.788,4,2048,0
4096,0.88,0,4096,0
4096,0.864,1,4096,0
4096,0.896,2,4096,0
4096,0.848,3,4096,0
4096,0.864,4,4096,0
8192,0.916,0,8192,0
8192,0.92,1,8192,0
8192,0.916,2,8192,0
8192,0.92,3,8192,0
8192,0.908,4,8192,0
16384,0.924,0,16384,0
16384,0.924,1,16384,0
16384,0.924,2,16384,0
16384,0.908,3,16384,0
16384,0.92,4,16384,0
