n_shots,accuracy,run_num,nspw,f1
32,0.208,0,32,0
32,0.236,1,32,0
32,0.208,2,32,0
32,0.264,3,32,0
32,0.208,4,32,0
64,0.292,0,64,0
64,0.34,1,64,0
64,0.26,2,64,0
64,0.36,3,64,0
64,0.28,4,64,0
128,0.524,0,128,0
128,0.456,1,128,0
128,0.404,2,128,0
128,0.496,3,128,0
128,0.456,4,128,0
256,0.824,0,256,0
256,0.648,1,256,0
256,0.664,2,256,0
256,0.676,3,256,0
256,0.68,4,256,0
512,0.732,0,512,0
512,0.776,1,512,0
512,0.792,2,512,0
512,0.82,3,512,0
512,0.796,4,512,0
1024,0.836,0,1024,0
1024,0.868,1,1024,0
1024,0.892,2,1024,0
1024,0.9,3,1024,0
1024,0.868,4,1024,0
2048,0.916,0,2048,0
2048,0.924,1,2048,0
2048,0.92,2,2048,0
2048,0.94,3,2048,0
2048,0.94,4,2048,0
4096,0.952,0,4096,0
4096,0.952,1,4096,0
4096,0.956,2,4096,0
4096,0.952,3,4096,0
4096,0.952,4,4096,0
8192,0.956,0,8192,0
8192,0.956,1,8192,0
8192,0.96,2,8192,0
8192,0.956,3,8192,0
8192,0.956,4,8192,0
16384,0.956,0,16384,0
16384,0.956,1,16384,0
16384,0.964,2,16384,0
16384,0.956,3,16384,0
16384,0.956,4,16384,0
