n_shots,accuracy,run_num,nspw,0
32,0.196,0,32,0
32,0.196,0,32,0
32,0.2,1,32,0
32,0.248,2,32,0
32,0.176,3,32,0
32,0.22,4,32,0
64,0.308,0,64,0
64,0.308,0,64,0
64,0.308,0,64,0
64,0.268,1,64,0
64,0.328,2,64,0
64,0.292,3,64,0
64,0.336,4,64,0
128,0.456,0,128,0
128,0.456,0,128,0
128,0.42,1,128,0
128,0.488,2,128,0
128,0.516,3,128,0
128,0.472,4,128,0
256,0.844,0,256,0
256,0.608,1,256,0
256,0.636,2,256,0
256,0.604,3,256,0
256,0.584,4,256,0
512,0.708,0,512,0
512,0.748,1,512,0
512,0.772,2,512,0
512,0.736,3,512,0
512,0.752,4,512,0
1024,0.812,0,1024,0
1024,0.784,1,1024,0
1024,0.844,2,1024,0
1024,0.84,3,1024,0
1024,0.832,4,1024,0
2048,0.892,0,2048,0
2048,0.888,1,2048,0
2048,0.916,2,2048,0
2048,0.908,3,2048,0
2048,0.892,4,2048,0
4096,0.932,0,4096,0
4096,0.94,1,4096,0
4096,0.944,2,4096,0
4096,0.94,3,4096,0
4096,0.936,4,4096,0
8192,0.952,0,8192,0
8192,0.948,1,8192,0
8192,0.944,2,8192,0
8192,0.94,3,8192,0
8192,0.948,4,8192,0
16384,0.952,0,16384,0
16384,0.948,1,16384,0
16384,0.944,2,16384,0
16384,0.94,3,16384,0
16384,0.948,4,16384,0
