n_shots,accuracy,run_num,nspw,f1
32,0.228,0,32,0
32,0.228,0,32,0
32,0.228,0,32,0
32,0.228,0,32,0
32,0.244,1,32,0
32,0.244,1,32,0
32,0.244,1,32,0
32,0.244,1,32,0
32,0.288,2,32,0
32,0.288,2,32,0
32,0.288,2,32,0
32,0.288,2,32,0
32,0.22,3,32,0
32,0.248,4,32,0
64,0.42,0,64,0
64,0.42,0,64,0
64,0.42,0,64,0
64,0.42,0,64,0
64,0.424,1,64,0
64,0.424,1,64,0
64,0.424,1,64,0
64,0.312,2,64,0
64,0.34,3,64,0
64,0.32,4,64,0
128,0.512,0,128,0
128,0.512,0,128,0
128,0.512,0,128,0
128,0.532,1,128,0
128,0.532,1,128,0
128,0.532,1,128,0
128,0.532,1,128,0
128,0.412,2,128,0
128,0.46,3,128,0
128,0.392,4,128,0
256,0.684,0,256,0
256,0.684,1,256,0
256,0.684,1,256,0
256,0.684,1,256,0
256,0.684,1,256,0
256,0.548,2,256,0
256,0.56,3,256,0
256,0.528,4,256,0
512,0.652,0,512,0
512,0.652,0,512,0
512,0.656,1,512,0
512,0.66,2,512,0
512,0.684,3,512,0
512,0.648,4,512,0
1024,0.712,0,1024,0
1024,0.712,0,1024,0
1024,0.712,0,1024,0
1024,0.728,1,1024,0
1024,0.724,2,1024,0
1024,0.728,3,1024,0
1024,0.744,4,1024,0
2048,0.788,0,2048,0
2048,0.796,1,2048,0
2048,0.768,2,2048,0
2048,0.804,3,2048,0
2048,0.788,4,2048,0
4096,0.824,0,4096,0
4096,0.816,1,4096,0
4096,0.824,2,4096,0
4096,0.852,3,4096,0
4096,0.856,4,4096,0
8192,0.848,0,8192,0
8192,0.84,1,8192,0
8192,0.84,2,8192,0
8192,0.86,3,8192,0
8192,0.848,4,8192,0
16384,0.876,0,16384,0
16384,0.876,1,16384,0
16384,0.872,2,16384,0
16384,0.88,3,16384,0
16384,0.868,4,16384,0
