n_shots,accuracy,run_num,nspw,f1
32,0.612,0,32,0
32,0.612,0,32,0
32,0.584,1,32,0
32,0.664,2,32,0
32,0.708,3,32,0
32,0.708,4,32,0
64,0.76,0,64,0
64,0.76,0,64,0
64,0.584,1,64,0
64,0.728,2,64,0
64,0.784,3,64,0
64,0.792,4,64,0
128,0.824,0,128,0
128,0.824,0,128,0
128,0.848,1,128,0
128,0.788,2,128,0
128,0.824,3,128,0
128,0.828,4,128,0
256,0.908,0,256,0
256,0.856,1,256,0
256,0.896,2,256,0
256,0.856,3,256,0
256,0.9,4,256,0
512,0.94,0,512,0
512,0.94,0,512,0
512,0.9,1,512,0
512,0.904,2,512,0
512,0.912,3,512,0
512,0.908,4,512,0
1024,0.964,0,1024,0
1024,0.948,1,1024,0
1024,0.948,2,1024,0
1024,0.944,3,1024,0
1024,0.952,4,1024,0
2048,0.96,0,2048,0
2048,0.968,1,2048,0
2048,0.952,2,2048,0
2048,0.956,3,2048,0
2048,0.964,4,2048,0
4096,0.964,0,4096,0
4096,0.968,1,4096,0
4096,0.972,2,4096,0
4096,0.976,3,4096,0
4096,0.972,4,4096,0
8192,0.972,0,8192,0
8192,0.972,1,8192,0
8192,0.972,2,8192,0
8192,0.976,3,8192,0
8192,0.972,4,8192,0
16384,0.972,0,16384,0
16384,0.972,1,16384,0
16384,0.972,2,16384,0
16384,0.976,3,16384,0
16384,0.972,4,16384,0
