n_shots,accuracy,run_num,nspw,f1
32,0.364,0,32,0
32,0.176,1,32,0
32,0.4,2,32,0
32,0.208,3,32,0
32,0.464,4,32,0
64,0.496,0,64,0
64,0.34,1,64,0
64,0.456,2,64,0
64,0.448,3,64,0
64,0.528,4,64,0
128,0.552,0,128,0
128,0.552,0,128,0
128,0.552,0,128,0
128,0.544,1,128,0
128,0.572,2,128,0
128,0.54,3,128,0
128,0.544,4,128,0
256,0.716,0,256,0
256,0.628,1,256,0
256,0.66,2,256,0
256,0.628,3,256,0
256,0.62,4,256,0
512,0.74,0,512,0
512,0.74,0,512,0
512,0.74,0,512,0
512,0.716,1,512,0
512,0.72,2,512,0
512,0.688,3,512,0
512,0.712,4,512,0
1024,0.828,0,1024,0
1024,0.828,0,1024,0
1024,0.784,1,1024,0
1024,0.76,2,1024,0
1024,0.796,3,1024,0
1024,0.796,4,1024,0
2048,0.86,0,2048,0
2048,0.828,1,2048,0
2048,0.836,2,2048,0
2048,0.836,3,2048,0
2048,0.824,4,2048,0
4096,0.88,0,4096,0
4096,0.868,1,4096,0
4096,0.884,2,4096,0
4096,0.88,3,4096,0
4096,0.876,4,4096,0
8192,0.888,0,8192,0
8192,0.9,1,8192,0
8192,0.904,2,8192,0
8192,0.896,3,8192,0
8192,0.9,4,8192,0
16384,0.888,0,16384,0
16384,0.908,1,16384,0
16384,0.904,2,16384,0
16384,0.896,3,16384,0
16384,0.9,4,16384,0
