n_shots,accuracy,run_num,nspw,f1
32,43.2,5,32,0.3533138732690904
32,44.800000000000004,2,32,0.3388632291229694
10,40.0,0,10,0.30110192837465555
25,40.8,7,25,0.34257965886971564
10,38.4,7,10,0.3085922166171907
25,41.6,0,25,0.34056126463041797
10,40.8,9,10,0.3171863490045308
25,44.4,9,25,0.3643540593984887
64,43.2,0,64,0.3919291606191663
5,32.4,9,5,0.23525962626997882
64,43.2,7,64,0.33029577162503065
64,50.4,9,64,0.42583733195489865
5,34.0,0,5,0.25768209298700545
5,36.0,7,5,0.2939033388753946
100,48.4,4,100,0.38758701615844476
50,36.4,6,50,0.3074864518810279
1,23.200000000000003,7,1,0.18347427819477508
1,25.2,0,1,0.1986827651834588
100,54.400000000000006,3,100,0.4695007923647706
50,52.800000000000004,1,50,0.42105313224885876
50,46.400000000000006,8,50,0.38608815426997245
1,22.0,9,1,0.17185271599886834
25,40.8,8,25,0.3219665447629569
10,34.4,8,10,0.24887141794182122
10,36.0,6,10,0.276709077358428
25,46.0,1,25,0.3743615137475282
10,36.8,1,10,0.28669871254286844
25,36.0,6,25,0.2806540450651454
32,37.2,3,32,0.3227605386183649
32,36.4,4,32,0.26602398323177556
50,44.4,9,50,0.35407397797008194
1,16.8,8,1,0.13021338261043597
1,24.0,1,1,0.1805064658882708
100,56.00000000000001,2,100,0.4745108130134868
50,45.6,0,50,0.40209448408354753
100,56.8,5,100,0.4821432896108221
50,44.0,7,50,0.35846661123489565
1,28.4,6,1,0.22489377866001245
5,36.8,6,5,0.29243458561640384
64,50.4,8,64,0.4245391693443641
5,36.0,1,5,0.2898778919388744
64,38.800000000000004,6,64,0.3423018413449035
64,56.00000000000001,1,64,0.4534785200369616
5,30.0,8,5,0.22153658030281406
100,54.0,8,100,0.4665723089851593
100,51.2,6,100,0.44192701874138096
50,42.0,4,50,0.32330732086873776
1,23.599999999999998,5,1,0.1836398113418694
1,20.4,2,1,0.15329404779165545
100,60.0,1,100,0.5206946429434467
50,41.6,3,50,0.3389664720833552
5,31.2,2,5,0.268700826378443
5,26.8,5,5,0.19661805246220831
64,48.0,2,64,0.3753589505308375
64,49.2,5,64,0.40681324447558215
10,38.4,2,10,0.3163351799715436
25,40.8,5,25,0.3231976560422307
10,36.8,5,10,0.298407323901395
25,38.4,2,25,0.3140425952114263
32,42.4,7,32,0.34504849905172097
32,39.6,0,32,0.3346210399485297
32,44.0,9,32,0.33265745999049845
64,42.4,4,64,0.30230443969336657
64,42.4,3,64,0.3237411474555136
5,30.8,4,5,0.239633048111309
5,39.6,3,5,0.31384506546844204
1,29.2,3,1,0.23307630610586275
100,51.6,0,100,0.415257321407054
50,43.6,2,50,0.3610487996851633
100,46.400000000000006,7,100,0.3879256025359921
50,49.2,5,50,0.41068855599031295
1,11.600000000000001,4,1,0.062223833896648165
100,48.4,9,100,0.4335935751531191
32,43.2,8,32,0.3477686454959181
32,44.800000000000004,1,32,0.37149440708907555
32,33.2,6,32,0.2773940560338372
10,38.0,4,10,0.33194263507479715
25,37.2,3,25,0.298598106625424
10,38.4,3,10,0.294832101096425
25,41.6,4,25,0.33566423103498927
