n_shots,accuracy,run_num,nspw,f1
5,45.2,3,5,0.3618111420743
5,33.6,4,5,0.2766024354654036
25,48.8,2,25,0.3862217929807957
10,44.0,5,10,0.4042128989690866
1,34.0,2,1,0.2724672185957468
1,5.6000000000000005,5,1,0.05978558582142009
25,53.6,5,25,0.4651458901756749
10,29.599999999999998,2,10,0.22413065165270935
32,60.0,9,32,0.462566901224909
32,65.60000000000001,0,32,0.5955454955600759
32,58.8,7,32,0.5153879715047435
5,44.4,5,5,0.4205561110535039
5,36.0,2,5,0.27234302576593167
32,57.599999999999994,6,32,0.5144175054079928
32,68.0,1,32,0.5879736923874238
32,57.199999999999996,8,32,0.4584290822098738
1,43.2,4,1,0.3695101429597013
25,43.6,4,25,0.3742343722193398
10,34.8,3,10,0.2940577351242171
25,48.0,3,25,0.37735389862330154
10,38.0,4,10,0.33479927646845836
1,7.6,3,1,0.07993157002444928
32,50.0,2,32,0.39755951209670587
32,54.400000000000006,5,32,0.4530831829303816
1,18.8,9,1,0.17589311251109607
25,57.99999999999999,9,25,0.4676826945708321
10,48.0,9,10,0.37160882163149234
25,54.800000000000004,0,25,0.49167483667443185
10,48.0,7,10,0.4268906210686049
1,15.2,0,1,0.12077463599202731
1,38.4,7,1,0.3225300591713406
25,55.2,7,25,0.49136971433158594
10,45.6,0,10,0.3889583513215779
5,30.8,8,5,0.23752259242230972
5,44.0,1,5,0.3676351712106861
5,44.800000000000004,6,5,0.37089522183272905
1,48.0,6,1,0.41128208578306347
25,52.400000000000006,6,25,0.45121966799313984
10,48.4,1,10,0.42830364979694413
25,62.8,1,25,0.5204486618386651
10,44.4,6,10,0.3227025545872916
1,45.6,1,1,0.39198825361845574
10,37.6,8,10,0.3056410579263765
1,15.6,8,1,0.12121053013437603
25,40.8,8,25,0.3083824703629826
32,56.00000000000001,4,32,0.5018925974499111
32,50.0,3,32,0.4333928235702967
5,32.800000000000004,7,5,0.27093683094270454
5,30.8,0,5,0.23549619287384757
5,42.4,9,5,0.3585578550075552
