n_shots,accuracy,run_num,nspw,f1
100,54.800000000000004,6,100,0.49656891553980526
5,33.2,2,5,0.2755367498664651
25,40.0,9,25,0.3137130204799377
5,26.8,5,5,0.21883713613036923
10,38.800000000000004,9,10,0.3051123691689008
100,65.60000000000001,1,100,0.5679646804350273
10,37.2,7,10,0.3004332629428122
25,38.0,0,25,0.3212465432472407
100,56.8,8,100,0.45660401901807557
10,40.400000000000006,0,10,0.3380241350507926
25,43.2,7,25,0.3648461312899816
32,44.4,2,32,0.3708111769930756
32,47.599999999999994,5,32,0.40037568188627654
1,29.599999999999998,5,1,0.23334286419385533
50,47.599999999999994,8,50,0.3979671205094388
1,26.400000000000002,2,1,0.22752420582742433
50,50.0,1,50,0.38314772793456997
50,36.4,6,50,0.29686332186332187
64,53.6,9,64,0.46013475320198005
64,44.4,7,64,0.34151042560133466
64,47.599999999999994,0,64,0.40224007962337743
32,42.0,4,32,0.3443238326696972
32,41.199999999999996,3,32,0.3937842134098819
100,52.800000000000004,9,100,0.4602696596645372
10,37.2,1,10,0.3195038354745924
25,33.6,6,25,0.3003274295704627
10,35.199999999999996,6,10,0.2580150752752345
25,44.800000000000004,1,25,0.3673692449791031
10,33.2,8,10,0.27610809293994526
5,34.4,4,5,0.2713202774222637
100,57.99999999999999,0,100,0.4892899308483724
100,54.800000000000004,7,100,0.4536623521716604
5,38.0,3,5,0.33103048694299547
25,42.4,8,25,0.3613272942149947
64,52.400000000000006,1,64,0.43118047276906996
64,46.400000000000006,6,64,0.38835600060896514
64,54.0,8,64,0.46183766666457343
50,43.6,7,50,0.3360164457480609
50,45.2,0,50,0.3758698732724706
1,32.4,3,1,0.28206133693146673
1,22.0,4,1,0.17243949655935256
50,44.0,9,50,0.35905123338112344
64,51.2,5,64,0.4397841696542995
64,49.6,2,64,0.42191093253977746
50,44.0,3,50,0.3893706479049707
1,25.6,9,1,0.20286941222770094
50,40.0,4,50,0.31419220368800194
1,23.599999999999998,7,1,0.20362624388598416
1,30.0,0,1,0.2373413769109035
32,42.8,9,32,0.3441335455005995
32,38.4,0,32,0.3418537090615012
32,42.4,7,32,0.3261651768145275
10,35.6,5,10,0.29399950557322596
5,32.800000000000004,9,5,0.25026806654002987
25,41.199999999999996,2,25,0.353408507646375
10,35.199999999999996,2,10,0.28719961970132846
25,42.0,5,25,0.34785642272046025
100,53.2,4,100,0.4561071684448307
5,35.6,0,5,0.294676462698903
5,32.0,7,5,0.25651120096109076
100,60.0,3,100,0.5126114866374606
1,26.8,1,1,0.2127736314911639
1,30.0,6,1,0.24586826692738017
1,22.0,8,1,0.1829928455530475
50,49.2,5,50,0.42619779244161055
50,48.8,2,50,0.42376966467875565
64,50.0,3,64,0.4115598687027259
64,45.6,4,64,0.3702664579287956
5,39.6,6,5,0.31074192952183377
100,60.0,2,100,0.49452345397623027
100,55.60000000000001,5,100,0.46545645686709214
5,34.0,1,5,0.2967063897344143
10,37.6,3,10,0.3005568025048545
25,40.0,4,25,0.3327842957483904
5,24.8,8,5,0.19613341204250295
10,36.4,4,10,0.3162678961681816
25,42.0,3,25,0.36956773575023744
32,34.0,6,32,0.28276443008232954
32,43.6,1,32,0.34885133996548906
32,44.800000000000004,8,32,0.3803967746893242
