n_shots,accuracy,run_num,nspw,f1
75,45.2,4,75,0.33983141175855575
75,48.4,3,75,0.38834149256227196
32,41.199999999999996,3,32,0.37655378532001915
32,40.400000000000006,4,32,0.3141694071328376
25,44.800000000000004,1,25,0.3545201300988991
10,35.199999999999996,6,10,0.25841106945003045
100,60.8,2,100,0.5051799499202095
100,57.199999999999996,5,100,0.500075811210265
25,37.2,6,25,0.3520909669413339
10,36.0,1,10,0.2972972108953774
25,42.0,8,25,0.35350138583221286
1,29.599999999999998,5,1,0.23334286419385533
1,26.400000000000002,2,1,0.22752420582742433
10,32.0,8,10,0.2507479855907743
64,42.8,6,64,0.38619400270117976
5,36.4,3,5,0.3048534353347187
64,55.2,1,64,0.456160393692057
5,32.800000000000004,4,5,0.2579186060389068
64,52.400000000000006,8,64,0.4402616142875882
50,47.599999999999994,0,50,0.41315182880459705
50,46.0,7,50,0.3615952144790954
50,40.0,9,50,0.32718308451465455
1,32.4,3,1,0.28206133693146673
10,40.0,9,10,0.3263811945630127
25,40.8,9,25,0.3276789079692059
1,22.0,4,1,0.17243949655935256
100,50.0,4,100,0.4040015464143968
25,43.2,7,25,0.3715364107075338
10,38.800000000000004,0,10,0.3244862973317014
25,40.0,0,25,0.3336932653968559
10,38.800000000000004,7,10,0.30810760484175304
100,57.99999999999999,3,100,0.4740606093989552
32,42.0,5,32,0.35640098246103497
32,43.2,2,32,0.3503464746780254
75,54.0,2,75,0.44130613443668815
75,54.400000000000006,5,75,0.460506176146183
50,48.4,8,50,0.3918406898789673
50,36.4,6,50,0.31217136122246486
50,51.2,1,50,0.4095477489576039
64,49.6,9,64,0.4096747427403613
64,48.0,0,64,0.42058536701393856
5,26.0,5,5,0.21133762717613652
64,49.2,7,64,0.37796382168039927
5,34.4,2,5,0.29409323683076244
50,44.0,2,50,0.3481538112172184
50,47.599999999999994,5,50,0.41931702003472343
5,29.2,8,5,0.24510197827122834
5,33.6,1,5,0.2718691549516607
64,46.0,4,64,0.35655646662140167
5,39.2,6,5,0.3076572057091537
64,48.4,3,64,0.3892028966704292
100,53.6,9,100,0.4633847735009732
1,23.599999999999998,7,1,0.20362624388598416
1,30.0,0,1,0.2373413769109035
25,35.6,3,25,0.30735859226973383
10,35.6,4,10,0.30245862590360195
100,56.8,0,100,0.4784524998810713
100,50.8,7,100,0.41854050673257787
1,25.6,9,1,0.20286941222770094
25,39.6,4,25,0.3511409026604828
10,36.4,3,10,0.2982617225741748
32,44.0,1,32,0.36432567975905794
32,32.800000000000004,6,32,0.2751459134194047
75,56.00000000000001,8,75,0.4584915508903286
32,44.4,8,32,0.37115493870449434
75,46.400000000000006,6,75,0.41057168129963756
75,58.8,1,75,0.49974960104830224
5,33.6,7,5,0.27392737768979175
64,48.0,2,64,0.38258272448292957
5,34.0,0,5,0.27977952469764994
64,52.400000000000006,5,64,0.4419535010444103
5,38.800000000000004,9,5,0.29520433562390047
50,44.0,4,50,0.34273439403309525
50,47.599999999999994,3,50,0.39976834132678296
75,51.6,0,75,0.45632598451544215
32,43.6,9,32,0.33143215370488094
75,51.2,7,75,0.41020463170155586
32,43.2,7,32,0.3451621101926679
75,50.4,9,75,0.4360399169092024
32,38.0,0,32,0.32899521749789123
100,52.400000000000006,6,100,0.45877499949913597
1,22.0,8,1,0.1829928455530475
25,41.199999999999996,5,25,0.35138840134854343
10,37.2,2,10,0.320061720902057
25,38.4,2,25,0.3005979254891467
10,38.4,5,10,0.2867773304997206
100,64.8,1,100,0.5583343424252514
1,26.8,1,1,0.2127736314911639
100,59.199999999999996,8,100,0.5019026961449862
1,30.0,6,1,0.24586826692738017
