n_shots,accuracy,run_num,nspw,f1
100,81.6,9,100,0.7604786324786323
64,74.4,5,64,0.6790610870610867
100,84.39999999999999,7,100,0.7793130894870023
100,81.2,0,100,0.7573655886597059
64,78.4,2,64,0.7328687608687606
1,56.8,6,1,0.5012160947258987
5,64.0,7,5,0.5528960766329185
1,54.400000000000006,1,1,0.4491353661818058
5,61.6,0,5,0.5388076498664733
50,68.0,3,50,0.6389947089947089
1,37.2,8,1,0.3339913291217638
50,72.39999999999999,4,50,0.6546877936877934
5,62.4,9,5,0.5339010989010988
32,71.6,0,32,0.6580519480519476
32,70.8,7,32,0.6500312650312648
32,73.6,9,32,0.6658851518851515
10,64.4,5,10,0.5713404133992367
25,68.8,2,25,0.6234843674843673
10,66.4,2,10,0.5789265244559361
25,68.8,5,25,0.6252246642246639
1,52.0,9,1,0.4541001961001961
50,71.6,5,50,0.6505873015873013
5,60.8,8,5,0.5183997113997114
50,74.8,2,50,0.6804541014541011
1,9.2,0,1,0.08088350409703014
5,62.0,1,5,0.5356004736004734
1,49.2,7,1,0.42003080579551155
5,58.8,6,5,0.5097503361218532
100,80.80000000000001,1,100,0.7622681153269387
64,72.39999999999999,3,64,0.6937761715408771
64,75.6,4,64,0.6618726088726087
100,80.0,6,100,0.7351213231213228
100,80.0,8,100,0.7525347245347243
10,67.60000000000001,3,10,0.6095245287907823
25,72.8,4,25,0.6516876086876084
10,71.2,4,10,0.641691247750071
25,63.2,3,25,0.5921871091871092
32,70.0,8,32,0.6604872904872902
32,70.8,6,32,0.655755109813933
32,70.8,1,32,0.6459217209805442
10,66.8,7,10,0.612229918229918
25,71.6,0,25,0.6460731860731856
10,64.0,0,10,0.5710729336023452
25,68.4,7,25,0.617496923555747
25,73.6,9,25,0.6689942533100425
10,66.0,9,10,0.5740101510689742
32,66.4,2,32,0.6030258020846254
32,72.0,5,32,0.6689128779717011
50,72.39999999999999,1,50,0.6502592592592591
50,72.0,6,50,0.6727608317608313
50,74.4,8,50,0.7002285122285118
1,52.400000000000006,4,1,0.45981973581973573
5,62.8,5,5,0.556840240369652
1,17.2,3,1,0.15927751729211587
5,66.4,2,5,0.589179043179043
64,76.8,7,64,0.6854432234432233
100,78.8,5,100,0.7290843114001005
100,76.0,2,100,0.7092246272246269
64,76.0,0,64,0.6693333333333328
64,75.6,9,64,0.6739706959706959
32,74.0,4,32,0.6588618418618415
32,64.8,3,32,0.6007542087542086
10,64.4,8,10,0.5897522564581386
25,69.6,8,25,0.6489167869167867
10,62.4,1,10,0.556833855629521
25,64.4,6,25,0.5717541478129711
10,66.0,6,10,0.6001190850200137
25,67.2,1,25,0.6186854256854255
64,75.6,8,64,0.7064829244829243
100,79.60000000000001,3,100,0.7411536163641422
64,78.0,1,64,0.7202669922669919
64,78.0,6,64,0.7293817424405656
100,83.6,4,100,0.7794935318093212
1,18.0,2,1,0.1805801218392816
5,58.8,3,5,0.5009381359381359
50,74.4,9,50,0.6570425753583646
1,16.400000000000002,5,1,0.1789520466761846
5,62.8,4,5,0.547871320400732
50,75.2,7,50,0.6834590964590963
50,76.8,0,50,0.6788215488215482
