n_shots,accuracy,run_num,nspw,f1
5,42.8,0,5,0.3119664000458701
50,49.6,6,50,0.37319983180910316
50,49.2,1,50,0.335210778919388
5,42.4,7,5,0.2576112074571132
5,44.4,9,5,0.3415868639865522
50,52.0,8,50,0.396827195658516
64,51.6,0,64,0.3980796613246943
64,57.599999999999994,7,64,0.3801893787370148
64,49.2,9,64,0.3879910744149153
1,35.6,2,1,0.2710816777041942
10,46.800000000000004,0,10,0.3504309891727108
25,52.0,7,25,0.3900755425589861
10,47.199999999999996,7,10,0.3207139071377481
25,47.199999999999996,0,25,0.34995887115092394
1,31.6,5,1,0.2692202572997275
10,43.2,9,10,0.3356135770043054
25,46.0,9,25,0.3566884550328257
100,53.2,8,100,0.38336486912645834
32,47.199999999999996,5,32,0.351481465554313
100,58.4,1,100,0.4090972464273264
100,54.400000000000006,6,100,0.4058014984938939
32,50.8,2,32,0.38487572030618367
64,52.800000000000004,8,64,0.4089073156856559
64,53.2,6,64,0.4095169363381281
64,57.199999999999996,1,64,0.3974405160835249
50,46.800000000000004,9,50,0.3691904857467769
5,43.6,8,5,0.31990673050275686
50,52.400000000000006,0,50,0.40689200424299743
5,42.0,6,5,0.3043719060204898
5,44.4,1,5,0.3335822749730033
50,56.8,7,50,0.3753140211162
100,57.99999999999999,7,100,0.3887675821369892
32,54.400000000000006,3,32,0.3658316816283312
32,47.599999999999994,4,32,0.3441255530909933
100,61.6,0,100,0.4364117119084005
100,56.00000000000001,9,100,0.36047261758670224
25,49.6,8,25,0.35538306432346145
10,46.800000000000004,8,10,0.334146501033918
10,44.800000000000004,6,10,0.3394364649331535
25,47.199999999999996,1,25,0.32677906888433195
1,29.2,4,1,0.22634389088218898
1,30.0,3,1,0.2155039798843016
10,44.0,1,10,0.3124036743242039
25,46.0,6,25,0.34072015721801446
32,50.8,7,32,0.3827931601792138
100,56.8,3,100,0.41191014110764773
100,57.199999999999996,4,100,0.4102778016685299
32,48.8,0,32,0.3781415215092658
32,47.199999999999996,9,32,0.3716440660149268
1,38.0,9,1,0.27784658314459626
1,36.8,0,1,0.29437372781743637
10,47.599999999999994,2,10,0.333990180068953
25,46.400000000000006,5,25,0.3420873936261546
10,48.0,5,10,0.3654222157533413
25,48.8,2,25,0.35735776171468026
1,38.4,7,1,0.2871072635973297
64,52.0,2,64,0.39256615349330565
64,52.800000000000004,5,64,0.3682960159781351
5,43.6,2,5,0.3195746490448476
50,50.8,4,50,0.352537031704898
50,54.400000000000006,3,50,0.3816608388983031
5,44.800000000000004,5,5,0.33199186758789395
10,48.8,4,10,0.30630951273819945
25,51.6,3,25,0.3661991714847361
1,30.8,6,1,0.2573664745850176
1,27.6,1,1,0.21848523073688642
10,48.8,3,10,0.3574600528242911
25,46.0,4,25,0.3326842215915061
1,36.0,8,1,0.2682018864138068
32,48.4,8,32,0.36493829721332616
100,57.199999999999996,5,100,0.39842321034373995
32,49.2,1,32,0.32684221591506346
32,48.4,6,32,0.35789541584243545
100,53.2,2,100,0.4155585381273773
50,51.6,2,50,0.39572690003153554
5,45.6,4,5,0.34417223688746845
5,42.8,3,5,0.2983512072916046
50,47.199999999999996,5,50,0.36051193104173224
64,53.2,4,64,0.37667434203030203
64,56.8,3,64,0.4049797149134895
