n_shots,accuracy,run_num,nspw,f1
1,30.0,3,1,0.2155039798843016
75,59.599999999999994,0,75,0.4061464079912518
1,29.2,4,1,0.22634389088218898
75,54.400000000000006,7,75,0.3743229103494002
75,49.6,9,75,0.38194671406591924
25,48.4,5,25,0.363673644020352
100,57.199999999999996,1,100,0.392764137563514
10,46.800000000000004,2,10,0.32946685397016506
20,48.8,8,20,0.353332686445269
25,46.800000000000004,2,25,0.3382570314592127
100,53.2,6,100,0.3985760376488852
10,45.6,5,10,0.3466729738252915
20,44.4,6,20,0.33658209456396965
100,54.0,8,100,0.37860718309968705
20,46.800000000000004,1,20,0.30662663095464016
2,38.0,2,2,0.27726794912225367
2,38.800000000000004,5,2,0.29495952906548917
50,54.400000000000006,4,50,0.36065810028607054
50,54.400000000000006,3,50,0.390802464643524
145,66.4,5,145,0.4582991695574478
5,46.0,3,5,0.322280515657999
145,56.8,2,145,0.4444628403237672
5,46.0,4,5,0.3450770715671376
20,46.800000000000004,0,20,0.3499053926206243
20,47.199999999999996,7,20,0.3419803522452528
100,54.800000000000004,9,100,0.3626895179875311
20,45.2,9,20,0.3362556501629348
25,53.6,3,25,0.37902421692059374
100,53.6,7,100,0.38124755676290034
10,46.0,4,10,0.3066198968117213
25,50.0,4,25,0.3475493428356691
100,61.6,0,100,0.447777384755669
10,48.8,3,10,0.3527913219966198
75,51.6,8,75,0.38596800550442917
1,31.6,5,1,0.2692202572997275
75,52.400000000000006,6,75,0.4085461999369282
1,35.6,2,1,0.2710816777041942
75,56.39999999999999,1,75,0.3956677097736698
145,61.199999999999996,3,145,0.4128063472434332
5,43.2,5,5,0.3212001758359373
145,64.8,4,145,0.4546266831035041
5,41.6,2,5,0.3129919381575009
50,52.0,2,50,0.4066741205814051
50,51.6,5,50,0.3542565812196842
2,35.6,4,2,0.2610466053862279
2,14.799999999999999,3,2,0.11260676669091485
5,43.6,1,5,0.3292934071079765
145,60.8,7,145,0.4257175460911557
5,42.0,6,5,0.3017544351910985
145,63.6,0,145,0.4523754575079077
50,48.0,8,50,0.36204380608354103
5,43.6,8,5,0.3144862304090636
50,48.8,6,50,0.36593656527431345
145,59.199999999999996,9,145,0.4252070874197869
50,49.2,1,50,0.3508355323212794
2,41.199999999999996,0,2,0.3146278298596178
2,37.6,7,2,0.26354124168693704
2,40.8,9,2,0.2921469810542658
20,46.800000000000004,4,20,0.33405988669480263
10,44.4,9,10,0.33455510640941083
25,45.6,9,25,0.34823112869470474
20,57.99999999999999,3,20,0.3731936661572421
25,51.6,7,25,0.3898695307635702
10,44.800000000000004,0,10,0.32851361295069903
100,54.400000000000006,3,100,0.38724680396865807
25,48.8,0,25,0.3717348005776029
10,47.599999999999994,7,10,0.3198142815292849
100,58.8,4,100,0.4231646908295337
1,36.0,8,1,0.2682018864138068
1,27.6,1,1,0.21848523073688642
75,51.2,2,75,0.3916267691102127
1,30.8,6,1,0.2573664745850176
75,53.6,5,75,0.36108468634396396
2,30.8,8,2,0.2273585084317428
2,38.0,6,2,0.2932126004973686
2,34.8,1,2,0.29488068958267627
145,56.8,8,145,0.4156589179767985
50,49.6,0,50,0.3760433567211906
5,44.4,9,5,0.34261986336392247
50,58.8,7,50,0.3955259178681973
5,44.4,7,5,0.2816123889547443
145,61.199999999999996,1,145,0.43543237483634817
50,46.0,9,50,0.36057595825807726
5,41.6,0,5,0.30173446862188574
145,58.4,6,145,0.40799050103685847
1,38.4,7,1,0.2871072635973297
75,56.8,4,75,0.41003241418736275
1,36.8,0,1,0.29437372781743637
75,54.400000000000006,3,75,0.4148612425102489
1,38.0,9,1,0.27784658314459626
25,44.800000000000004,1,25,0.30551295457186
10,43.6,6,10,0.3246205229648936
100,58.8,5,100,0.3821236597673255
25,46.0,6,25,0.3452458245991551
10,44.800000000000004,1,10,0.31440903592516933
100,54.800000000000004,2,100,0.43434913136899866
25,48.0,8,25,0.3395443776238476
20,46.800000000000004,2,20,0.33776822666577233
20,47.199999999999996,5,20,0.3441242348527115
10,45.6,8,10,0.319224814920179
