,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
2692,iot hue light off,general qu,27,False,False,False,{48: 1},[5111],2692,1,3,False
1518,play music,datetime,13,False,False,True,{48: 1},[5111],1518,1,3,False
2907,calendar remove,calendar remove,8,False,True,False,{48: 1},[5111],2907,1,3,False
2151,play music,email query,16,False,False,True,{48: 1},[5111],2151,1,3,False
1290,play music,music query,43,False,False,True,{48: 1},[5111],1290,1,3,False
1455,play music,general explain,22,False,False,True,{48: 1},[5111],1455,1,3,False
2614,play music,play game,47,False,False,True,{48: 1},[5111],2614,1,3,False
1201,play music,play music,48,True,True,True,{48: 1},[5111],1201,1,3,False
2148,play music,general explain,22,False,False,True,{48: 1},[5111],2148,1,3,False
1658,calendar set,calendar set,9,False,True,False,{48: 1},[5111],1658,1,3,False
2329,play music,audio volume m,4,False,False,True,{48: 1},[5111],2329,1,3,False
1497,iot hue light off,qa stock,55,False,False,False,{48: 1},[5111],1497,1,3,False
2200,play music,general repeat,28,False,False,True,{48: 1},[5111],2200,1,3,False
2933,play music,general qu,27,False,False,True,{48: 1},[5111],2933,1,3,False
1022,play music,take,61,False,False,True,{48: 1},[5111],1022,1,3,False
2474,play music,general qu,27,False,False,True,{48: 1},[5111],2474,1,3,False
2263,play music,play pod,49,False,False,True,{48: 1},[5111],2263,1,3,False
476,email add contact,email add,14,False,True,False,{48: 1},[5111],476,1,3,False
2999,play music,iot hue light off,33,False,False,True,{48: 1},[5111],2999,1,3,False
2919,play music,iot hue light change,31,False,False,True,{48: 1},[5111],2919,1,3,False
982,play music,general explain,22,False,False,True,{48: 1},[5111],982,1,3,False
1326,iot hue light off,general explain,22,False,False,False,{48: 1},[5111],1326,1,3,False
2119,calendar set,calendar set,9,False,True,False,{48: 1},[5111],2119,1,3,False
824,play music,play music,48,True,True,True,{48: 1},[5111],824,1,3,False
2017,iot hue light off,general qu,27,False,False,False,{48: 1},[5111],2017,1,3,False
946,calendar set,calendar set,9,False,True,False,{48: 1},[5111],946,1,3,False
1513,play music,play music,48,True,True,True,{48: 1},[5111],1513,1,3,False
1002,iot wemo on,datetime,13,False,False,False,{48: 1},[5111],1002,1,3,False
2833,iot hue light off,recommendation,57,False,False,False,{48: 1},[5111],2833,1,3,False
2138,transport query,transport,63,False,True,False,{48: 1},[5111],2138,1,3,False
1529,play music,play music,48,True,True,True,{48: 1},[5111],1529,1,3,False
458,play music,general qu,27,False,False,True,{48: 1},[5111],458,1,3,False
1578,play music,music query,43,False,False,True,{48: 1},[5111],1578,1,3,False
722,email sendemail,email s,17,False,True,False,{48: 1},[5111],722,1,3,False
2922,iot hue light off,lists,38,False,False,False,{48: 1},[5111],2922,1,3,False
1752,play music,qa stock,55,False,False,True,{48: 1},[5111],1752,1,3,False
1392,play music,play music,48,True,True,True,{48: 1},[5111],1392,1,3,False
1937,play music,take,61,False,False,True,{48: 1},[5111],1937,1,3,False
1553,play audiobook,play audio,46,False,True,False,{48: 1},[5111],1553,1,3,False
2265,social query,social,60,False,True,False,{48: 1},[5111],2265,1,3,False
2573,calendar remove,calendar remove,8,False,True,False,{48: 1},[5111],2573,1,3,False
2526,play music,play music,48,True,True,True,{48: 1},[5111],2526,1,3,False
2401,play music,general qu,27,False,False,True,{48: 1},[5111],2401,1,3,False
2454,calendar set,calendar set,9,False,True,False,{48: 1},[5111],2454,1,3,False
2634,play music,general qu,27,False,False,True,{48: 1},[5111],2634,1,3,False
1706,transport query,transport,63,False,True,False,{48: 1},[5111],1706,1,3,False
1492,play music,general qu,27,False,False,True,{48: 1},[5111],1492,1,3,False
2683,calendar set,calendar set,9,False,True,False,{48: 1},[5111],2683,1,3,False
2104,play music,play music,48,True,True,True,{48: 1},[5111],2104,1,3,False
2905,play music,general qu,27,False,False,True,{48: 1},[5111],2905,1,3,False
2770,play music,play music,48,True,True,True,{48: 1},[5111],2770,1,3,False
2127,play music,general explain,22,False,False,True,{48: 1},[5111],2127,1,3,False
838,play music,general repeat,28,False,False,True,{48: 1},[5111],838,1,3,False
1854,iot hue light off,general gre,23,False,False,False,{48: 1},[5111],1854,1,3,False
606,iot hue light off,iot hue light off,33,False,True,False,{48: 1},[5111],606,1,3,False
234,play music,lists,38,False,False,True,{48: 1},[5111],234,1,3,False
1996,play music,general qu,27,False,False,True,{48: 1},[5111],1996,1,3,False
1632,play music,music query,43,False,False,True,{48: 1},[5111],1632,1,3,False
1712,calendar set,calendar set,9,False,True,False,{48: 1},[5111],1712,1,3,False
1509,play music,calendar remove,8,False,False,True,{48: 1},[5111],1509,1,3,False
2801,play music,general repeat,28,False,False,True,{48: 1},[5111],2801,1,3,False
113,play music,play pod,49,False,False,True,{48: 1},[5111],113,1,3,False
1957,calendar set,datetime,13,False,False,False,{48: 1},[5111],1957,1,3,False
427,play music,audio volume m,4,False,False,True,{48: 1},[5111],427,1,3,False
859,play music,qa math,54,False,False,True,{48: 1},[5111],859,1,3,False
2435,calendar set,calendar set,9,False,True,False,{48: 1},[5111],2435,1,3,False
1556,play music,play music,48,True,True,True,{48: 1},[5111],1556,1,3,False
1681,play music,audio volume m,4,False,False,True,{48: 1},[5111],1681,1,3,False
2023,play music,general repeat,28,False,False,True,{48: 1},[5111],2023,1,3,False
1272,play music,recommendation,57,False,False,True,{48: 1},[5111],1272,1,3,False
1893,play music,datetime,13,False,False,True,{48: 1},[5111],1893,1,3,False
555,iot hue light off,general qu,27,False,False,False,{48: 1},[5111],555,1,3,False
731,play music,general qu,27,False,False,True,{48: 1},[5111],731,1,3,False
1767,play audiobook,play audio,46,False,True,False,{48: 1},[5111],1767,1,3,False
1494,play music,play audio,46,False,False,True,{48: 1},[5111],1494,1,3,False
1416,play music,iot hue light off,33,False,False,True,{48: 1},[5111],1416,1,3,False
1437,play music,calendar set,9,False,False,True,{48: 1},[5111],1437,1,3,False
399,play music,general aff,18,False,False,True,{48: 1},[5111],399,1,3,False
990,cooking recipe,cook,11,False,True,False,{48: 1},[5111],990,1,3,False
2008,play music,general repeat,28,False,False,True,{48: 1},[5111],2008,1,3,False
1440,play music,play music,48,True,True,True,{48: 1},[5111],1440,1,3,False
1695,calendar set,datetime,13,False,False,False,{48: 1},[5111],1695,1,3,False
69,email sendemail,email s,17,False,True,False,{48: 1},[5111],69,1,3,False
943,play music,general qu,27,False,False,True,{48: 1},[5111],943,1,3,False
1521,calendar set,calendar set,9,False,True,False,{48: 1},[5111],1521,1,3,False
2822,takeaway order,take,61,False,True,False,{48: 1},[5111],2822,1,3,False
1539,play music,email s,17,False,False,True,{48: 1},[5111],1539,1,3,False
717,play music,calendar set,9,False,False,True,{48: 1},[5111],717,1,3,False
2367,calendar remove,calendar remove,8,False,True,False,{48: 1},[5111],2367,1,3,False
1220,play music,music query,43,False,False,True,{48: 1},[5111],1220,1,3,False
2465,play music,qa stock,55,False,False,True,{48: 1},[5111],2465,1,3,False
1555,play music,general qu,27,False,False,True,{48: 1},[5111],1555,1,3,False
2609,calendar set,calendar set,9,False,True,False,{48: 1},[5111],2609,1,3,False
2404,play music,iot hue light change,31,False,False,True,{48: 1},[5111],2404,1,3,False
1620,play music,general repeat,28,False,False,True,{48: 1},[5111],1620,1,3,False
1922,cooking recipe,cook,11,False,True,False,{48: 1},[5111],1922,1,3,False
2789,play music,general explain,22,False,False,True,{48: 1},[5111],2789,1,3,False
2991,email add contact,email s,17,False,False,False,{48: 1},[5111],2991,1,3,False
539,play music,play music,48,True,True,True,{48: 1},[5111],539,1,3,False
2918,play music,qa stock,55,False,False,True,{48: 1},[5111],2918,1,3,False
373,play music,alarm remove,1,False,False,True,{48: 1},[5111],373,1,3,False
1931,calendar set,calendar set,9,False,True,False,{48: 1},[5111],1931,1,3,False
2666,play music,datetime,13,False,False,True,{48: 1},[5111],2666,1,3,False
1984,play music,general qu,27,False,False,True,{48: 1},[5111],1984,1,3,False
1119,calendar set,calendar set,9,False,True,False,{48: 1},[5111],1119,1,3,False
774,alarm query,calendar set,9,False,False,False,{48: 1},[5111],774,1,3,False
2433,play music,cook,11,False,False,True,{48: 1},[5111],2433,1,3,False
1626,iot hue light off,general qu,27,False,False,False,{48: 1},[5111],1626,1,3,False
2740,play music,email s,17,False,False,True,{48: 1},[5111],2740,1,3,False
511,alarm query,alarm query,0,False,True,False,{48: 1},[5111],511,1,3,False
2560,play music,general qu,27,False,False,True,{48: 1},[5111],2560,1,3,False
1599,play music,qa math,54,False,False,True,{48: 1},[5111],1599,1,3,False
2575,calendar set,calendar set,9,False,True,False,{48: 1},[5111],2575,1,3,False
2320,play music,general explain,22,False,False,True,{48: 1},[5111],2320,1,3,False
2122,email sendemail,email s,17,False,True,False,{48: 1},[5111],2122,1,3,False
302,email sendemail,email s,17,False,True,False,{48: 1},[5111],302,1,3,False
790,play audiobook,play audio,46,False,True,False,{48: 1},[5111],790,1,3,False
1242,play audiobook,play audio,46,False,True,False,{48: 1},[5111],1242,1,3,False
1089,play music,email add,14,False,False,True,{48: 1},[5111],1089,1,3,False
853,email add contact,email s,17,False,False,False,{48: 1},[5111],853,1,3,False
324,calendar set,calendar set,9,False,True,False,{48: 1},[5111],324,1,3,False
378,alarm remove,alarm remove,1,False,True,False,{48: 1},[5111],378,1,3,False
2066,calendar set,calendar set,9,False,True,False,{48: 1},[5111],2066,1,3,False
1912,alarm query,alarm query,0,False,True,False,{48: 1},[5111],1912,1,3,False
2271,calendar set,calendar set,9,False,True,False,{48: 1},[5111],2271,1,3,False
