n_shots,accuracy,run_num,nspw,f1
32,73.6,4,32,0.47338865538791075
32,72.0,3,32,0.552315152279043
10,38.800000000000004,1,10,0.31661829455947105
25,66.4,6,25,0.47153156894992065
10,56.00000000000001,6,10,0.40048482830556864
25,62.0,1,25,0.5346645627128577
10,53.6,8,10,0.3434259603081311
25,64.8,8,25,0.4846834528066574
1,37.6,3,1,0.2864339337579453
64,77.2,1,64,0.595906843890833
1,23.200000000000003,4,1,0.16268744736686158
64,80.80000000000001,6,64,0.5843650421842784
64,80.80000000000001,8,64,0.641184645881281
50,75.2,7,50,0.6346429343669089
50,74.0,0,50,0.5254370242048543
5,43.2,8,5,0.3305338830049649
5,43.6,6,5,0.3423946158392934
5,33.2,1,5,0.27218862544798467
50,71.2,9,50,0.521147414271632
25,58.4,9,25,0.42457112088634963
10,47.599999999999994,9,10,0.33101544378358594
10,39.2,7,10,0.3204113916007711
25,71.2,0,25,0.49436312685686906
10,47.599999999999994,0,10,0.4036888330061787
25,61.199999999999996,7,25,0.45100632881046326
32,61.199999999999996,2,32,0.46893573200392874
32,70.0,5,32,0.5403331378126295
5,44.4,0,5,0.32688335417599684
50,75.2,8,50,0.6011883894972129
5,32.4,7,5,0.22872422659675318
50,74.4,1,50,0.5804594923454611
5,42.0,9,5,0.2763513766850949
50,78.0,6,50,0.5974910292729085
64,74.8,9,64,0.5912042206159853
1,36.0,5,1,0.33886925180585464
64,73.2,7,64,0.5788051030140927
1,46.800000000000004,2,1,0.3245824333814315
64,74.0,0,64,0.5462832437400937
5,46.400000000000006,4,5,0.3254325362395061
5,41.6,3,5,0.2290685060192797
50,78.0,5,50,0.565284610925737
50,63.2,2,50,0.4857887799354868
1,16.8,8,1,0.12211384759972477
1,16.400000000000002,1,1,0.12288775395247804
64,75.2,3,64,0.5829081646460433
1,18.0,6,1,0.12172743038252237
64,79.2,4,64,0.5502062075379265
10,56.00000000000001,3,10,0.3785057430594406
25,78.0,4,25,0.5688449553008464
10,47.199999999999996,4,10,0.27985154310265536
25,66.0,3,25,0.4600489708051012
32,74.4,6,32,0.5413538628287763
32,62.4,1,32,0.5478716462647647
32,72.0,8,32,0.5737623709892226
1,44.0,7,1,0.34176339273627154
64,82.39999999999999,5,64,0.6396289161028043
1,17.2,0,1,0.11294881588999234
64,76.8,2,64,0.6063338085203409
1,21.6,9,1,0.19965357211333906
50,75.2,3,50,0.623645711612243
50,78.8,4,50,0.5354813425963432
5,41.199999999999996,2,5,0.34254150694185515
5,48.0,5,5,0.42507383217335276
32,56.8,9,32,0.40893660474223137
32,70.8,0,32,0.5249391267920122
32,67.2,7,32,0.5170622029007067
10,49.2,5,10,0.4012041215820598
25,60.8,2,25,0.47527817368585684
10,51.6,2,10,0.43080941335966394
25,65.60000000000001,5,25,0.5116372913993116
