n_shots,accuracy,run_num,nspw,f1
32,66.0,2,32,0.45938124240111083
32,59.599999999999994,5,32,0.4006856730615415
25,50.0,9,25,0.3056409821448702
1,33.2,8,1,0.2095850344798097
10,45.2,9,10,0.27234321047130877
25,48.8,0,25,0.3038221380592181
1,24.4,6,1,0.15919577773672353
10,38.0,7,10,0.22561436882175115
25,56.39999999999999,7,25,0.33844431021505983
1,25.6,1,1,0.1592512511071621
10,40.8,0,10,0.2600610546055612
5,40.0,8,5,0.19392903264549494
64,64.0,9,64,0.4222531232172502
64,68.8,7,64,0.4306731338934192
5,43.6,1,5,0.2679660505971248
64,70.0,0,64,0.4916323318718303
5,38.4,6,5,0.22527532237284553
50,61.6,8,50,0.392092139113676
50,61.199999999999996,1,50,0.3795130714551264
50,68.0,6,50,0.4272137474784181
25,57.199999999999996,6,25,0.3826866495032586
1,33.6,0,1,0.21133693376340434
10,46.800000000000004,1,10,0.26547813735504433
25,47.599999999999994,1,25,0.2690896859660964
1,36.8,7,1,0.21764667524948877
10,44.0,6,10,0.25203255583192347
1,18.4,9,1,0.08104473332957346
10,42.4,8,10,0.2054408470419411
25,52.400000000000006,8,25,0.3024408596408442
32,56.39999999999999,4,32,0.3173587596762039
32,56.00000000000001,3,32,0.34651491296867115
50,61.6,7,50,0.41716893002256517
50,66.0,0,50,0.4582884764467457
50,65.2,9,50,0.43575428801247856
64,68.8,1,64,0.4637083119048428
5,43.2,7,5,0.31765333737469964
64,70.8,6,64,0.4584100395951608
5,30.8,0,5,0.21021291650602317
64,69.6,8,64,0.5025076500165707
5,34.8,9,5,0.22384399799567245
50,68.0,3,50,0.4563284531247524
50,70.0,4,50,0.44315729605522003
64,69.19999999999999,5,64,0.45328228501563866
5,20.4,3,5,0.12556299909241087
64,74.8,2,64,0.5103674246078902
5,38.0,4,5,0.2766672006122134
25,53.6,2,25,0.3219513042738195
10,48.0,5,10,0.33341106187966824
1,24.0,4,1,0.14554341322917178
25,44.4,5,25,0.313198041948132
10,40.0,2,10,0.19632785008281906
1,14.000000000000002,3,1,0.10271879789473935
32,52.400000000000006,9,32,0.3313922184401109
32,59.199999999999996,0,32,0.37360601547151473
32,48.4,7,32,0.29828815353236804
64,69.6,3,64,0.4846241956327269
5,26.400000000000002,5,5,0.18640250458574645
64,74.8,4,64,0.5177563128861743
5,22.0,2,5,0.11204745105863834
50,69.6,5,50,0.48557126203484036
50,72.8,2,50,0.5151800298305208
32,56.8,6,32,0.37397445225155396
32,61.6,1,32,0.37669387621078787
32,57.599999999999994,8,32,0.3202411395225931
25,46.800000000000004,4,25,0.2490430188814929
10,35.6,3,10,0.23025857542566702
1,22.0,2,1,0.13838444149589663
25,50.0,3,25,0.3053615931711907
10,46.0,4,10,0.2709596022290238
1,12.4,5,1,0.10923023055375997
