n_shots,accuracy,run_num,nspw,f1
5,45.2,7,5,0.33177922296976997
50,73.6,4,50,0.48004965818633494
5,29.2,0,5,0.16937223415641323
50,69.6,3,50,0.4572419647384693
5,37.2,9,5,0.2296530267118502
100,70.8,1,100,0.4821367320940682
2,9.2,6,2,0.04807803211782451
1,33.2,8,1,0.2095850344798097
100,71.6,6,100,0.4788757368513664
2,34.0,1,2,0.2037212307975533
1,25.6,1,1,0.1592512511071621
100,70.0,8,100,0.5248656802532794
2,33.6,8,2,0.21072191657869407
1,24.4,6,1,0.15919577773672353
25,43.2,5,25,0.2908731684626825
10,36.8,2,10,0.1796784418208033
25,61.6,2,25,0.39193496545108475
10,48.4,5,10,0.3054958363098958
20,54.0,8,20,0.3132136702551629
162,76.8,5,162,0.561608928044914
20,57.199999999999996,6,20,0.3541053561144343
162,79.60000000000001,2,162,0.590608685849409
20,48.0,1,20,0.2796716684302461
75,73.6,0,75,0.49726098507378536
75,70.39999999999999,7,75,0.5120394325115223
75,67.2,9,75,0.4534028000673571
2,27.200000000000003,9,2,0.18525085635040367
1,36.8,7,1,0.21764667524948877
1,33.6,0,1,0.21133693376340434
100,68.4,9,100,0.4864778503075418
100,74.0,7,100,0.5691120099502154
2,35.6,0,2,0.22589439171289016
100,75.2,0,100,0.5200440723164429
2,37.2,7,2,0.1871721053093602
1,18.4,9,1,0.08104473332957346
5,40.400000000000006,8,5,0.19922960111340215
50,73.2,2,50,0.5056674149980437
5,42.4,1,5,0.27250765468452526
50,71.2,5,50,0.469153746807635
5,34.0,6,5,0.2162641370870944
75,71.2,8,75,0.5080455491060948
75,68.8,6,75,0.4156998983849897
75,67.2,1,75,0.4693039051741122
162,80.0,3,162,0.5870409169893899
20,40.400000000000006,0,20,0.25051677016042456
162,70.8,4,162,0.5120988923912926
20,52.400000000000006,7,20,0.3245642817879532
25,49.2,3,25,0.3146759708210163
10,40.8,4,10,0.256694956161275
20,54.400000000000006,9,20,0.36885833673639273
25,46.400000000000006,4,25,0.26713556451878256
10,43.6,3,10,0.28330264189229065
75,74.8,2,75,0.5204924736931658
75,69.6,5,75,0.45545267880908025
10,41.6,9,10,0.2560205988335098
162,78.8,7,162,0.5802985137704796
20,46.0,4,20,0.2675959093416399
162,76.8,0,162,0.5580144504823419
20,46.400000000000006,3,20,0.30546710389002474
25,53.2,9,25,0.32478626686719336
25,51.6,7,25,0.3522191001293168
10,41.6,0,10,0.26887303709317395
25,45.6,0,25,0.2687085075826448
10,37.2,7,10,0.2311172954875001
162,76.4,9,162,0.5394152423617565
1,14.000000000000002,3,1,0.10271879789473935
1,24.0,4,1,0.14554341322917178
2,34.4,4,2,0.22724589620737076
100,72.8,3,100,0.4973148841331023
2,14.000000000000002,3,2,0.1066670062673899
100,71.6,4,100,0.4974314869034885
50,62.4,8,50,0.3980917397607713
5,26.0,5,5,0.1779386597481721
50,68.4,6,50,0.42516476726834795
5,24.0,2,5,0.1299088444337977
50,59.199999999999996,1,50,0.3685738429358671
25,48.4,1,25,0.28902979156257247
10,45.2,6,10,0.25441912557800817
162,76.4,8,162,0.5643309429375296
25,53.6,6,25,0.32659054626369244
10,43.6,1,10,0.24859269308559367
162,74.8,1,162,0.5190344768034079
20,54.400000000000006,2,20,0.3155518157485817
25,54.400000000000006,8,25,0.3247202203500749
10,42.0,8,10,0.20250739612943744
162,78.4,6,162,0.5912783922700361
20,45.2,5,20,0.29464359986418814
75,71.2,4,75,0.47532080895440315
75,72.39999999999999,3,75,0.5105664160222086
50,63.2,0,50,0.43900276187245124
5,23.599999999999998,3,5,0.13301690702806324
50,62.4,7,50,0.4233262005502946
5,38.800000000000004,4,5,0.28958729179317416
50,63.2,9,50,0.4148068784382754
2,34.0,2,2,0.20394279260860254
100,76.4,5,100,0.5475432289795912
2,26.0,5,2,0.20537603176011482
100,78.8,2,100,0.5557212958328579
1,12.4,5,1,0.10923023055375997
1,22.0,2,1,0.13838444149589663
