,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
13005,person title,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",13005,10,5,False,10
13881,person spouse,organization top,organization top members or employees,False,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",13881,10,5,False,10
8000,na,na,na,True,True,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",8000,10,5,False,10
15210,person siblings,person sib,person siblings,False,True,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",15210,10,5,False,10
7432,person parents,na,na,True,False,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",7432,10,5,False,10
2785,person other family,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",2785,10,5,False,10
11677,person title,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",11677,10,5,False,10
6929,organization political or religious affiliation,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",6929,10,5,False,10
7143,person religion,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",7143,10,5,False,10
12405,person siblings,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",12405,10,5,False,10
1677,person parents,na,na,True,False,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",1677,10,5,False,10
2872,person spouse,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",2872,10,5,False,10
13474,na,organization parents,organization parents,False,False,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",13474,10,5,False,10
5391,person siblings,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",5391,10,5,False,10
14781,person title,person title,person title,False,True,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",14781,10,5,False,10
13767,na,organization top,organization top members or employees,False,False,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",13767,10,5,False,10
4670,person other family,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",4670,10,5,False,10
343,person siblings,person age,person age,False,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",343,10,5,False,10
6853,person spouse,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",6853,10,5,False,10
7373,na,na,na,True,True,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",7373,10,5,False,10
6965,person country of birth,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",6965,10,5,False,10
8391,person title,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",8391,10,5,False,10
2539,person title,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",2539,10,5,False,10
14078,na,organization alternate,organization alternate names,False,False,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",14078,10,5,False,10
14670,person siblings,person title,person title,False,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",14670,10,5,False,10
3983,na,na,na,True,True,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",3983,10,5,False,10
9758,person date of birth,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",9758,10,5,False,10
2760,person title,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",2760,10,5,False,10
2670,person siblings,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",2670,10,5,False,10
3175,person spouse,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",3175,10,5,False,10
14456,person parents,person origin,person origin,False,False,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",14456,10,5,False,10
858,person country of birth,person cities,person cities of residence,False,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",858,10,5,False,10
6211,person spouse,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",6211,10,5,False,10
15099,organization country of headquarters,organization country,organization country of headquarters,False,True,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",15099,10,5,False,10
2891,person title,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",2891,10,5,False,10
1785,na,na,na,True,True,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",1785,10,5,False,10
14958,person spouse,person title,person title,False,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",14958,10,5,False,10
12198,person title,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",12198,10,5,False,10
15254,na,organization state,organization state or province of headquarters,False,False,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",15254,10,5,False,10
3319,person title,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",3319,10,5,False,10
2900,person siblings,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",2900,10,5,False,10
9109,person spouse,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",9109,10,5,False,10
10607,person siblings,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",10607,10,5,False,10
9328,person other family,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",9328,10,5,False,10
14837,person title,person title,person title,False,True,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",14837,10,5,False,10
15483,person title,organization founded by,organization founded by,False,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",15483,10,5,False,10
3049,person title,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",3049,10,5,False,10
3434,person parents,na,na,True,False,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",3434,10,5,False,10
3440,person title,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",3440,10,5,False,10
6635,person parents,na,na,True,False,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",6635,10,5,False,10
1718,person title,na,na,True,False,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",1718,10,5,False,10
14875,person title,person title,person title,False,True,False,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",14875,10,5,False,10
10226,na,na,na,True,True,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",10226,10,5,False,10
7343,person parents,na,na,True,False,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",7343,10,5,False,10
1109,na,person employee,person employee of,False,False,True,"{'na': 9, 'person parents': 1}","[9593, 10544, 63031, 54697, 1543, 66657, 38150, 56667, 15471, 38495]",1109,10,5,False,10
