,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
153,description,description,2,True,True,True,"{4: 17, 2: 25, 3: 22}","[2844, 2682, 1779, 461, 2908, 2145, 1375, 2802, 2489, 1468, 3114, 362, 919, 2138, 1120, 1065, 133, 2578, 496, 1704, 1495, 250, 3028, 2427, 2600, 1249, 315, 1137, 18, 898, 1491, 2243, 1201, 1928, 1911, 217, 1295, 1346, 1702, 739, 72, 1074, 1284, 1506, 2432, 2598, 2579, 1653, 2528, 2636, 1856, 1025, 1878, 2226, 2212, 2395, 3032, 1687, 1383, 596, 59, 1213, 1519, 1556]",153,64,0,False,64
200,human,human,3,True,True,True,"{4: 17, 2: 25, 3: 22}","[2844, 2682, 1779, 461, 2908, 2145, 1375, 2802, 2489, 1468, 3114, 362, 919, 2138, 1120, 1065, 133, 2578, 496, 1704, 1495, 250, 3028, 2427, 2600, 1249, 315, 1137, 18, 898, 1491, 2243, 1201, 1928, 1911, 217, 1295, 1346, 1702, 739, 72, 1074, 1284, 1506, 2432, 2598, 2579, 1653, 2528, 2636, 1856, 1025, 1878, 2226, 2212, 2395, 3032, 1687, 1383, 596, 59, 1213, 1519, 1556]",200,64,0,False,64
83,description,description,2,True,True,True,"{4: 17, 2: 25, 3: 22}","[2844, 2682, 1779, 461, 2908, 2145, 1375, 2802, 2489, 1468, 3114, 362, 919, 2138, 1120, 1065, 133, 2578, 496, 1704, 1495, 250, 3028, 2427, 2600, 1249, 315, 1137, 18, 898, 1491, 2243, 1201, 1928, 1911, 217, 1295, 1346, 1702, 739, 72, 1074, 1284, 1506, 2432, 2598, 2579, 1653, 2528, 2636, 1856, 1025, 1878, 2226, 2212, 2395, 3032, 1687, 1383, 596, 59, 1213, 1519, 1556]",83,64,0,False,64
45,human,human,3,True,True,True,"{4: 17, 2: 25, 3: 22}","[2844, 2682, 1779, 461, 2908, 2145, 1375, 2802, 2489, 1468, 3114, 362, 919, 2138, 1120, 1065, 133, 2578, 496, 1704, 1495, 250, 3028, 2427, 2600, 1249, 315, 1137, 18, 898, 1491, 2243, 1201, 1928, 1911, 217, 1295, 1346, 1702, 739, 72, 1074, 1284, 1506, 2432, 2598, 2579, 1653, 2528, 2636, 1856, 1025, 1878, 2226, 2212, 2395, 3032, 1687, 1383, 596, 59, 1213, 1519, 1556]",45,64,0,False,64
273,description,description,2,True,True,True,"{4: 17, 2: 25, 3: 22}","[2844, 2682, 1779, 461, 2908, 2145, 1375, 2802, 2489, 1468, 3114, 362, 919, 2138, 1120, 1065, 133, 2578, 496, 1704, 1495, 250, 3028, 2427, 2600, 1249, 315, 1137, 18, 898, 1491, 2243, 1201, 1928, 1911, 217, 1295, 1346, 1702, 739, 72, 1074, 1284, 1506, 2432, 2598, 2579, 1653, 2528, 2636, 1856, 1025, 1878, 2226, 2212, 2395, 3032, 1687, 1383, 596, 59, 1213, 1519, 1556]",273,64,0,False,64
118,human,human,3,True,True,True,"{4: 17, 2: 25, 3: 22}","[2844, 2682, 1779, 461, 2908, 2145, 1375, 2802, 2489, 1468, 3114, 362, 919, 2138, 1120, 1065, 133, 2578, 496, 1704, 1495, 250, 3028, 2427, 2600, 1249, 315, 1137, 18, 898, 1491, 2243, 1201, 1928, 1911, 217, 1295, 1346, 1702, 739, 72, 1074, 1284, 1506, 2432, 2598, 2579, 1653, 2528, 2636, 1856, 1025, 1878, 2226, 2212, 2395, 3032, 1687, 1383, 596, 59, 1213, 1519, 1556]",118,64,0,False,64
179,description,description,2,True,True,True,"{4: 17, 2: 25, 3: 22}","[2844, 2682, 1779, 461, 2908, 2145, 1375, 2802, 2489, 1468, 3114, 362, 919, 2138, 1120, 1065, 133, 2578, 496, 1704, 1495, 250, 3028, 2427, 2600, 1249, 315, 1137, 18, 898, 1491, 2243, 1201, 1928, 1911, 217, 1295, 1346, 1702, 739, 72, 1074, 1284, 1506, 2432, 2598, 2579, 1653, 2528, 2636, 1856, 1025, 1878, 2226, 2212, 2395, 3032, 1687, 1383, 596, 59, 1213, 1519, 1556]",179,64,0,False,64
69,human,human,3,True,True,True,"{4: 17, 2: 25, 3: 22}","[2844, 2682, 1779, 461, 2908, 2145, 1375, 2802, 2489, 1468, 3114, 362, 919, 2138, 1120, 1065, 133, 2578, 496, 1704, 1495, 250, 3028, 2427, 2600, 1249, 315, 1137, 18, 898, 1491, 2243, 1201, 1928, 1911, 217, 1295, 1346, 1702, 739, 72, 1074, 1284, 1506, 2432, 2598, 2579, 1653, 2528, 2636, 1856, 1025, 1878, 2226, 2212, 2395, 3032, 1687, 1383, 596, 59, 1213, 1519, 1556]",69,64,0,False,64
257,location,location,4,True,True,True,"{4: 17, 2: 25, 3: 22}","[2844, 2682, 1779, 461, 2908, 2145, 1375, 2802, 2489, 1468, 3114, 362, 919, 2138, 1120, 1065, 133, 2578, 496, 1704, 1495, 250, 3028, 2427, 2600, 1249, 315, 1137, 18, 898, 1491, 2243, 1201, 1928, 1911, 217, 1295, 1346, 1702, 739, 72, 1074, 1284, 1506, 2432, 2598, 2579, 1653, 2528, 2636, 1856, 1025, 1878, 2226, 2212, 2395, 3032, 1687, 1383, 596, 59, 1213, 1519, 1556]",257,64,0,False,64
89,human,human,3,True,True,True,"{4: 17, 2: 25, 3: 22}","[2844, 2682, 1779, 461, 2908, 2145, 1375, 2802, 2489, 1468, 3114, 362, 919, 2138, 1120, 1065, 133, 2578, 496, 1704, 1495, 250, 3028, 2427, 2600, 1249, 315, 1137, 18, 898, 1491, 2243, 1201, 1928, 1911, 217, 1295, 1346, 1702, 739, 72, 1074, 1284, 1506, 2432, 2598, 2579, 1653, 2528, 2636, 1856, 1025, 1878, 2226, 2212, 2395, 3032, 1687, 1383, 596, 59, 1213, 1519, 1556]",89,64,0,False,64
