n_shots,accuracy,run_num,nspw,f1
50,95.05494505494505,4,50,0.965201649401589
50,86.81318681318682,3,50,0.9071390230810521
10,91.20879120879121,2,10,0.6246825041087704
25,92.85714285714286,5,25,0.9492250555950648
10,90.10989010989012,5,10,0.6172553561088593
25,90.10989010989012,2,25,0.9147810703228659
32,85.71428571428571,7,32,0.8995354239256678
1,52.197802197802204,9,1,0.250131787032156
5,92.85714285714286,8,5,0.9493554016776445
32,96.15384615384616,0,32,0.9729672414755287
5,90.10989010989012,6,5,0.6172553561088593
1,48.9010989010989,0,1,0.5088947214931466
32,91.75824175824175,9,32,0.9421965317919075
1,51.64835164835166,7,1,0.2415544531065438
5,86.81318681318682,1,5,0.5943829677085356
50,91.20879120879121,2,50,0.9225121627598408
50,92.3076923076923,5,50,0.9460049937578029
32,95.05494505494505,8,32,0.9652435961828227
1,56.59340659340659,6,1,0.3129167355485755
5,93.95604395604396,0,5,0.9572450825104752
5,68.13186813186813,7,5,0.7342127569400296
1,62.637362637362635,1,1,0.6895283684289778
5,92.85714285714286,9,5,0.9492250555950648
32,81.31868131868131,1,32,0.5552378531791419
32,91.20879120879121,6,32,0.9381756454927187
1,57.692307692307686,8,1,0.3271921958642428
10,91.75824175824175,4,10,0.628525641025641
25,88.46153846153845,3,25,0.9189776870839327
10,87.91208791208791,3,10,0.8993188854489164
25,96.7032967032967,4,25,0.9767473118279569
5,88.46153846153845,4,5,0.6700992515979829
1,58.24175824175825,2,1,0.3341430499325237
1,47.8021978021978,5,1,0.45538042839410986
5,85.16483516483517,3,5,0.5828240387063918
32,95.6043956043956,5,32,0.9689964157706094
32,92.85714285714286,2,32,0.9341645073134814
10,93.95604395604396,0,10,0.9418959162612414
25,87.36263736263736,7,25,0.9111780791338803
10,89.56043956043956,7,10,0.926782273603083
25,95.05494505494505,0,25,0.9652761516073997
10,90.65934065934066,9,10,0.9186930897616402
25,91.20879120879121,9,25,0.9383409070658469
50,92.3076923076923,6,50,0.9460049937578029
50,89.01098901098901,1,50,0.9070875872299381
50,88.46153846153845,8,50,0.9188038486037078
25,92.3076923076923,8,25,0.9460338680926915
10,86.26373626373626,8,10,0.885441214977743
10,82.41758241758241,6,10,0.5632300660233621
25,88.46153846153845,1,25,0.6055332440874609
10,91.20879120879121,1,10,0.6246825041087704
25,82.41758241758241,6,25,0.5630067102728562
32,85.71428571428571,3,32,0.8836923701864206
32,96.15384615384616,4,32,0.9728472292290272
1,47.8021978021978,4,1,0.4609375
5,90.10989010989012,2,5,0.6171864972404056
5,81.86813186813187,5,5,0.5586854460093896
1,52.74725274725275,3,1,0.25853304284676837
50,91.20879120879121,9,50,0.9383244206773619
50,92.3076923076923,0,50,0.9460338680926915
50,83.51648351648352,7,50,0.8832658569500674
