n_shots,accuracy,run_num,nspw,f1
5,66.8,0,5,0.6580969064324953
32,86.8,8,32,0.8826998102835003
32,86.8,1,32,0.8826998102835003
32,86.8,6,32,0.8826998102835003
100,84.8,3,100,0.8626724705905952
100,84.8,4,100,0.8626724705905952
64,85.2,4,64,0.8864050747625404
64,85.2,3,64,0.8864050747625404
32,86.8,7,32,0.8826998102835003
1,65.2,0,1,0.670809051431585
32,86.8,0,32,0.8826998102835003
32,86.8,9,32,0.8826998102835003
64,85.2,2,64,0.8864050747625404
64,85.2,5,64,0.8864050747625404
100,84.8,5,100,0.8626724705905952
100,84.8,2,100,0.8626724705905952
64,85.2,8,64,0.8864050747625404
64,85.2,6,64,0.8864050747625404
64,85.2,1,64,0.8864050747625404
100,84.8,1,100,0.8626724705905952
100,84.8,6,100,0.8626724705905952
50,90.8,0,50,0.909325135412092
100,84.8,8,100,0.8626724705905952
32,86.8,3,32,0.8826998102835003
32,86.8,4,32,0.8826998102835003
100,84.8,9,100,0.8626724705905952
100,84.8,7,100,0.8626724705905952
100,93.2,0,100,0.9224021366741672
64,90.0,0,64,0.9176401703652388
64,85.2,7,64,0.8864050747625404
64,85.2,9,64,0.8864050747625404
10,74.8,0,10,0.7716042084362695
25,86.0,0,25,0.8933396147599707
32,86.8,5,32,0.8826998102835003
32,86.8,2,32,0.8826998102835003
