,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
360,description,description,2,True,True,True,"{5: 3, 4: 7, 2: 6, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651, 2519, 2775, 3900, 695, 2943]",360,25,8,False,25
17,human,human,3,True,True,True,"{5: 3, 4: 7, 2: 6, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651, 2519, 2775, 3900, 695, 2943]",17,25,8,False,25
361,entity,description,2,True,False,True,"{5: 3, 4: 7, 2: 6, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651, 2519, 2775, 3900, 695, 2943]",361,25,8,False,25
411,description,entity,1,True,False,True,"{5: 3, 4: 7, 2: 6, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651, 2519, 2775, 3900, 695, 2943]",411,25,8,False,25
67,description,description,2,True,True,True,"{5: 3, 4: 7, 2: 6, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651, 2519, 2775, 3900, 695, 2943]",67,25,8,False,25
425,location,entity,1,True,False,True,"{5: 3, 4: 7, 2: 6, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651, 2519, 2775, 3900, 695, 2943]",425,25,8,False,25
104,location,location,4,True,True,True,"{5: 3, 4: 7, 2: 6, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651, 2519, 2775, 3900, 695, 2943]",104,25,8,False,25
394,description,description,2,True,True,True,"{5: 3, 4: 7, 2: 6, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651, 2519, 2775, 3900, 695, 2943]",394,25,8,False,25
450,description,entity,1,True,False,True,"{5: 3, 4: 7, 2: 6, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651, 2519, 2775, 3900, 695, 2943]",450,25,8,False,25
141,entity,entity,1,True,True,True,"{5: 3, 4: 7, 2: 6, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651, 2519, 2775, 3900, 695, 2943]",141,25,8,False,25
