n_shots,accuracy,run_num,nspw,f1
5,49.2,8,5,0.36519647818609985
5,53.2,6,5,0.4319854280510018
5,62.0,1,5,0.41945558617765527
32,83.6,2,32,0.8551023807342578
32,78.0,5,32,0.6444236899011974
25,79.60000000000001,9,25,0.6638245177415535
1,24.4,6,1,0.1886046376259419
1,54.800000000000004,1,1,0.411691333806709
10,77.60000000000001,9,10,0.7581252368513166
25,86.0,0,25,0.868620941699877
10,74.0,7,10,0.7551616161616161
25,84.0,7,25,0.8744472171988126
1,30.0,8,1,0.22192699946323136
10,78.8,0,10,0.6267107530151008
5,64.0,0,5,0.5073569617899727
5,74.8,7,5,0.647007306486842
5,68.4,9,5,0.7172508309721047
25,83.2,6,25,0.7080929743575624
1,30.4,9,1,0.22226172029289337
10,81.6,1,10,0.7295356292307512
25,77.2,1,25,0.7250857486664669
10,65.2,6,10,0.5038652598555414
1,26.8,0,1,0.19313973063973064
10,77.2,8,10,0.650477891309856
25,84.0,8,25,0.6987706110990618
1,53.2,7,1,0.33494783006819445
32,79.60000000000001,4,32,0.663174301054451
32,80.80000000000001,3,32,0.6846250082703284
25,80.4,2,25,0.6801489979911386
10,73.2,5,10,0.6260447799534486
25,83.2,5,25,0.6941975721045489
10,72.0,2,10,0.5257684261108918
1,21.6,4,1,0.15199216470784363
1,53.2,3,1,0.344766742866819
32,82.39999999999999,9,32,0.8416736144271457
32,82.8,0,32,0.8481110334474495
32,84.8,7,32,0.8570773507337583
5,41.199999999999996,4,5,0.3142361111111111
5,50.4,3,5,0.38586232197570597
32,82.0,6,32,0.699475672813681
32,80.4,1,32,0.6649254780739025
32,82.8,8,32,0.6895089448448832
1,18.4,2,1,0.0519774011299435
1,50.4,5,1,0.3247798615312227
25,80.4,4,25,0.6794973131742892
10,71.2,3,10,0.5471997449938627
25,78.4,3,25,0.6665922825491607
10,83.2,4,10,0.703385094445431
5,51.6,2,5,0.3723041783574966
5,58.4,5,5,0.4506167706167706
