n_shots,accuracy,run_num,nspw,f1
75,84.0,6,75,0.7041460689960823
1,30.4,9,1,0.22226172029289337
2,23.200000000000003,6,2,0.1653106944935739
140,82.0,9,140,0.8366881525053659
2,37.6,1,2,0.20862577821190467
75,80.0,1,75,0.6699414688783931
140,80.0,0,140,0.8059985754484011
1,26.8,0,1,0.19313973063973064
75,80.0,8,75,0.8074619502868332
1,53.2,7,1,0.33494783006819445
2,33.2,8,2,0.22641557902162998
140,85.2,7,140,0.8701170592488054
20,81.6,9,20,0.682474043229587
5,64.4,7,5,0.5891758013482258
10,79.2,4,10,0.6683390457889301
25,78.4,3,25,0.6587802952722307
10,83.2,3,10,0.7017615232181124
25,78.0,4,25,0.6615043262737648
5,52.0,0,5,0.40022596802207205
20,85.2,0,20,0.7120031915080315
20,77.60000000000001,7,20,0.8003470337660854
5,54.0,9,5,0.4471398573549112
50,81.6,2,50,0.8360036243712647
50,85.6,5,50,0.7147666248368815
100,78.8,4,100,0.6462090130522334
100,79.2,3,100,0.7713300066006314
20,63.6,6,20,0.5647920019679
5,63.6,8,5,0.55086505801632
20,83.2,1,20,0.7542944116349318
10,78.4,2,10,0.6317733693734046
25,80.80000000000001,5,25,0.6758443203833601
5,62.8,1,5,0.4411742284763273
20,81.6,8,20,0.6777806280065316
5,47.599999999999994,6,5,0.37805986096073846
10,72.39999999999999,5,10,0.6290055949727482
25,78.4,2,25,0.6359999364716346
75,80.4,9,75,0.8314617499022298
1,24.4,6,1,0.1886046376259419
2,56.00000000000001,9,2,0.32664878599661207
140,80.4,6,140,0.7893098133322424
140,82.39999999999999,1,140,0.8410785216375132
1,54.800000000000004,1,1,0.411691333806709
2,40.400000000000006,0,2,0.27269170579029733
75,84.39999999999999,0,75,0.85664910395207
75,83.6,7,75,0.8619407808089927
1,30.0,8,1,0.22192699946323136
2,60.8,7,2,0.43572545340838026
140,78.0,8,140,0.7234105150401892
100,85.6,2,100,0.8698490138612832
100,85.2,5,100,0.7113418861334297
50,78.8,4,50,0.66174388192134
50,84.0,3,50,0.847867906068259
50,81.2,9,50,0.84113720460368
100,85.2,6,100,0.8692044092239896
100,82.39999999999999,1,100,0.6861887060271492
50,83.2,0,50,0.8485093082127037
50,84.8,7,50,0.8530108584132273
100,76.0,8,100,0.7129979123352772
25,81.2,8,25,0.6716602706413325
20,80.4,2,20,0.6625008017131334
20,80.0,5,20,0.6658504124001662
10,80.0,8,10,0.6795851367508648
5,48.0,5,5,0.35948402388440676
10,64.8,6,10,0.5128528721413391
25,81.6,1,25,0.680687380962815
10,83.6,1,10,0.8038443924676217
25,79.60000000000001,6,25,0.6815392301862641
5,51.6,2,5,0.36567098189020947
140,82.0,2,140,0.7903115462783258
1,18.4,2,1,0.0519774011299435
1,50.4,5,1,0.3247798615312227
140,78.0,5,140,0.6366790063092339
75,78.0,4,75,0.6342155538618292
2,35.6,4,2,0.2824130374198779
2,24.4,3,2,0.14519371588337104
75,79.60000000000001,3,75,0.7760206881038808
50,83.6,6,50,0.7055630359978187
100,81.6,9,100,0.8376991279035871
50,78.0,1,50,0.6487362010001702
100,84.8,0,100,0.8484622039157904
50,78.8,8,50,0.7913975388490523
100,84.39999999999999,7,100,0.8459132618946955
2,37.6,2,2,0.28455233291298865
75,84.0,2,75,0.8340581361479901
75,85.6,5,75,0.7144091710758378
2,23.200000000000003,5,2,0.13110446679351273
1,21.6,4,1,0.15199216470784363
140,78.0,4,140,0.6322528008684912
140,79.2,3,140,0.8071772951797148
1,53.2,3,1,0.344766742866819
10,78.0,0,10,0.6258918209225496
25,81.6,7,25,0.8548986441300283
5,40.0,3,5,0.337616284424795
5,42.0,4,5,0.3196005222079041
10,70.8,7,10,0.7206498581416096
25,85.6,0,25,0.8635395543476146
20,78.0,4,20,0.6650390936972198
10,76.4,9,10,0.7553956662340173
25,75.6,9,25,0.6456234357271002
20,79.2,3,20,0.6625756156280652
