n_shots,accuracy,run_num,nspw,f1
25,49.572649572649574,9,25,0.32839633253832035
10,18.803418803418804,9,10,0.11516589625064201
25,38.46153846153847,0,25,0.29477763871506046
10,37.60683760683761,7,10,0.2736697345604909
25,52.13675213675214,7,25,0.34047447701936867
10,29.914529914529915,0,10,0.16399488675575633
32,62.39316239316239,2,32,0.4931788386099712
32,49.572649572649574,5,32,0.3022604779247534
50,62.39316239316239,8,50,0.45784454893406307
50,46.15384615384615,1,50,0.3299224464580424
50,64.95726495726495,6,50,0.47010304727951785
1,1.7094017094017095,1,1,0.020683760683760686
1,17.094017094017094,6,1,0.09798665386900682
64,47.008547008547005,9,64,0.33889233146839637
1,11.965811965811966,8,1,0.03371290127195639
5,33.33333333333333,2,5,0.21422057194971014
64,60.68376068376068,7,64,0.4251761963526669
5,40.17094017094017,5,5,0.2279979360165118
64,58.119658119658126,0,64,0.5008563767387296
32,49.572649572649574,4,32,0.38499416036260575
32,56.41025641025641,3,32,0.4792393556264523
25,56.41025641025641,6,25,0.35970178840767075
10,29.059829059829063,1,10,0.13349238996297821
25,51.28205128205128,1,25,0.3607314481849586
10,19.65811965811966,6,10,0.12497016497016497
10,28.205128205128204,8,10,0.1890775765705343
25,41.02564102564102,8,25,0.3380495473518729
5,15.384615384615385,4,5,0.07221525600835946
64,52.991452991452995,1,64,0.4272050116234177
1,22.22222222222222,9,1,0.18486772486772488
5,19.65811965811966,3,5,0.09446620046620048
64,67.52136752136752,6,64,0.4748895127845188
1,8.547008547008547,7,1,0.031153846153846153
64,66.66666666666666,8,64,0.5045966000019035
1,21.367521367521366,0,1,0.1263734771603624
50,56.41025641025641,7,50,0.37444906383606075
50,57.26495726495726,0,50,0.4701661140791576
50,54.700854700854705,9,50,0.39530507346094906
5,23.931623931623932,0,5,0.1598205128205128
64,48.717948717948715,5,64,0.3835576213792532
5,16.23931623931624,7,5,0.08305710536501554
64,54.700854700854705,2,64,0.44557753357753355
5,16.23931623931624,9,5,0.08875565964090554
1,10.256410256410255,3,1,0.0075
1,13.675213675213676,4,1,0.10343859649122807
50,56.41025641025641,3,50,0.42044192891878757
50,53.84615384615385,4,50,0.38050803463187366
32,49.572649572649574,9,32,0.3458723176227012
32,34.18803418803419,0,32,0.2604376538494186
32,56.41025641025641,7,32,0.35721285887713433
25,68.37606837606837,2,25,0.5202189118071472
10,42.73504273504273,5,10,0.27278313398463594
25,57.26495726495726,5,25,0.39037198498003456
10,44.44444444444444,2,10,0.34740553882591185
50,53.84615384615385,5,50,0.3632523202287908
50,47.863247863247864,2,50,0.37162633771457293
1,10.256410256410255,5,1,0.11387468671679198
5,18.803418803418804,8,5,0.09867404946474713
1,8.547008547008547,2,1,0.06421621621621622
5,19.65811965811966,6,5,0.1035897435897436
64,58.97435897435898,3,64,0.5175639182354246
5,26.495726495726498,1,5,0.17442213926424455
64,52.991452991452995,4,64,0.37558550397021256
25,48.717948717948715,4,25,0.3542068660065169
10,29.914529914529915,3,10,0.24004194866166695
25,49.572649572649574,3,25,0.35661072261072263
10,38.46153846153847,4,10,0.22308138669840796
32,61.53846153846154,6,32,0.4291128497375961
32,48.717948717948715,1,32,0.3894187250657839
32,47.008547008547005,8,32,0.3730369763421927
