n_shots,accuracy,run_num,nspw,f1
100,56.8,3,100,0.30070410972554834
64,60.4,4,64,0.2370471542512621
100,54.400000000000006,4,100,0.25438833738024563
64,57.99999999999999,3,64,0.23784948672744768
5,7.199999999999999,7,5,0.041667729930887826
5,17.2,0,5,0.041031882701691474
50,55.2,2,50,0.2621008816545396
1,5.2,4,1,0.05009339239571798
50,50.8,5,50,0.3216628450698324
1,8.799999999999999,3,1,0.052250565355042966
5,29.599999999999998,9,5,0.22401279113043818
32,56.39999999999999,1,32,0.16408180791713226
32,55.2,6,32,0.2198220156138232
32,51.2,8,32,0.19688132098486785
10,43.6,4,10,0.20354301186109275
25,53.6,3,25,0.18342611676168277
10,42.4,3,10,0.11377478971512638
25,44.0,4,25,0.1484932753966223
50,49.6,4,50,0.20254341216697824
1,0.4,2,1,0.00015999999999999996
5,32.4,8,5,0.12699996595089405
50,62.4,3,50,0.2827479761928879
1,10.8,5,1,0.08383797895468376
5,45.6,1,5,0.26942736827961916
5,23.200000000000003,6,5,0.06491277449731764
100,64.0,5,100,0.3312338571650898
64,60.4,2,64,0.2868009314341449
100,57.99999999999999,2,100,0.3022741113725095
64,63.6,5,64,0.35885504998004997
10,24.4,2,10,0.17305291005291007
25,48.8,5,25,0.2779899819210164
10,32.4,5,10,0.13535847379409585
25,54.400000000000006,2,25,0.1936565281140753
32,55.60000000000001,9,32,0.2182368418175532
32,38.800000000000004,7,32,0.23799215322079348
32,48.0,0,32,0.13780667166050475
10,30.8,6,10,0.09535910038243305
25,52.800000000000004,1,25,0.16465323079922048
10,50.4,1,10,0.24594017801931806
25,45.6,6,25,0.22072820453308478
25,57.199999999999996,8,25,0.16447619047619047
10,42.0,8,10,0.17300042294145382
32,60.0,3,32,0.24490946773841468
32,40.400000000000006,4,32,0.09691867330931958
1,6.4,6,1,0.04663766233766234
50,58.8,0,50,0.29332004702749975
1,6.800000000000001,1,1,0.034626050420168066
50,57.199999999999996,7,50,0.35243851912510804
50,48.4,9,50,0.2888812076812077
5,18.8,5,5,0.07614236396514877
1,20.0,8,1,0.06364917304917306
5,21.6,2,5,0.0963714981718574
100,66.8,1,100,0.3380203434700458
64,60.0,6,64,0.2725500218735513
100,59.599999999999994,6,100,0.2832487366571031
64,60.4,1,64,0.1837724569513151
100,57.599999999999994,8,100,0.183479222950632
64,60.0,8,64,0.2495967291222709
32,54.400000000000006,5,32,0.27297964594598545
32,53.2,2,32,0.22266701139124778
10,42.0,9,10,0.30427863127590726
25,52.800000000000004,9,25,0.20557651767382384
10,38.0,0,10,0.06619705032912579
25,38.0,7,25,0.21459362275151755
10,11.600000000000001,7,10,0.07067724867724869
25,44.4,0,25,0.0917518625096626
64,47.599999999999994,9,64,0.26016617668650144
100,50.8,9,100,0.2528493866215842
100,66.4,7,100,0.3673952882171148
64,64.4,0,64,0.30000121713056904
100,58.8,0,100,0.24804264165998546
64,60.0,7,64,0.37776305957568285
1,19.6,9,1,0.0998001443001443
5,19.6,3,5,0.03974369469095149
50,64.0,8,50,0.304776447907098
5,25.6,4,5,0.16216949847404624
1,2.8000000000000003,0,1,0.007638326585695008
50,52.800000000000004,6,50,0.2671447270399046
1,13.200000000000001,7,1,0.0730177749080188
50,61.199999999999996,1,50,0.20878806282282908
