n_shots,accuracy,run_num,nspw,f1
2,15.2,9,2,0.10717216117216118
25,40.400000000000006,7,25,0.24002638604333512
10,37.6,0,10,0.06978998363814307
25,44.800000000000004,0,25,0.11076666352657943
10,14.399999999999999,7,10,0.07852725027063812
10,42.8,9,10,0.28360266342915424
2,13.200000000000001,0,2,0.015295238095238098
20,46.800000000000004,4,20,0.20090245654695782
2,15.6,7,2,0.07754621848739494
20,50.4,3,20,0.19361510419405153
25,59.199999999999996,9,25,0.23319135521015497
75,62.0,2,75,0.330105992263887
131,70.39999999999999,5,131,0.4165344734833226
5,26.8,8,5,0.1346291486291486
75,57.199999999999996,5,75,0.34901057448425876
131,61.6,2,131,0.3227146321841105
5,47.199999999999996,1,5,0.2682257530828959
5,17.2,6,5,0.03424917173424458
1,8.799999999999999,3,1,0.052250565355042966
50,57.99999999999999,6,50,0.251984778461414
50,65.2,1,50,0.2814089230889376
1,5.2,4,1,0.05009339239571798
100,64.8,2,100,0.31586745695951646
100,62.0,5,100,0.36419612584318467
50,66.4,8,50,0.3268018178109712
5,11.200000000000001,7,5,0.059054705024854284
5,19.2,0,5,0.10307041847041847
131,55.2,3,131,0.278793871015839
75,57.599999999999994,4,75,0.2983075425207818
131,54.400000000000006,4,131,0.24610272416794154
75,56.00000000000001,3,75,0.229028331317805
5,38.4,9,5,0.26631454510401875
2,15.6,6,2,0.04809919938491367
20,55.2,2,20,0.12851276838881398
25,59.599999999999994,8,25,0.17912281825157728
10,47.599999999999994,8,10,0.21479748934921347
2,2.4,1,2,0.0044444444444444444
20,54.800000000000004,5,20,0.2414266285302
25,61.6,1,25,0.2582251066828579
10,36.0,6,10,0.08881629044303646
2,32.800000000000004,8,2,0.14849834960361277
25,42.0,6,25,0.16484380409522104
10,60.0,1,10,0.29433851554707735
100,53.6,4,100,0.2356724421937189
50,56.8,9,50,0.2918653451811346
100,57.599999999999994,3,100,0.221653771369654
50,57.199999999999996,0,50,0.28467489646872585
1,10.8,5,1,0.08383797895468376
1,0.4,2,1,0.00015999999999999996
50,57.199999999999996,7,50,0.35226343163382023
100,60.8,0,100,0.27713624816547605
1,20.0,8,1,0.06364917304917306
100,61.199999999999996,7,100,0.3584910959521256
100,55.2,9,100,0.31850508504741915
1,6.800000000000001,1,1,0.034626050420168066
50,46.400000000000006,4,50,0.23589880642310856
50,56.00000000000001,3,50,0.23733684363464252
1,6.4,6,1,0.04663766233766234
5,12.8,3,5,0.03418071166339506
75,54.800000000000004,9,75,0.33386918810690347
131,62.4,9,131,0.322096848143907
5,25.6,4,5,0.1485650074485026
75,58.8,0,75,0.28479960734838783
131,62.8,7,131,0.3422601981058435
75,60.8,7,75,0.40568698930928027
131,57.99999999999999,0,131,0.2674379910816001
2,9.6,2,2,0.01754021711869872
20,32.4,6,20,0.17963619336904274
2,8.4,5,2,0.016242424242424242
20,62.4,1,20,0.2784961880225038
25,50.0,5,25,0.2682440773363505
10,34.0,2,10,0.18200386650386652
25,54.0,2,25,0.17620540107605961
10,34.0,5,10,0.1375976030142697
20,56.00000000000001,8,20,0.19094984267231566
50,54.800000000000004,2,50,0.24682642724152157
1,13.200000000000001,7,1,0.0730177749080188
100,57.99999999999999,8,100,0.20208929235016193
1,2.8000000000000003,0,1,0.007638326585695008
50,57.199999999999996,5,50,0.3528217702964153
100,56.00000000000001,6,100,0.28132009458348434
100,65.60000000000001,1,100,0.32710434651920717
1,19.6,9,1,0.0998001443001443
25,51.6,3,25,0.16234651096791278
10,52.400000000000006,4,10,0.23965325474292776
20,54.400000000000006,9,20,0.2307439845348389
25,41.199999999999996,4,25,0.1643795791038354
10,50.4,3,10,0.21315576942223188
2,6.4,4,2,0.055736192879170164
20,45.6,0,20,0.08903689190758156
2,8.0,3,2,0.015717643108947455
20,34.4,7,20,0.2062569925020072
131,68.4,1,131,0.3355252756073189
75,57.199999999999996,6,75,0.26564834893053946
131,58.8,6,131,0.2818542805740275
75,64.0,1,75,0.23678530292746344
131,62.0,8,131,0.2131490507659923
5,18.0,5,5,0.07250123817643
5,24.4,2,5,0.13211396946588067
75,59.199999999999996,8,75,0.26070199645666536
