n_shots,accuracy,run_num,nspw,f1
50,70.0,4,50,0.6275162542763376
500,94.0,1,500,0.9394469904654033
500,90.8,6,500,0.9032225688511333
50,72.0,3,50,0.6689044475930506
100,84.39999999999999,9,100,0.8341320256608672
500,92.80000000000001,8,500,0.911639755696298
100,81.6,7,100,0.7691845350499913
100,80.0,0,100,0.7729982909633604
5,55.60000000000001,2,5,0.4938707765194982
5,55.2,5,5,0.4789551521749664
200,89.2,4,200,0.8908072014618373
25,66.0,3,25,0.6125890714532489
200,83.6,3,200,0.8326292730317499
25,64.0,4,25,0.5594671174171467
10,55.60000000000001,8,10,0.48290050042534977
10,57.599999999999994,1,10,0.4911665983523427
2,48.8,5,2,0.427530244421992
10,59.199999999999996,6,10,0.5387555499038276
2,45.6,2,2,0.3955602010726152
1,47.599999999999994,5,1,0.42812366359629905
20,64.4,4,20,0.5670132058864571
20,58.8,3,20,0.5429773624555277
1,45.2,2,1,0.39223643789259266
250,90.0,2,250,0.8960464629969275
75,80.4,5,75,0.7652764522244725
250,88.0,5,250,0.8692166179374915
75,79.2,2,75,0.7612113137166096
200,89.60000000000001,2,200,0.8874551875712869
25,66.8,5,25,0.5911348033877191
200,89.2,5,200,0.8809449661739055
25,66.8,2,25,0.6101013936215123
5,51.2,4,5,0.4428009361254197
5,49.6,3,5,0.447800074932303
100,84.39999999999999,1,100,0.8196961354326517
500,93.2,9,500,0.9307364676946719
100,79.2,6,100,0.7724236810027914
500,90.4,7,500,0.9069768939350983
100,78.8,8,100,0.7474276110433842
50,74.8,2,50,0.709245668770132
50,75.6,5,50,0.7051983571551184
500,91.60000000000001,0,500,0.9180117017395001
250,89.2,4,250,0.8787637371228703
75,74.0,3,75,0.7104810089065426
250,84.8,3,250,0.8489445551642065
75,73.6,4,75,0.6658301300522664
20,60.8,2,20,0.5386472317304369
1,46.0,3,1,0.3903648848068807
1,42.8,4,1,0.36446627696135236
20,62.8,5,20,0.551119133291417
10,54.400000000000006,7,10,0.4744951440896741
2,49.6,3,2,0.43115877407970826
10,52.0,0,10,0.45856643845189804
2,24.0,4,2,0.21150735458898187
10,52.0,9,10,0.46232230949723213
250,85.2,0,250,0.8524590691386358
75,76.0,7,75,0.71949057203625
1,45.6,9,1,0.40259151323392806
250,90.4,7,250,0.9020756844408464
75,72.0,0,75,0.6915773917008942
20,59.199999999999996,8,20,0.5118286814046143
1,39.6,7,1,0.33034895176227774
250,90.0,9,250,0.8917751748369315
20,64.8,6,20,0.5895696465867771
75,79.2,9,75,0.7821945056141946
20,64.8,1,20,0.5579694642179145
1,44.800000000000004,0,1,0.39955183848372716
10,51.6,3,10,0.4732798930289561
2,50.0,7,2,0.4159180883674911
10,60.0,4,10,0.5185272815360896
2,49.2,0,2,0.4297090762985443
2,49.2,9,2,0.4139752523400178
5,50.0,9,5,0.41905364887636104
200,84.0,6,200,0.8348379600049798
25,64.4,1,25,0.569522967383769
200,87.6,1,200,0.8667328109400783
25,63.2,6,25,0.5927787846317575
5,47.199999999999996,0,5,0.42399058200141787
25,62.4,8,25,0.5615906891721624
5,53.6,7,5,0.4540919657745965
200,91.60000000000001,8,200,0.9128373197421592
100,80.80000000000001,5,100,0.790013006975958
50,69.6,8,50,0.6553327275274871
100,86.4,2,100,0.8472371496752302
50,72.8,6,50,0.676767126295729
500,90.4,3,500,0.8977684113457151
500,92.80000000000001,4,500,0.921706492229549
50,74.4,1,50,0.6654798232714969
2,52.0,8,2,0.4550632646843442
10,55.60000000000001,5,10,0.4808669438128316
2,49.2,1,2,0.4152167678719032
10,52.800000000000004,2,10,0.4653123706916277
2,42.0,6,2,0.373717310095019
75,73.6,8,75,0.701850080332645
20,57.99999999999999,0,20,0.5124086273357268
1,39.6,1,1,0.3319727383388374
1,47.599999999999994,6,1,0.43473940919761356
250,90.8,8,250,0.8996440824940091
20,61.6,7,20,0.5441479024467193
1,47.599999999999994,8,1,0.40791172669343034
250,84.0,6,250,0.8378649964191336
75,81.6,1,75,0.7602130519889693
20,56.8,9,20,0.5428645077832384
250,90.4,1,250,0.8898647213051647
75,76.4,6,75,0.7206003719181983
500,90.4,5,500,0.8953279258355027
50,66.4,0,50,0.6272638917146927
50,73.2,7,50,0.6937885598943614
500,90.4,2,500,0.9026391291524906
100,82.8,3,100,0.7950657735344877
50,66.4,9,50,0.6629811071944851
100,84.8,4,100,0.8281135524844391
5,55.60000000000001,6,5,0.5111926791456692
200,88.0,9,200,0.8643379197884656
5,51.2,1,5,0.4465313517052171
25,57.99999999999999,9,25,0.5413974950148976
200,86.4,0,200,0.8600133865735954
25,63.6,7,25,0.5934216611094565
5,52.400000000000006,8,5,0.46254172512319824
200,87.2,7,200,0.8567273478427138
25,60.4,0,25,0.5347809354781498
