n_shots,accuracy,run_num,nspw,f1
2,44.0,5,2,0.5254837733073027
100,71.2,4,100,0.6497705523464036
2,34.4,2,2,0.3869216379957953
100,54.400000000000006,3,100,0.6429341498609789
10,43.6,2,10,0.4410118964855807
10,49.6,5,10,0.551832252549494
20,52.0,7,20,0.6178291756657767
200,81.6,7,200,0.7942139226060791
20,49.6,0,20,0.6147447046654205
75,75.2,8,75,0.7318635423574196
200,85.2,0,200,0.7988021738609971
1,36.4,5,1,0.41482089445233095
75,63.6,6,75,0.6802436953025186
20,49.2,9,20,0.6028626512210739
1,38.4,2,1,0.454539874275099
75,76.0,1,75,0.6770675381263614
200,80.80000000000001,9,200,0.7899297132994608
50,57.199999999999996,7,50,0.6718486829075063
50,66.8,0,50,0.6535989746810873
50,52.800000000000004,9,50,0.6217675706041716
250,81.6,1,250,0.798850441909265
25,50.4,9,25,0.6242368660146435
250,86.0,6,250,0.8254492932805305
250,86.4,8,250,0.792747857806681
25,48.8,0,25,0.5937305435305436
5,40.400000000000006,2,5,0.41403226403226406
5,48.4,5,5,0.5280419299729643
25,52.400000000000006,7,25,0.5936260972626983
1,38.4,3,1,0.4538044835822613
20,48.4,8,20,0.5659292912364807
75,70.0,0,75,0.6704172820643405
200,86.4,8,200,0.7957408011297384
1,42.4,4,1,0.49796068329943666
75,58.8,7,75,0.6918630033268901
20,47.199999999999996,1,20,0.553822964749794
75,55.60000000000001,9,75,0.6540463288829299
200,81.6,1,200,0.8008569738928085
20,53.6,6,20,0.5579411237565205
200,76.8,6,200,0.771086052490915
10,47.199999999999996,4,10,0.5580438433510329
10,46.0,3,10,0.5489801782579559
2,38.800000000000004,3,2,0.4787332585110364
100,71.6,2,100,0.6944980845423475
2,43.2,4,2,0.5102583748390199
100,82.39999999999999,5,100,0.7581341566929799
5,45.6,4,5,0.5376543185811478
25,57.599999999999994,6,25,0.5273468013468013
250,84.0,9,250,0.8182421413009645
25,52.800000000000004,1,25,0.6040318858096635
5,42.4,3,5,0.5243569681347459
250,81.6,7,250,0.8136649096914749
250,86.0,0,250,0.8070557890982188
25,51.6,8,25,0.620134027676511
50,74.0,8,50,0.6363213599888788
50,66.8,1,50,0.6307991637991635
50,62.8,6,50,0.6029727889168582
25,47.599999999999994,2,25,0.5639631804015365
5,42.8,0,5,0.5201895254409874
5,45.2,7,5,0.5585943269527497
25,63.2,5,25,0.6283307379816372
5,42.4,9,5,0.5015113101154292
250,90.8,3,250,0.8350111007365907
250,86.0,4,250,0.828005168397325
50,68.0,5,50,0.7090423650423646
50,52.400000000000006,2,50,0.5820599880772915
75,74.8,4,75,0.622440500362633
1,40.0,7,1,0.45756311481457684
75,54.400000000000006,3,75,0.6618953556731332
1,42.0,0,1,0.48489995415141623
20,58.4,5,20,0.5432451524992906
200,86.4,5,200,0.8154662409766771
1,43.2,9,1,0.4885560293074913
20,48.0,2,20,0.5342211591650209
200,78.4,2,200,0.7882738873327106
10,44.800000000000004,0,10,0.5483880947196427
2,41.199999999999996,9,2,0.4736495644273422
100,82.39999999999999,8,100,0.7889746959580475
10,44.800000000000004,7,10,0.5514985900147577
2,42.4,7,2,0.5041450870719163
100,69.19999999999999,6,100,0.6996345140927183
10,44.800000000000004,9,10,0.5276728651617226
2,40.400000000000006,0,2,0.4753924168775117
100,76.4,1,100,0.7202842712842709
50,53.6,3,50,0.6418978127963335
50,73.6,4,50,0.6505037185037184
250,90.0,5,250,0.8489136179724411
5,44.0,8,5,0.5143796938804318
250,84.0,2,250,0.8264708994708992
5,41.199999999999996,6,5,0.5069252893258028
25,65.60000000000001,4,25,0.583036447423544
25,45.6,3,25,0.5434401072178849
5,43.6,1,5,0.5191640324154944
2,42.8,1,2,0.5128440032024262
100,72.0,0,100,0.7080553074001346
2,40.400000000000006,6,2,0.5082849455364076
100,75.6,7,100,0.7573753707790217
10,46.800000000000004,8,10,0.5320080766485994
2,46.400000000000006,8,2,0.5465955791968863
100,54.800000000000004,9,100,0.6411195873474927
10,46.800000000000004,6,10,0.5605229198301093
10,43.2,1,10,0.48782860760638536
20,49.2,3,20,0.5846522501947335
1,40.0,8,1,0.4656612194389973
200,87.2,3,200,0.7894961944373706
20,60.8,4,20,0.559663139963535
200,84.0,4,200,0.777447610031857
75,66.4,2,75,0.6766747457136472
1,38.0,1,1,0.4367879444922368
75,74.8,5,75,0.6798655462184873
1,39.2,6,1,0.445118340457094
