n_shots,accuracy,run_num,nspw,f1
10,100.0,2,10,0.06622516556291391
10,100.0,5,10,0.06622516556291391
5,100.0,2,5,0.033112582781456956
250,99.6,6,250,0.8176600441501104
75,98.66666666666667,6,75,0.3730684326710817
5,100.0,5,5,0.033112582781456956
250,98.4,1,250,0.7929359823399558
75,98.66666666666667,1,75,0.37527593818984545
20,100.0,9,20,0.12582781456953643
20,100.0,7,20,0.11920529801324503
250,99.6,8,250,0.8123620309050772
75,100.0,8,75,0.3576158940397351
20,100.0,0,20,0.12582781456953643
100,100.0,3,100,0.4900662251655629
50,100.0,9,50,0.2781456953642384
100,99.0,4,100,0.4591611479028697
50,96.0,7,50,0.24503311258278146
2,50.0,5,2,0.006622516556291391
500,99.8,5,500,0.9720382634289919
2,50.0,2,2,0.006622516556291391
500,99.2,2,500,0.946215227009929
50,100.0,0,50,0.304635761589404
1,100.0,5,1,0.006622516556291391
25,100.0,0,25,0.152317880794702
200,99.5,0,200,0.7390728476821191
25,100.0,7,25,0.1390728476821192
200,98.5,7,200,0.7293598233995584
1,100.0,2,1,0.006622516556291391
25,92.0,9,25,0.13245033112582782
200,98.5,9,200,0.7495083283162753
250,98.0,9,250,0.7947019867549668
75,98.66666666666667,9,75,0.42163355408388525
20,100.0,1,20,0.12582781456953643
20,95.0,6,20,0.11258278145695365
5,100.0,4,5,0.033112582781456956
250,98.8,0,250,0.8144825740852231
75,100.0,0,75,0.4304635761589404
20,100.0,8,20,0.13245033112582782
5,100.0,3,5,0.033112582781456956
250,99.6,7,250,0.8056764427625354
75,97.33333333333334,7,75,0.37483443708609265
10,100.0,4,10,0.059602649006622516
10,100.0,3,10,0.06622516556291391
25,96.0,8,25,0.152317880794702
200,96.0,8,200,0.7467991169977926
25,100.0,6,25,0.1456953642384106
200,99.5,6,200,0.7514348785871965
1,100.0,3,1,0.006622516556291391
1,0.0,4,1,0.0
25,100.0,1,25,0.15894039735099338
200,99.5,1,200,0.7315673289183223
2,50.0,3,2,0.006622516556291391
500,99.4,3,500,0.9619678334910122
50,98.0,1,50,0.28256070640176606
50,100.0,6,50,0.2781456953642384
2,50.0,4,2,0.006622516556291391
500,98.2,4,500,0.9434877852096393
50,96.0,8,50,0.26490066225165565
100,97.0,5,100,0.4644591611479028
100,98.0,2,100,0.4079470198675496
1,100.0,9,1,0.006622516556291391
1,100.0,7,1,0.006622516556291391
25,100.0,2,25,0.152317880794702
200,98.0,2,200,0.6833041866154449
25,92.0,5,25,0.1368653421633554
200,98.0,5,200,0.712961210974456
1,100.0,0,1,0.006622516556291391
50,94.0,5,50,0.24812362030905077
100,100.0,8,100,0.46357615894039733
2,100.0,7,2,0.013245033112582781
500,99.0,7,500,0.9575604674942422
2,100.0,0,2,0.013245033112582781
500,99.2,0,500,0.9742534139885133
50,98.0,2,50,0.2503311258278145
100,99.0,1,100,0.47461368653421626
100,99.0,6,100,0.49889624724061815
2,100.0,9,2,0.013245033112582781
500,99.0,9,500,0.9434330209369676
5,100.0,9,5,0.033112582781456956
20,95.0,5,20,0.11699779249448125
20,100.0,2,20,0.12582781456953643
5,80.0,0,5,0.024282560706401765
250,98.8,4,250,0.7705035214968988
75,98.66666666666667,4,75,0.39293598233995586
5,80.0,7,5,0.026490066225165563
250,100.0,3,250,0.8145695364238411
75,100.0,3,75,0.3841059602649007
10,100.0,9,10,0.06622516556291391
10,90.0,0,10,0.052980132450331126
10,90.0,7,10,0.059602649006622516
100,99.0,7,100,0.4741721854304635
2,100.0,8,2,0.013245033112582781
500,98.8,8,500,0.956325505858034
100,100.0,0,100,0.5165562913907285
2,100.0,1,2,0.013245033112582781
500,99.4,1,500,0.961807287635102
50,100.0,3,50,0.2847682119205298
50,100.0,4,50,0.2781456953642384
100,100.0,9,100,0.5165562913907285
2,100.0,6,2,0.013245033112582781
500,98.6,6,500,0.9462399263723766
25,100.0,4,25,0.1390728476821192
200,98.0,4,200,0.6894144854409754
1,100.0,1,1,0.006622516556291391
1,100.0,6,1,0.006622516556291391
25,100.0,3,25,0.1456953642384106
200,100.0,3,200,0.7350993377483444
1,100.0,8,1,0.006622516556291391
10,90.0,6,10,0.059602649006622516
10,100.0,1,10,0.059602649006622516
10,100.0,8,10,0.06622516556291391
5,80.0,6,5,0.026490066225165563
250,99.2,2,250,0.7863975612319983
75,97.33333333333334,2,75,0.33509933774834433
5,100.0,1,5,0.033112582781456956
250,98.8,5,250,0.8159781351834331
75,96.0,5,75,0.38498896247240616
20,100.0,3,20,0.13245033112582782
5,100.0,8,5,0.033112582781456956
20,100.0,4,20,0.11258278145695365
