n_shots,accuracy,run_num,nspw,f1
5,44.0,6,5,0.3300472154776789
10,45.2,3,10,0.3452385730531425
10,48.8,4,10,0.37777061956744556
5,46.800000000000004,1,5,0.35663064842747444
200,76.0,4,200,0.5302499302225265
5,43.6,8,5,0.33516479840983143
200,78.0,3,200,0.5790439217477354
75,66.4,7,75,0.4719240656326747
500,84.39999999999999,1,500,0.6095845959076595
500,82.39999999999999,6,500,0.5973369774694278
750,89.60000000000001,9,750,0.6441447231164987
100,60.4,9,100,0.4800250257726729
20,50.4,8,20,0.38892855655319714
75,72.0,0,75,0.49273719164402274
500,84.0,8,500,0.6031953178622441
750,89.2,7,750,0.6345774203721226
100,67.2,7,100,0.4623665476095811
20,51.6,6,20,0.3937359672459008
100,76.8,0,100,0.5352235445124952
20,51.2,1,20,0.38874770355777455
75,58.4,9,75,0.4499450602849326
750,91.2,0,750,0.6463260801009145
1,44.800000000000004,1,1,0.3332363458940991
50,54.800000000000004,8,50,0.4218434741613547
1,34.4,6,1,0.26137390938715444
250,75.2,2,250,0.5079950824399596
50,55.60000000000001,6,50,0.44014331265986867
1,34.0,8,1,0.259207764209507
250,69.6,5,250,0.5374633276951155
50,56.00000000000001,1,50,0.4390968222616878
2,36.0,8,2,0.27715042989877425
25,52.0,1,25,0.3974568384258499
1212,91.60000000000001,3,1212,0.6450804162724695
25,52.0,6,25,0.3995308713851759
1212,90.0,4,1212,0.640451438023182
25,52.800000000000004,8,25,0.4075204148574659
2,42.4,1,2,0.31872668660748116
2,38.800000000000004,6,2,0.313732220685863
100,60.4,1,100,0.48348839836958235
20,53.6,0,20,0.4106508718088198
75,64.4,8,75,0.4594891315773834
750,88.4,1,750,0.6281307258421853
500,82.8,9,500,0.5949624998286097
750,88.4,6,750,0.6312032993063565
100,68.8,6,100,0.4789668529912743
20,58.8,7,20,0.3743286433131906
500,86.0,7,500,0.5989571686591555
750,84.39999999999999,8,750,0.5981413366413443
100,64.8,8,100,0.49270231937507536
20,51.2,9,20,0.41074705280003276
75,59.599999999999994,1,75,0.47378874787034203
75,59.199999999999996,6,75,0.47820686470567747
500,90.0,0,500,0.6345664827025047
5,43.2,9,5,0.32967519034618864
200,72.8,2,200,0.48833813189475533
200,70.0,5,200,0.5318868002138949
10,48.8,5,10,0.3743222283707099
5,47.599999999999994,0,5,0.3621785221872687
5,47.199999999999996,7,5,0.31781915656087834
10,49.2,2,10,0.38240127544763286
2,40.0,7,2,0.3146757706360354
25,50.8,9,25,0.39763243545575155
2,40.8,0,2,0.30698962553267184
