n_shots,accuracy,run_num,nspw,f1
10,68.0,0,10,0.4672031251699405
10,56.39999999999999,7,10,0.3550156618102731
10,56.39999999999999,9,10,0.4185267886735493
75,90.4,4,75,0.7010397408630815
250,92.80000000000001,4,250,0.7396399433071669
250,93.60000000000001,3,250,0.7463212281635098
75,89.2,3,75,0.6705165264842684
20,76.0,5,20,0.5048619763523976
5,55.2,4,5,0.2986998131262448
20,72.0,2,20,0.5583645632113021
5,46.0,3,5,0.34138209360838545
2,45.2,3,2,0.3290686507415373
100,91.60000000000001,1,100,0.6935254886272759
2,40.0,4,2,0.21570819287082263
100,89.60000000000001,6,100,0.6803587757544429
50,90.0,5,50,0.6974258589101059
100,91.60000000000001,8,100,0.7161050096938443
50,83.6,2,50,0.6186253847533573
200,95.19999999999999,2,200,0.8091793131756421
25,71.2,2,25,0.56742336634278
25,75.6,5,25,0.4886325615189678
200,94.39999999999999,5,200,0.780381973582867
1,41.6,3,1,0.31965042034839736
1,41.6,4,1,0.28749661035549484
20,76.8,3,20,0.574262111464253
5,60.8,2,5,0.38341730007342995
20,79.2,4,20,0.48138165660562593
5,44.0,5,5,0.22227651336562226
250,96.39999999999999,2,250,0.8196651859959586
75,90.8,2,75,0.767599655246714
75,92.80000000000001,5,75,0.7315845619827775
250,93.60000000000001,5,250,0.7716202553649244
10,68.8,8,10,0.4574891280276066
10,61.6,6,10,0.45151275072527447
10,67.2,1,10,0.4707023010705034
1,37.6,5,1,0.22262668507115943
1,42.4,2,1,0.26189778024003774
25,84.8,4,25,0.6131170092755455
200,92.4,4,200,0.7238363777337803
200,92.4,3,200,0.7057192150005208
25,74.4,3,25,0.550071211628098
50,87.6,3,50,0.6589060455901801
50,85.6,4,50,0.5768306583340651
100,90.0,9,100,0.6798627324445597
2,37.2,5,2,0.23251114449447918
100,90.8,7,100,0.6890367627990429
2,48.4,2,2,0.22918810625455602
100,93.60000000000001,0,100,0.7933131051579866
25,71.2,9,25,0.5187550474527834
200,92.0,9,200,0.739688869939524
1,53.6,1,1,0.34612205268453566
1,52.400000000000006,6,1,0.37056580079120294
1,42.4,8,1,0.3604604576671227
200,92.80000000000001,0,200,0.7777592470921513
25,82.0,0,25,0.584643852198666
25,82.39999999999999,7,25,0.5610611660115891
200,94.39999999999999,7,200,0.7703942086980115
50,86.4,7,50,0.6619794605839538
2,43.6,8,2,0.4164000019021403
50,89.2,0,50,0.7012455436265518
2,59.599999999999994,1,2,0.396610089257148
100,89.2,3,100,0.7080882015221691
50,87.2,9,50,0.6986837283216089
2,45.6,6,2,0.3011059076229355
100,90.0,4,100,0.6491733167733935
5,54.800000000000004,6,5,0.38162957427290584
20,80.0,7,20,0.5342745435871389
5,61.199999999999996,1,5,0.4273945489406044
75,90.8,8,75,0.7085737276393465
20,81.6,0,20,0.5859036272651833
250,92.80000000000001,8,250,0.7621702658991324
75,86.0,6,75,0.6587186004336995
250,95.6,6,250,0.7685331335146156
250,94.0,1,250,0.7624426042840365
75,92.4,1,75,0.7820635138504418
5,59.199999999999996,8,5,0.3880468550822589
20,52.400000000000006,9,20,0.3970615399831841
10,60.8,2,10,0.3453588728932525
10,60.4,5,10,0.41775882151294114
50,80.4,8,50,0.5276114206640364
2,58.8,7,2,0.37860847797525454
100,92.80000000000001,5,100,0.7382568917385367
2,56.8,0,2,0.42544643700071944
100,89.60000000000001,2,100,0.7215300643539013
50,80.4,1,50,0.5629494813045434
50,85.2,6,50,0.6631363943243166
2,45.2,9,2,0.3127276970823327
25,80.0,6,25,0.6463488595888015
200,93.2,6,200,0.7257014016155034
200,94.8,1,200,0.7521568235651332
1,41.6,9,1,0.28486582571215757
25,77.60000000000001,1,25,0.5693400056891106
1,41.6,7,1,0.2542397681335346
25,78.8,8,25,0.4975892304949717
1,39.6,0,1,0.32227860183948653
200,94.39999999999999,8,200,0.8052642980314708
10,65.60000000000001,4,10,0.37750469333963804
10,66.0,3,10,0.4042741007658267
250,94.8,0,250,0.7501539583801855
5,49.6,9,5,0.4224323054443649
75,90.8,0,75,0.7139702448938854
20,79.2,8,20,0.544379463638389
75,85.6,7,75,0.6400344267296494
250,95.6,7,250,0.8115593503738128
75,89.2,9,75,0.6825502403011793
5,61.199999999999996,0,5,0.4208358017638556
20,73.2,1,20,0.5497488020744898
250,93.2,9,250,0.7487443122045199
5,53.6,7,5,0.3534670620980998
20,75.6,6,20,0.6180570774523924
