n_shots,accuracy,run_num,nspw,f1
10,23.599999999999998,3,10,0.1255319532630457
1,79.60000000000001,9,1,0.025564525564525566
10,40.400000000000006,4,10,0.04094435201733426
1,45.2,0,1,0.06314451991544581
1,10.0,7,1,0.12935589921007407
75,36.8,7,75,0.1134024707892242
2,25.6,0,2,0.04255549698354126
2,29.599999999999998,7,2,0.08592417023789573
75,39.6,0,75,0.10039684837821485
20,44.4,8,20,0.1469509619134278
2,76.4,9,2,0.07526210484193678
250,60.8,3,250,0.09824263038548754
20,39.6,6,20,0.04462461968746229
75,39.2,9,75,0.12789826333753265
20,36.4,1,20,0.09878287840443975
250,62.8,4,250,0.06061732385261796
100,40.0,8,100,0.1287718454385121
5,70.39999999999999,9,5,0.05172280294231514
50,29.599999999999998,8,50,0.10400232483565817
5,26.8,7,5,0.05209720251737057
100,33.2,6,100,0.08277350360467468
50,23.200000000000003,6,50,0.10706506775472292
202,54.400000000000006,5,202,0.115688957739649
202,50.4,2,202,0.10565224044628078
5,48.8,0,5,0.04651420359384961
100,25.6,1,100,0.054050848335670955
50,28.799999999999997,1,50,0.09369241869241869
25,31.6,1,25,0.12315574018744989
25,26.0,6,25,0.0592012781030066
200,54.800000000000004,5,200,0.07411879080758063
25,46.800000000000004,8,25,0.09303203550923915
200,46.800000000000004,2,200,0.10447759912045626
75,34.8,8,75,0.1452524055324159
20,38.0,0,20,0.06610187889341358
250,49.2,5,250,0.11571056057951593
2,7.199999999999999,8,2,0.10884002179683244
250,60.8,2,250,0.13624513053084483
20,46.800000000000004,7,20,0.09638562495705354
2,36.0,6,2,0.04725992961287079
75,29.2,1,75,0.09772718753510398
20,48.8,9,20,0.10595063666492238
75,58.4,6,75,0.07451562322726876
2,32.800000000000004,1,2,0.07405408744694458
1,60.0,6,1,0.038906783629738775
1,60.8,1,1,0.044127225358228404
10,41.6,5,10,0.13442810230756944
10,25.6,2,10,0.04306656358236284
1,6.0,8,1,0.07590187590187589
200,40.400000000000006,3,200,0.12955810914066004
200,63.6,4,200,0.10281853281853282
25,43.6,9,25,0.14116077230112317
25,38.4,7,25,0.0771559531394759
25,64.4,0,25,0.03897710773254724
202,46.0,3,202,0.15364742850657126
100,30.0,0,100,0.0843252860521069
5,61.199999999999996,1,5,0.15343020214133193
50,41.6,0,50,0.13019088248912886
100,52.0,7,100,0.061760121894447274
5,55.60000000000001,6,5,0.06872925054743236
50,43.6,7,50,0.13350336160334936
202,56.00000000000001,4,202,0.10481013087085911
5,22.8,8,5,0.11350850340136054
100,26.8,9,100,0.09944609822364073
50,44.0,9,50,0.1048839969368011
200,62.0,7,200,0.08783206775010052
200,48.0,0,200,0.07037846591504245
25,18.4,3,25,0.13842458137430363
25,49.6,4,25,0.13007445860206598
200,52.800000000000004,9,200,0.1262674374948893
5,48.0,5,5,0.11208693267516798
100,44.0,4,100,0.1376570151160315
50,32.4,4,50,0.1713277710687809
202,63.2,7,202,0.08324208646789291
202,44.800000000000004,0,202,0.04939864368435797
5,28.000000000000004,2,5,0.03735787459191714
100,34.4,3,100,0.09877692788451493
50,17.2,3,50,0.12143881106763203
202,48.0,9,202,0.08241635797645579
20,43.2,4,20,0.11119580732256788
250,47.199999999999996,1,250,0.10533724689597519
250,54.400000000000006,6,250,0.09215488683987517
20,17.2,3,20,0.09520924457633319
250,56.39999999999999,8,250,0.04916651655548984
75,38.4,5,75,0.10255204462854736
2,26.8,2,2,0.04393123216652628
2,44.4,5,2,0.06401883830455259
75,28.799999999999997,2,75,0.11461120028535758
10,28.4,8,10,0.13841931506457994
1,56.39999999999999,2,1,0.06635987728424703
1,69.6,5,1,0.04368018812463256
10,66.0,1,10,0.15059262051346484
10,50.8,6,10,0.055000455269997056
202,45.2,8,202,0.13704335772678597
202,28.4,1,202,0.08239004103665756
100,52.800000000000004,2,100,0.10584854681240224
5,48.8,3,5,0.06167001098645398
50,50.8,2,50,0.16715715271615894
100,53.6,5,100,0.11260399028428962
5,43.2,4,5,0.03934252210114279
50,38.800000000000004,5,50,0.15941081517352704
202,49.6,6,202,0.1432347189316644
25,36.4,5,25,0.0876672368703664
200,49.6,8,200,0.12798932586894285
25,52.400000000000006,2,25,0.17637958686590907
200,38.4,1,200,0.09267630423817036
200,57.199999999999996,6,200,0.1230361942118316
10,42.0,7,10,0.11488131135475414
10,50.8,0,10,0.046788424069530064
1,7.199999999999999,4,1,0.07002329053510618
10,54.0,9,10,0.11029933323875728
1,49.6,3,1,0.07761828814460393
2,24.8,4,2,0.046117882698464584
75,32.4,3,75,0.14587208643517297
250,50.4,9,250,0.10822225202603858
75,36.0,4,75,0.1351810887525173
2,46.0,3,2,0.0738109064764117
250,50.8,7,250,0.10649273528791602
20,50.8,2,20,0.1389369829146967
20,36.0,5,20,0.08759239864690672
250,54.800000000000004,0,250,0.08045080279950596
