n_shots,accuracy,run_num,nspw,f1
1,60.0,1,1,0.42419960685856634
1,79.60000000000001,6,1,0.7961660712757971
25,97.2,9,25,0.9692304324028461
1,85.2,8,1,0.8484074253920547
25,96.0,7,25,0.9563470617989592
25,96.39999999999999,0,25,0.958917709487448
50,97.2,0,50,0.9683011236072797
2,84.0,8,2,0.838804600208109
50,96.0,7,50,0.9575790338174296
2,91.60000000000001,1,2,0.9073613288052943
250,97.2,5,250,0.9719984490560277
50,97.6,9,50,0.9755852692936783
2,47.599999999999994,6,2,0.4674094764164441
250,98.0,2,250,0.9800141382429075
100,97.6,9,100,0.9747741471895668
75,96.8,8,75,0.9663018141279011
20,96.39999999999999,0,20,0.9599788291572878
5,96.0,6,5,0.9578278602668847
500,98.4,6,500,0.9830005247604054
5,98.0,1,5,0.9793403572352289
500,97.6,1,500,0.977222368240421
20,96.8,7,20,0.9660565248444036
75,96.39999999999999,1,75,0.9596752425926075
20,97.6,9,20,0.972912619470453
100,98.0,0,100,0.9783813097973173
100,97.6,7,100,0.9729923204382477
75,97.2,6,75,0.9692304324028461
500,98.0,8,500,0.9791180992313068
5,96.39999999999999,8,5,0.9630127439267224
10,97.6,5,10,0.9740040424065378
200,97.6,3,200,0.9748424755100323
10,97.2,2,10,0.9686235694401485
200,97.6,4,200,0.9756865709246662
2,62.8,7,2,0.6341471802426822
250,97.6,3,250,0.9748424755100323
2,94.0,0,2,0.9338121913152855
250,98.0,4,250,0.9793536706105012
50,95.6,8,50,0.9524560615299039
50,97.6,6,50,0.9747741471895668
50,96.8,1,50,0.9621584607440337
2,84.8,9,2,0.8183752619954651
25,96.39999999999999,1,25,0.9577739831546214
1,92.80000000000001,9,1,0.9252385088372351
25,98.0,6,25,0.9792746862019609
1,76.8,7,1,0.7699490665874613
25,96.39999999999999,8,25,0.9614251434533125
1,71.2,0,1,0.6222756170476181
10,97.2,3,10,0.9693358768404874
200,96.8,5,200,0.9666511084336477
10,95.19999999999999,4,10,0.9501515151515151
200,97.6,2,200,0.9755852692936783
100,97.6,6,100,0.9747015059198372
75,96.8,7,75,0.9664977354554559
5,96.0,9,5,0.9562983312983313
500,98.4,9,500,0.9837037321152167
75,96.8,0,75,0.9655715761293452
20,96.8,8,20,0.9651382361001236
100,96.39999999999999,1,100,0.9599788291572878
500,98.4,0,500,0.982917649774865
5,78.0,0,5,0.6021004566210045
20,97.6,6,20,0.9754787084104354
100,97.6,8,100,0.9745768249752315
75,97.6,9,75,0.9747741471895668
20,96.8,1,20,0.9613517046458222
500,98.4,7,500,0.9846252900997849
5,83.6,7,5,0.8359491965998066
10,96.39999999999999,7,10,0.9624426498929646
200,97.6,1,200,0.9747741471895668
10,96.8,0,10,0.9639351392513417
200,97.6,6,200,0.9748424755100323
200,98.8,8,200,0.9855204447370346
10,96.39999999999999,9,10,0.9609419464997154
75,98.0,3,75,0.9783813097973173
100,97.6,2,100,0.9747741471895668
100,96.0,5,100,0.9563264419418943
75,96.39999999999999,4,75,0.9622376188667184
5,89.60000000000001,4,5,0.8868571509085821
500,98.0,4,500,0.9792019276465537
20,97.6,2,20,0.9740488788107835
20,96.39999999999999,5,20,0.9577573393235118
5,92.4,3,5,0.9188923345575527
500,98.8,3,500,0.9873719870137858
250,98.4,7,250,0.9829428067523306
2,94.39999999999999,3,2,0.943632916894949
250,99.2,0,250,0.9918977125847688
2,56.00000000000001,4,2,0.5779697663807474
50,97.2,2,50,0.970391819595517
250,98.0,9,250,0.9792019276465537
50,98.0,5,50,0.9784314303184992
25,95.6,5,25,0.9514735903110151
25,97.6,2,25,0.9747741471895668
1,64.0,3,1,0.4750791497060154
1,83.6,4,1,0.8325092811532618
20,95.6,4,20,0.9520866793594065
500,97.6,2,500,0.9765685006005432
5,76.8,2,5,0.5892783163476675
500,97.2,5,500,0.9721694584582607
5,71.2,5,5,0.7215694092629077
20,97.2,3,20,0.9694329802327415
100,97.2,4,100,0.971186255825938
75,96.8,5,75,0.9657777888334721
75,96.8,2,75,0.9667133744568711
100,98.0,3,100,0.9784314303184992
10,97.2,8,10,0.9692304324028461
200,98.0,9,200,0.9792019276465537
10,97.2,1,10,0.9704107723095788
200,98.4,7,200,0.9829428067523306
10,98.8,6,10,0.986550923347894
200,99.6,0,200,0.995535207537175
1,74.4,5,1,0.7493159750284035
1,57.99999999999999,2,1,0.39467561595221173
25,97.2,3,25,0.9683703367913893
25,95.6,4,25,0.9535994869328203
250,97.6,8,250,0.9748424755100323
50,96.8,4,50,0.9656582373817802
50,97.2,3,50,0.9664602876798
250,97.2,1,250,0.9710954366048812
2,61.6,5,2,0.6324815663642712
250,97.6,6,250,0.9738710242327778
2,53.2,2,2,0.30621660194496997
