n_shots,accuracy,run_num,nspw,f1
1000,90.4,0,1000,0.9066210706555914
75,87.2,0,75,0.8846491676195828
750,90.8,0,750,0.9108759847579249
100,87.2,0,100,0.8862932610745272
50,84.0,0,50,0.8794023371158071
25,85.2,0,25,0.8708736354481594
20,84.8,0,20,0.8838705895127376
500,89.2,0,500,0.8987509899323262
1,66.4,0,1,0.6968055947701316
2,71.6,0,2,0.7229505262040251
250,88.0,0,250,0.8908970881280182
5,69.19999999999999,0,5,0.7117415167821514
200,87.6,0,200,0.8889460431869783
10,73.6,0,10,0.782737787193409
1129,90.8,0,1129,0.9091995488547213
