n_shots,accuracy,run_num,nspw,f1
1129,85.2,6,1129,0.8683368125067731
1129,86.0,1,1129,0.8916489307793656
5,79.2,3,5,0.7716103587936347
50,78.4,4,50,0.808917607248603
50,81.6,3,50,0.8034052272495461
1129,80.0,8,1129,0.8304176626001007
5,70.0,4,5,0.718493536673777
25,83.2,3,25,0.7597157130925689
25,79.60000000000001,4,25,0.8138427837714654
250,88.0,8,250,0.8836736219372302
250,85.2,6,250,0.8627568976571967
250,80.4,1,250,0.8337251321194623
500,87.2,5,500,0.8808069966542246
10,80.80000000000001,1,10,0.7689507228563062
500,88.4,2,500,0.8880264953094739
10,76.4,6,10,0.7217644806460596
100,88.0,3,100,0.806652576489533
1,56.39999999999999,4,1,0.5889711270222598
10,62.4,8,10,0.6186454725286753
750,90.4,3,750,0.9028273850384155
750,87.2,4,750,0.8808208494618709
100,81.6,4,100,0.8040156602656602
1,42.8,3,1,0.3073617807731997
200,79.2,9,200,0.8243519184275553
2,62.0,4,2,0.6307407202500328
75,79.60000000000001,5,75,0.8220500391882114
2,58.8,3,2,0.5062756039563742
75,83.2,2,75,0.8516724706192549
200,86.8,0,200,0.8715976896096013
20,81.2,4,20,0.8250275059257944
200,78.8,7,200,0.8220152054203779
20,82.8,3,20,0.7580864996061879
250,85.6,0,250,0.8707193672022808
250,70.39999999999999,7,250,0.7493305427196967
25,82.0,5,25,0.8101547777282009
250,77.2,9,250,0.7882882132308738
25,82.0,2,25,0.8263950455719025
50,86.0,2,50,0.8708802550043714
1129,83.6,9,1129,0.8578185748592482
5,75.2,5,5,0.7167656112779084
5,64.4,2,5,0.661719312336489
50,84.8,5,50,0.8432365639152489
1129,88.4,0,1129,0.8850486704653372
1129,77.60000000000001,7,1129,0.8158190354679711
200,83.6,6,200,0.8702507508233678
20,62.8,2,20,0.6606905904560066
200,79.60000000000001,1,200,0.823117469866696
20,79.2,5,20,0.7673232234971624
2,64.8,2,2,0.6648610051240869
75,86.8,3,75,0.840332430049512
2,70.8,5,2,0.721750273727627
200,82.0,8,200,0.8445634869740295
75,79.60000000000001,4,75,0.7835571739919566
750,85.6,5,750,0.8662896876336749
100,78.8,5,100,0.8176492493583948
1,61.6,2,1,0.6147150726476853
100,75.2,2,100,0.7901574753699161
1,57.599999999999994,5,1,0.4949667352775657
10,76.0,9,10,0.6890864003122497
750,90.8,2,750,0.9022799204102832
500,86.0,3,500,0.8677620289022568
10,76.8,7,10,0.7593909255257745
500,84.0,4,500,0.8707972277848093
10,87.6,0,10,0.8638706186315764
200,84.39999999999999,2,200,0.8528862099757623
20,84.39999999999999,6,20,0.8376510372884819
2,46.0,8,2,0.457857984406657
200,78.8,5,200,0.8220048822744633
75,82.39999999999999,9,75,0.6867874173876745
20,77.2,1,20,0.7755861288469984
2,53.6,6,2,0.5113310249212887
75,78.0,7,75,0.6722303290395918
2,57.199999999999996,1,2,0.4643199084476371
75,85.2,0,75,0.8601842338031181
20,82.39999999999999,8,20,0.8106790993472558
100,80.4,1,100,0.8295415845568788
1,37.6,6,1,0.2768153573873839
750,89.2,1,750,0.8935552623121561
500,82.8,9,500,0.8491378706603522
750,86.4,6,750,0.8909432896286346
100,84.39999999999999,6,100,0.8675575924724205
1,54.400000000000006,1,1,0.5743909607785135
10,84.0,3,10,0.8068269972961554
500,76.8,7,500,0.8069328374750406
750,90.8,8,750,0.9040801790801791
100,81.6,8,100,0.6955145573200792
1,35.6,8,1,0.2540994083862331
10,79.2,4,10,0.7660140926373554
500,86.0,0,500,0.8676553050101788
25,82.0,8,25,0.7656175081710712
250,86.0,4,250,0.8737452778977334
250,82.8,3,250,0.8465957182284907
25,79.2,1,25,0.7905671059772396
25,82.8,6,25,0.753530493253893
5,74.4,1,5,0.7210773352977454
50,87.2,6,50,0.8896724041976686
50,81.2,1,50,0.6911088571173422
5,74.0,6,5,0.7483281325806513
1129,86.0,4,1129,0.8717420697843391
5,51.2,8,5,0.4389390938926543
50,80.0,8,50,0.7468665867881202
1129,90.4,3,1129,0.902735132045477
1,53.2,9,1,0.5382910691947437
10,76.8,5,10,0.7061835485800111
500,83.6,1,500,0.8553579520596012
10,78.4,2,10,0.8259191716033466
500,86.0,6,500,0.8909817928951163
750,83.2,9,750,0.8491012414939484
100,82.0,9,100,0.6972642917948191
500,82.8,8,500,0.8484181157284606
750,80.0,7,750,0.828574686432837
100,79.60000000000001,7,100,0.7444383265154285
1,60.4,0,1,0.49659208151474066
100,86.4,0,100,0.8630600534390028
1,59.599999999999994,7,1,0.6065043249768944
750,89.2,0,750,0.89202183961459
2,70.39999999999999,0,2,0.6414806712973805
75,81.2,1,75,0.8309086500575864
20,74.8,9,20,0.7844115322447701
2,55.2,7,2,0.5768010222550212
75,80.4,6,75,0.8119315034165727
200,86.4,4,200,0.7352934894285097
2,66.0,9,2,0.664314771853285
75,79.2,8,75,0.6774927826680983
20,87.2,0,20,0.7948433526794857
200,89.60000000000001,3,200,0.8996276670921336
20,83.6,7,20,0.8366154271692574
50,81.6,9,50,0.8003862381242001
1129,90.4,2,1129,0.9038286483537025
1129,82.39999999999999,5,1129,0.8478565417424114
5,64.4,9,5,0.6644416112373698
50,84.0,0,50,0.8502178649237474
5,77.2,7,5,0.7808826961132503
5,78.0,0,5,0.8000551646220938
50,83.6,7,50,0.8167524382225309
25,82.8,7,25,0.8337421978615639
25,85.6,0,25,0.7825088457441397
250,85.6,2,250,0.8617322682928036
25,76.8,9,25,0.798667237559567
250,78.4,5,250,0.8178635480187957
