n_shots,accuracy,run_num,nspw,f1
2,54.800000000000004,2,2,0.2884283130756613
50,80.0,9,50,0.3958201771813876
2,56.00000000000001,5,2,0.21194728195280393
50,81.6,0,50,0.485543977304379
200,76.4,2,200,0.47033951633328747
50,80.0,7,50,0.4503547207940801
200,83.2,5,200,0.5067034899394652
500,90.8,7,500,0.6079129490627174
100,80.0,8,100,0.5063339691897575
25,77.60000000000001,7,25,0.38558323006707873
25,76.4,0,25,0.47880573665035364
500,91.2,0,500,0.586719427286794
100,84.39999999999999,1,100,0.5118595113258992
1,23.200000000000003,2,1,0.2397395480336657
1,31.6,5,1,0.23895988709039545
500,88.4,9,500,0.6000447447811658
25,82.39999999999999,9,25,0.4629901322756209
100,84.39999999999999,6,100,0.44945787063178366
10,77.60000000000001,5,10,0.32846726033670764
10,69.6,2,10,0.29604625431574616
250,88.8,4,250,0.5906329862858635
250,88.0,3,250,0.6176915145251034
20,76.8,9,20,0.3126391086697382
75,85.2,1,75,0.514654803119356
75,76.4,6,75,0.3345590484648517
20,78.0,0,20,0.48385714408732305
5,74.4,5,5,0.2523052363701664
75,80.4,8,75,0.3950617275288674
5,57.199999999999996,2,5,0.27624882274784984
20,69.6,7,20,0.23840198541347962
1,40.400000000000006,4,1,0.2792086802086802
500,90.0,8,500,0.5654542086441401
25,81.6,8,25,0.3775718831569625
100,83.2,7,100,0.42808820862168917
100,86.4,0,100,0.5349265657939086
1,26.0,3,1,0.16681423186497354
25,68.4,1,25,0.4440397441346395
500,89.60000000000001,1,500,0.5404344711090261
500,85.6,6,500,0.5520746931877586
100,86.0,9,100,0.4770837199866871
25,79.60000000000001,6,25,0.38452128616002956
50,78.4,6,50,0.34680461329715057
200,88.8,4,200,0.5174083694083694
50,84.8,1,50,0.5492447160682454
200,86.4,3,200,0.6196728688593651
2,40.8,4,2,0.2651200616383431
2,29.599999999999998,3,2,0.22226872644263948
50,81.2,8,50,0.41647578347578346
5,36.8,3,5,0.32378189314412226
20,78.8,6,20,0.3828704272097234
20,64.8,1,20,0.42099276125841256
5,72.8,4,5,0.349976736271044
75,86.0,9,75,0.4597526417925692
75,76.4,7,75,0.39760218728639785
20,81.2,8,20,0.39913466843002077
75,84.8,0,75,0.4885063001212874
250,79.60000000000001,2,250,0.5094393068556871
250,85.6,5,250,0.5256295878035009
10,80.80000000000001,3,10,0.5188121677519267
10,86.4,4,10,0.5126982498584843
5,74.0,7,5,0.3040914771930371
20,69.19999999999999,2,20,0.21667657205021398
20,82.39999999999999,5,20,0.4127841573631048
5,63.2,0,5,0.19123508918924878
75,83.6,3,75,0.5774224623479352
75,85.6,4,75,0.49728404172973256
5,63.6,9,5,0.29329558723098104
250,84.39999999999999,6,250,0.5076091558564234
250,90.8,1,250,0.5641074738332047
10,76.0,9,10,0.3097465548103314
10,71.6,7,10,0.2501992724442306
10,69.19999999999999,0,10,0.3097949941020242
250,85.6,8,250,0.5758451557791642
100,81.2,3,100,0.47722096957638077
1,36.8,0,1,0.22713570780388703
1,47.199999999999996,7,1,0.23370825974337828
100,85.2,4,100,0.5365111723183973
1,24.8,9,1,0.14784790208634851
500,85.6,5,500,0.5873119241439392
25,82.0,5,25,0.4581215548109001
25,76.0,2,25,0.3246420775302939
500,91.60000000000001,2,500,0.6367869916336736
50,80.0,2,50,0.48423636554963506
200,87.2,0,200,0.4958693098065177
2,30.4,9,2,0.20339551490757096
50,83.2,5,50,0.513332795140891
200,88.0,7,200,0.5249947582167662
2,68.8,0,2,0.3534027798330566
200,92.4,9,200,0.6616122570240218
2,70.0,7,2,0.33841252887202083
10,57.599999999999994,1,10,0.2864437410344716
250,92.0,9,250,0.616544524328461
10,75.2,6,10,0.3758568648875611
250,86.0,0,250,0.4797812031776934
10,78.4,8,10,0.3480607733651212
250,91.60000000000001,7,250,0.5699655227331389
75,86.4,5,75,0.5481382343854664
5,45.6,8,5,0.2939565597001195
75,82.0,2,75,0.4898121405180229
20,88.4,4,20,0.5286211356683268
5,47.599999999999994,1,5,0.23752345813145095
5,70.0,6,5,0.28784858807929437
20,84.8,3,20,0.4856013294537885
2,53.2,6,2,0.2533314700855665
2,38.800000000000004,1,2,0.1637632937766102
200,80.4,8,200,0.45861087125864414
50,86.4,4,50,0.5158298253470668
200,85.2,6,200,0.4290045416184831
50,81.6,3,50,0.47726329940009826
200,88.0,1,200,0.5420254914673491
2,48.4,8,2,0.37818532614167955
25,84.0,3,25,0.4764258764111705
500,89.60000000000001,3,500,0.5625129320935877
1,25.6,8,1,0.23575792375191462
500,86.8,4,500,0.5801961133410399
25,88.4,4,25,0.5290871058606127
1,28.000000000000004,6,1,0.24935903442987725
100,79.2,5,100,0.4947475043609345
100,82.39999999999999,2,100,0.48187091889058226
1,43.6,1,1,0.22327639737358407
