n_shots,accuracy,run_num,nspw,f1
1000,78.8,0,1000,0.5203608839577063
75,76.0,0,75,0.5497960838854228
750,80.80000000000001,0,750,0.5423813356303573
1,35.6,0,1,0.2939987613349843
1091,79.60000000000001,0,1091,0.5385473951183982
2,56.00000000000001,0,2,0.34183191753779985
20,62.4,0,20,0.5065973282312277
5,52.800000000000004,0,5,0.36459578245000246
50,72.39999999999999,0,50,0.5532135642135643
500,78.8,0,500,0.552848136677148
25,64.4,0,25,0.5047007804410552
200,76.0,0,200,0.5534834447665663
10,57.99999999999999,0,10,0.4344142229697201
