n_shots,accuracy,run_num,nspw,f1
25,59.199999999999996,4,25,0.38075964214328634
25,62.8,3,25,0.3751959523852107
50,68.4,3,50,0.43032559618166816
250,94.8,7,250,0.7158738925260664
5,23.599999999999998,8,5,0.1851089111518714
50,67.2,4,50,0.47079387977944853
250,96.39999999999999,0,250,0.714212128249948
5,48.0,1,5,0.23397201924141695
250,96.8,9,250,0.7846809778068359
5,42.4,6,5,0.14107934410550688
750,98.8,2,750,0.7353027649624957
2,23.200000000000003,6,2,0.06319993369199933
100,75.6,2,100,0.4504765419271525
20,56.00000000000001,3,20,0.30222664498606344
2,22.0,1,2,0.0947070282658518
100,80.4,5,100,0.6180951048856267
20,58.8,4,20,0.3514244581924255
750,98.0,5,750,0.8268716841830447
75,73.6,2,75,0.40770588527006457
500,96.39999999999999,4,500,0.7556967110439682
500,97.6,3,500,0.7297781018100167
2,10.8,8,2,0.12085650623885918
75,75.2,5,75,0.5314776076208875
200,92.4,1,200,0.5958985168894426
200,90.0,6,200,0.6523740890592948
1,6.800000000000001,8,1,0.05707410815785201
10,29.2,8,10,0.22183221850613152
1,14.000000000000002,6,1,0.033707553707553704
200,94.0,8,200,0.607253561031672
10,43.2,6,10,0.10211838161473494
10,56.8,1,10,0.2716597120271034
1,23.200000000000003,1,1,0.17289544137876922
250,96.0,8,250,0.6801905380643012
5,54.0,7,5,0.3314390778064758
5,45.6,0,5,0.296737866963954
50,69.19999999999999,5,50,0.3954259027646869
250,97.6,1,250,0.6868966746573238
50,70.8,2,50,0.3691290040589
250,97.6,6,250,0.7408416420938159
5,42.8,9,5,0.1721695239626274
25,66.8,2,25,0.3672050856690251
25,57.599999999999994,5,25,0.26818818958818963
10,58.8,0,10,0.372255610366473
1,20.8,0,1,0.16408308872659455
200,93.60000000000001,9,200,0.7236178797244145
1,42.0,7,1,0.2223675727780991
10,56.8,7,10,0.383128399927849
1,36.4,9,1,0.21953516210037946
200,92.0,7,200,0.6880986321025303
10,46.800000000000004,9,10,0.1956694584058521
200,91.60000000000001,0,200,0.6760145388530571
500,98.0,2,500,0.749235968709653
2,32.4,9,2,0.1233306625796444
75,77.2,4,75,0.5319934259671103
75,76.8,3,75,0.4845591676802441
500,97.2,5,500,0.8151094856612098
2,27.6,0,2,0.19126472716162518
100,79.60000000000001,4,100,0.48533635072308456
20,57.199999999999996,5,20,0.3051867594996001
750,97.2,4,750,0.762013809460505
750,98.0,3,750,0.746956916099773
2,46.800000000000004,7,2,0.24715560601647596
100,76.4,3,100,0.4892026720049975
20,53.2,2,20,0.24553882321303638
1,34.4,4,1,0.21491595499329075
10,51.6,4,10,0.31114107546371117
10,43.2,3,10,0.30669972125872746
1,14.799999999999999,3,1,0.1454181999230543
200,93.2,3,200,0.6725526832291538
200,92.4,4,200,0.6887068312419821
100,74.8,9,100,0.5256722739758096
20,56.39999999999999,8,20,0.29986089380759784
75,75.2,0,75,0.48049879679958324
750,96.8,9,750,0.7768033540202339
500,97.6,6,500,0.7504540784185946
500,96.39999999999999,1,500,0.7025247821182483
75,72.8,7,75,0.49366805949850173
750,99.6,0,750,0.7374921630094045
2,42.8,4,2,0.2828085595331584
100,77.60000000000001,0,100,0.515048569882615
20,63.6,1,20,0.34705761858061107
75,73.2,9,75,0.5171527565453397
2,24.0,3,2,0.22294647574647578
100,79.2,7,100,0.5661265435256317
20,54.400000000000006,6,20,0.29286570002052204
750,96.8,7,750,0.725563285627608
500,95.19999999999999,8,500,0.6477663843566888
5,34.8,3,5,0.26607096989313406
50,65.2,8,50,0.33890870251020627
5,43.2,4,5,0.2568116584146192
50,66.0,1,50,0.35149973532577244
250,94.8,5,250,0.7899257453115829
50,63.6,6,50,0.4155945737852861
250,98.0,2,250,0.7492906802816058
25,55.60000000000001,6,25,0.3454055278055278
25,61.6,1,25,0.32491871192852256
25,59.199999999999996,8,25,0.30342627956493506
2,44.800000000000004,2,2,0.2522867759123513
100,69.19999999999999,6,100,0.4808274053775602
20,70.39999999999999,7,20,0.4524814617143308
750,97.2,6,750,0.7428078935913038
500,95.6,9,500,0.7758743731726452
750,97.6,1,750,0.7094581400636166
2,26.8,5,2,0.12299214961283926
100,79.60000000000001,1,100,0.4752025238169067
20,59.599999999999994,0,20,0.3347432968262982
75,71.6,8,75,0.3686211441097067
500,97.2,0,500,0.7213293991692474
75,67.2,6,75,0.4279449351865117
100,80.0,8,100,0.46726810426352544
20,56.39999999999999,9,20,0.3273201233746007
75,74.8,1,75,0.4530006003977689
750,95.19999999999999,8,750,0.669330957554389
500,98.4,7,500,0.7502807241068112
200,86.4,5,200,0.7279075313383134
200,92.4,2,200,0.6723092155026671
10,51.2,2,10,0.227586808244922
1,26.400000000000002,2,1,0.23416034031328145
1,24.8,5,1,0.16925461421465862
10,39.2,5,10,0.22579750327390033
25,60.8,9,25,0.33568202454105905
25,63.2,0,25,0.31941614615397573
25,68.8,7,25,0.4284564764643447
50,68.0,7,50,0.43443947767006924
250,97.2,3,250,0.743006357006357
50,70.39999999999999,0,50,0.4446002525343339
250,97.2,4,250,0.7542216607823099
5,31.2,5,5,0.17208071447982495
5,43.2,2,5,0.19967066075686765
50,71.6,9,50,0.4716228967840172
