n_shots,accuracy,run_num,nspw,f1
500,2.0,1,500,0.003685133431968875
100,62.8,9,100,0.49864698793270207
500,2.0,6,500,0.001468811224908786
750,2.4,9,750,0.0006087662337662338
100,65.2,7,100,0.5747567728087208
25,37.2,5,25,0.28796897546897543
500,1.2,8,500,0.0007150512397306023
5,39.6,5,5,0.3319349142496584
750,2.4,7,750,0.0006087662337662338
5,40.400000000000006,2,5,0.33188757388708384
750,2.4,0,750,0.0006087662337662338
25,50.0,2,25,0.3815723389544307
100,64.8,0,100,0.5269338547031441
50,51.2,2,50,0.38329253718864115
50,53.6,5,50,0.4363658577513373
200,66.8,4,200,0.6010752955558147
200,75.6,3,200,0.6626244521966443
20,47.599999999999994,2,20,0.36036432041513916
20,38.4,5,20,0.2925314282009311
75,57.99999999999999,3,75,0.4800661516656049
1,28.4,2,1,0.25669777552894435
75,56.8,4,75,0.48701161753109806
1,38.4,5,1,0.2941335275368889
2,37.2,2,2,0.30331727732415276
10,41.6,9,10,0.32975887127252995
2,45.2,5,2,0.36043574106458587
10,45.2,7,10,0.3285633027259822
250,74.8,2,250,0.6492063492063491
250,71.6,5,250,0.6273866105034934
10,41.6,0,10,0.31906587254301455
200,72.39999999999999,2,200,0.642387211294774
200,70.0,5,200,0.6054865067339433
50,52.400000000000006,4,50,0.4313031364979417
50,53.6,3,50,0.4167301825538325
5,42.0,3,5,0.3050168548235782
750,2.4,1,750,0.0006284038542103059
25,44.800000000000004,3,25,0.3610818819175679
100,60.4,1,100,0.5396132112518667
100,61.6,6,100,0.5336328818898879
25,46.400000000000006,4,25,0.3623331356184182
500,2.8000000000000003,9,500,0.0020541086114856605
5,41.6,4,5,0.3173827360993136
750,2.4,6,750,0.0006087662337662338
100,60.4,8,100,0.4909925400436437
500,2.0,7,500,0.001628674355947083
750,2.4,8,750,0.0006087662337662338
500,2.4,0,500,0.001383803421248355
250,72.39999999999999,4,250,0.6420112715567259
10,39.6,1,10,0.2845402221801684
10,37.6,6,10,0.3094346133407691
250,73.2,3,250,0.6343779255604272
10,42.8,8,10,0.3170926495089174
2,41.199999999999996,4,2,0.32261821872211477
2,43.6,3,2,0.3345036637244429
75,56.39999999999999,5,75,0.4714378943954861
1,37.2,4,1,0.30540744345655946
75,59.599999999999994,2,75,0.5106080664049785
1,29.599999999999998,3,1,0.20778220167066613
20,47.599999999999994,4,20,0.3924172423790453
20,44.800000000000004,3,20,0.3456943200769168
10,41.6,5,10,0.32856592252676037
2,42.4,9,2,0.32395463198607416
250,78.8,0,250,0.7012486450285491
250,74.0,7,250,0.6513109564544968
10,44.800000000000004,2,10,0.3550023206882601
2,44.4,0,2,0.34993275123145257
250,74.8,9,250,0.6243281249774755
2,42.4,7,2,0.3175553141366739
75,60.4,1,75,0.5240174829927955
20,41.199999999999996,9,20,0.3260985668516352
1,36.4,0,1,0.28327855405777486
75,59.599999999999994,6,75,0.511726937906022
1,36.0,7,1,0.29746014108122587
75,55.60000000000001,8,75,0.4210430983158257
20,42.4,0,20,0.32533437918726005
1,39.2,9,1,0.3180485671700339
20,46.400000000000006,7,20,0.34763288659392566
200,68.0,6,200,0.5723366800685765
50,56.00000000000001,9,50,0.4439581617771075
200,71.2,1,200,0.6292267042327352
50,55.60000000000001,0,50,0.43286493872819326
200,75.2,8,200,0.6501859270827144
50,54.0,7,50,0.4301704788717776
25,49.6,7,25,0.38080059409816613
100,61.199999999999996,5,100,0.5030032398634384
5,41.199999999999996,7,5,0.3043411401094466
750,2.4,5,750,0.0006087662337662338
5,41.199999999999996,0,5,0.326939258432765
750,2.4,2,750,0.0006087662337662338
100,66.8,2,100,0.5841398797281149
25,46.800000000000004,0,25,0.362542327802068
500,2.4,3,500,0.0011268924312402573
25,48.0,9,25,0.39132391248510423
5,44.0,9,5,0.34251373644039806
500,1.2,4,500,0.00034786641929499077
20,41.6,6,20,0.31577693590680606
75,57.599999999999994,9,75,0.4528778962316013
20,42.8,1,20,0.3111342769784328
1,35.199999999999996,8,1,0.2645095809484052
75,65.60000000000001,7,75,0.5679793604977114
1,42.4,6,1,0.33561690867890864
75,57.99999999999999,0,75,0.46631204293541956
20,40.0,8,20,0.2904499423039088
1,25.6,1,1,0.2248272555517942
2,40.400000000000006,6,2,0.32023841958906896
2,40.400000000000006,1,2,0.3158050355356281
250,72.39999999999999,8,250,0.6509231559812556
250,71.6,6,250,0.6157382679597305
10,42.0,3,10,0.3093681418764849
10,38.800000000000004,4,10,0.32981231483905277
2,42.4,8,2,0.31748316882347605
250,73.6,1,250,0.6378769138509396
25,41.199999999999996,8,25,0.29265783061569317
5,40.0,8,5,0.30632083112320263
500,2.0,5,500,0.0011082043456144175
500,2.0,2,500,0.001282863477985429
5,45.2,1,5,0.35575503519796065
750,2.4,3,750,0.0006087662337662338
100,60.4,3,100,0.5140945011189473
25,43.2,1,25,0.33972266168599247
25,45.2,6,25,0.3627389926091225
100,60.0,4,100,0.5176384603428148
5,42.0,6,5,0.34774145122743894
750,2.4,4,750,0.0006087662337662338
200,72.39999999999999,9,200,0.61095864283412
50,44.0,6,50,0.35336072735846874
50,54.0,1,50,0.4416547017196369
200,77.2,0,200,0.6868528316067615
200,70.39999999999999,7,200,0.6417373009809982
50,50.4,8,50,0.3907335361026408
