,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
905,card payment not recognised,supported,54,False,False,False,"{12: 1, 74: 1, 4: 1, 33: 1, 60: 1, 39: 2, 40: 1, 37: 1, 17: 1, 13: 1, 50: 1, 64: 1, 46: 1, 14: 1, 52: 1, 25: 1, 27: 1, 70: 1, 47: 1}","[1233, 5498, 6683, 5366, 3196, 6554, 9834, 2399, 4306, 8569, 9047, 8997, 8557, 5403, 8132, 7809, 3072, 7870, 466, 9346]",905,20,4,False
1982,transaction charged twice,transaction,63,False,True,False,"{12: 1, 74: 1, 4: 1, 33: 1, 60: 1, 39: 2, 40: 1, 37: 1, 17: 1, 13: 1, 50: 1, 64: 1, 46: 1, 14: 1, 52: 1, 25: 1, 27: 1, 70: 1, 47: 1}","[1233, 5498, 6683, 5366, 3196, 6554, 9834, 2399, 4306, 8569, 9047, 8997, 8557, 5403, 8132, 7809, 3072, 7870, 466, 9346]",1982,20,4,False
2766,exchange rate,exchange charge,31,False,False,False,"{12: 1, 74: 1, 4: 1, 33: 1, 60: 1, 39: 2, 40: 1, 37: 1, 17: 1, 13: 1, 50: 1, 64: 1, 46: 1, 14: 1, 52: 1, 25: 1, 27: 1, 70: 1, 47: 1}","[1233, 5498, 6683, 5366, 3196, 6554, 9834, 2399, 4306, 8569, 9047, 8997, 8557, 5403, 8132, 7809, 3072, 7870, 466, 9346]",2766,20,4,False
2416,getting spare card,getting spare,39,True,True,False,"{12: 1, 74: 1, 4: 1, 33: 1, 60: 1, 39: 2, 40: 1, 37: 1, 17: 1, 13: 1, 50: 1, 64: 1, 46: 1, 14: 1, 52: 1, 25: 1, 27: 1, 70: 1, 47: 1}","[1233, 5498, 6683, 5366, 3196, 6554, 9834, 2399, 4306, 8569, 9047, 8997, 8557, 5403, 8132, 7809, 3072, 7870, 466, 9346]",2416,20,4,False
2895,atm support,cash withdrawal charge,19,False,False,False,"{12: 1, 74: 1, 4: 1, 33: 1, 60: 1, 39: 2, 40: 1, 37: 1, 17: 1, 13: 1, 50: 1, 64: 1, 46: 1, 14: 1, 52: 1, 25: 1, 27: 1, 70: 1, 47: 1}","[1233, 5498, 6683, 5366, 3196, 6554, 9834, 2399, 4306, 8569, 9047, 8997, 8557, 5403, 8132, 7809, 3072, 7870, 466, 9346]",2895,20,4,False
2137,pin blocked,change,21,False,False,False,"{12: 1, 74: 1, 4: 1, 33: 1, 60: 1, 39: 2, 40: 1, 37: 1, 17: 1, 13: 1, 50: 1, 64: 1, 46: 1, 14: 1, 52: 1, 25: 1, 27: 1, 70: 1, 47: 1}","[1233, 5498, 6683, 5366, 3196, 6554, 9834, 2399, 4306, 8569, 9047, 8997, 8557, 5403, 8132, 7809, 3072, 7870, 466, 9346]",2137,20,4,False
732,top up limits,top up limits,60,True,True,True,"{12: 1, 74: 1, 4: 1, 33: 1, 60: 1, 39: 2, 40: 1, 37: 1, 17: 1, 13: 1, 50: 1, 64: 1, 46: 1, 14: 1, 52: 1, 25: 1, 27: 1, 70: 1, 47: 1}","[1233, 5498, 6683, 5366, 3196, 6554, 9834, 2399, 4306, 8569, 9047, 8997, 8557, 5403, 8132, 7809, 3072, 7870, 466, 9346]",732,20,4,False
1927,card not working,card swallowed,18,False,False,False,"{12: 1, 74: 1, 4: 1, 33: 1, 60: 1, 39: 2, 40: 1, 37: 1, 17: 1, 13: 1, 50: 1, 64: 1, 46: 1, 14: 1, 52: 1, 25: 1, 27: 1, 70: 1, 47: 1}","[1233, 5498, 6683, 5366, 3196, 6554, 9834, 2399, 4306, 8569, 9047, 8997, 8557, 5403, 8132, 7809, 3072, 7870, 466, 9346]",1927,20,4,False
945,card delivery estimate,getting virtual,40,True,False,False,"{12: 1, 74: 1, 4: 1, 33: 1, 60: 1, 39: 2, 40: 1, 37: 1, 17: 1, 13: 1, 50: 1, 64: 1, 46: 1, 14: 1, 52: 1, 25: 1, 27: 1, 70: 1, 47: 1}","[1233, 5498, 6683, 5366, 3196, 6554, 9834, 2399, 4306, 8569, 9047, 8997, 8557, 5403, 8132, 7809, 3072, 7870, 466, 9346]",945,20,4,False
1942,card not working,card swallowed,18,False,False,False,"{12: 1, 74: 1, 4: 1, 33: 1, 60: 1, 39: 2, 40: 1, 37: 1, 17: 1, 13: 1, 50: 1, 64: 1, 46: 1, 14: 1, 52: 1, 25: 1, 27: 1, 70: 1, 47: 1}","[1233, 5498, 6683, 5366, 3196, 6554, 9834, 2399, 4306, 8569, 9047, 8997, 8557, 5403, 8132, 7809, 3072, 7870, 466, 9346]",1942,20,4,False
