n_shots,accuracy,run_num,nspw,f1
75,55.2,5,75,0.43372227478187714
200,76.0,8,200,0.5142269430348898
75,60.0,2,75,0.47742212411086565
200,72.8,6,200,0.4928139106900414
20,51.2,4,20,0.3868445244175667
20,52.400000000000006,3,20,0.3929268180923808
200,73.2,1,200,0.5270502059944988
500,17.2,3,500,0.11871070233811912
10,50.8,1,10,0.38328491474186815
10,49.2,6,10,0.3798381162619572
500,16.0,4,500,0.1117966947184592
100,62.4,5,100,0.45448266474756516
5,45.6,2,5,0.3338408213876108
10,46.800000000000004,8,10,0.3620657733240514
750,0.4,5,750,0.0001839587932303164
750,0.8,2,750,0.00013869144620505528
100,60.4,2,100,0.47598549353516223
5,42.8,5,5,0.32786442453032993
250,75.2,9,250,0.563779708150569
25,53.6,3,25,0.4075601460681318
2,41.199999999999996,5,2,0.30175976767123497
25,53.2,4,25,0.40293972428760105
2,43.2,2,2,0.3346367478164271
250,80.0,0,250,0.5549909821805052
250,76.0,7,250,0.5406052985523183
50,56.8,4,50,0.44470469437356835
1,36.8,5,1,0.27267852334077497
50,53.2,3,50,0.4120466729738251
1,44.0,2,1,0.34479181598386877
750,0.8,3,750,0.00037109561212441235
5,47.199999999999996,4,5,0.36231663847557866
100,57.199999999999996,3,100,0.4538175829566557
5,42.4,3,5,0.33263723031934944
100,57.199999999999996,4,100,0.4435010782692898
10,50.8,9,10,0.4007568590350046
750,0.8,4,750,0.00017936922824583816
10,57.199999999999996,7,10,0.3594254971195585
500,15.6,5,500,0.10622976408209896
500,13.600000000000001,2,500,0.08486120603189605
10,49.2,0,10,0.38754756648796373
20,50.4,2,20,0.3864080731630399
200,78.4,0,200,0.5300798655277567
200,75.6,7,200,0.5284834150397063
20,50.0,5,20,0.37705100883908826
200,77.60000000000001,9,200,0.5560024641271614
75,54.400000000000006,3,75,0.4278448311560894
75,57.99999999999999,4,75,0.4617340226611748
50,56.00000000000001,2,50,0.4408950504976991
1,28.000000000000004,3,1,0.25766070806154456
50,56.39999999999999,5,50,0.43821100410504366
1,40.400000000000006,4,1,0.31584423074489293
250,79.2,6,250,0.5643574306887723
250,81.2,1,250,0.574529734578327
25,52.400000000000006,5,25,0.41456072682981
2,44.800000000000004,3,2,0.3552480815725847
250,74.8,8,250,0.5020438456268551
25,50.0,2,25,0.38460527698938285
2,45.2,4,2,0.3373787360542327
50,56.8,6,50,0.43931732971468046
1,40.8,7,1,0.30725586040155567
50,54.0,1,50,0.4280216545779456
1,38.800000000000004,0,1,0.3152143778145869
50,53.6,8,50,0.40738638354532375
1,38.0,9,1,0.2968274551056007
25,52.400000000000006,8,25,0.40659273275167296
250,75.2,2,250,0.5041906217402905
250,67.60000000000001,5,250,0.5453539837645797
2,39.2,9,2,0.30581386972115443
25,51.2,1,25,0.3970592872910752
2,44.4,7,2,0.33624513823189306
25,52.400000000000006,6,25,0.3970030690716314
2,43.6,0,2,0.33108757746262085
100,68.4,7,100,0.4489525099624435
5,48.4,0,5,0.36501873104234156
500,16.0,8,500,0.11696203106158244
750,0.4,7,750,5.319290406659751e-05
750,0.4,0,750,9.071940488070398e-05
100,77.2,0,100,0.533283539975767
5,56.39999999999999,7,5,0.34332990312425654
500,18.0,1,500,0.11062711849212574
10,46.400000000000006,3,10,0.3618154104909071
5,46.400000000000006,9,5,0.36418999200456137
10,51.2,4,10,0.38974802412667603
100,61.6,9,100,0.48223658852797924
500,23.599999999999998,6,500,0.17493268321082892
750,0.4,9,750,6.827336655970505e-05
200,69.19999999999999,4,200,0.49826524727186955
20,51.6,6,20,0.3937786888118012
75,56.8,9,75,0.43185815901047653
20,50.4,1,20,0.3928836615922708
200,76.0,3,200,0.5538134051379084
75,62.8,7,75,0.45586043450852737
75,71.6,0,75,0.510247380777182
20,47.599999999999994,8,20,0.3686499176565401
25,57.99999999999999,7,25,0.3895920240151187
2,45.6,1,2,0.3414234276457137
25,51.6,0,25,0.38693299587339314
2,47.199999999999996,6,2,0.3706714734860429
250,70.0,4,250,0.49968435796250343
2,39.6,8,2,0.3119376453813539
25,54.0,9,25,0.40902911167811795
250,78.4,3,250,0.557868352711475
50,55.2,9,50,0.4340341287361152
1,40.0,8,1,0.3202459791863765
50,71.2,0,50,0.4981607511622465
1,41.199999999999996,1,1,0.32385979826233197
50,53.6,7,50,0.41836559320003
1,40.8,6,1,0.326378073729067
75,55.2,1,75,0.4260065173972455
20,52.0,9,20,0.401512603168232
75,57.99999999999999,6,75,0.44299393272903176
75,66.0,8,75,0.4699999770164912
20,50.8,0,20,0.38836953578675415
200,76.8,2,200,0.5273760998503746
200,68.8,5,200,0.5321638810049404
20,59.599999999999994,7,20,0.379502746868821
10,48.4,5,10,0.35969260010737863
100,64.4,8,100,0.46344658796429583
500,14.799999999999999,7,500,0.09899676758120465
750,0.4,8,750,7.08290540779828e-05
500,15.2,0,500,0.09363685080635002
10,48.8,2,10,0.3728733885687525
5,44.4,8,5,0.3455776121687589
750,0.4,1,750,5.9662311317940454e-05
5,47.199999999999996,6,5,0.353762897370729
100,70.0,1,100,0.5046301456262445
5,49.2,1,5,0.37099232629033935
100,66.4,6,100,0.46931342474778365
500,16.8,9,500,0.12313761639823187
750,0.4,6,750,6.622516556291391e-05
