n_shots,accuracy,run_num,nspw,f1
25,50.4,2,25,0.3248111933711581
2,30.4,8,2,0.1973252510017216
25,52.800000000000004,5,25,0.3285050287300614
2,23.200000000000003,6,2,0.1965308169642535
2,34.4,1,2,0.19415100627715343
250,81.6,3,250,0.63048069757731
1,8.799999999999999,6,1,0.07898335145031181
1,32.800000000000004,1,1,0.17934142740644288
250,84.0,4,250,0.6405463220130402
50,61.199999999999996,5,50,0.3983290688198493
1,15.6,8,1,0.12212974933563168
50,59.599999999999994,2,50,0.41025277883562117
500,52.400000000000006,9,500,0.34079923951324825
1309,0.4,1,1309,0.00011717834544176236
750,2.8000000000000003,6,750,0.0014435556979491679
75,64.8,4,75,0.45962402548179265
100,74.4,6,100,0.5398017632219052
100,74.8,1,100,0.5612635519794962
1309,0.4,6,1309,0.00034602076124567473
75,69.6,3,75,0.4915859856972587
750,0.0,1,750,0.0
500,32.0,0,500,0.22352662668932557
1309,0.0,8,1309,0.0
20,50.0,5,20,0.2792213870745539
500,24.8,7,500,0.18631306032508002
750,2.0,8,750,0.001144419425082261
20,47.199999999999996,2,20,0.30629116929525296
100,77.60000000000001,8,100,0.6100398466551481
10,37.2,0,10,0.24194292912203294
200,81.6,5,200,0.6604789594650274
5,42.8,1,5,0.25932579074489576
10,44.0,7,10,0.2698695208398448
200,81.2,2,200,0.6408180238436567
5,36.0,6,5,0.23518971485560097
10,36.0,9,10,0.26104141352006627
5,31.6,8,5,0.1745588320869655
1,25.2,9,1,0.12907903504288998
50,70.8,3,50,0.4907379318215231
50,59.599999999999994,4,50,0.4348257464236208
1,16.0,0,1,0.12194661862473148
250,82.0,5,250,0.6748207571634462
250,83.6,2,250,0.678759364082541
1,10.8,7,1,0.05366124710753867
2,16.0,0,2,0.10449647771950586
2,26.0,7,2,0.1531106233214602
25,43.2,4,25,0.310264801485069
2,32.800000000000004,9,2,0.23617758461479652
25,64.4,3,25,0.42658431180103007
10,38.800000000000004,8,10,0.24896878720408133
5,38.4,9,5,0.27890606516985256
10,44.0,6,10,0.3069826415414652
200,80.4,3,200,0.6275703253473695
5,36.0,7,5,0.21173499267556173
10,42.0,1,10,0.26726693968092186
200,81.6,4,200,0.6281659580125251
5,38.800000000000004,0,5,0.24347986293373539
500,34.4,6,500,0.21607728829660677
750,0.8,9,750,0.00029120559114735004
20,56.39999999999999,3,20,0.3610854986907362
100,76.0,9,100,0.5610837861349568
500,48.0,1,500,0.34727351511480253
1309,0.4,9,1309,0.000145602795573675
20,46.800000000000004,4,20,0.30990759180114485
100,74.0,0,100,0.56213440254831
750,0.4,0,750,0.0001523925632429138
75,67.2,2,75,0.4913030998625608
1309,0.4,7,1309,0.000196078431372549
500,25.6,8,500,0.16779074828273038
75,72.39999999999999,5,75,0.5417528661568909
750,0.8,7,750,0.0002334267040149393
1309,0.4,0,1309,0.00027746947835738075
100,80.0,7,100,0.5831213898019858
200,82.0,9,200,0.6504015251585583
10,42.8,2,10,0.27265234776765873
200,80.4,7,200,0.6102148714643668
5,23.200000000000003,3,5,0.14324599777134753
10,36.0,5,10,0.19322354116471765
200,79.2,0,200,0.6151096903612382
5,38.0,4,5,0.24143426819193733
500,50.8,2,500,0.37158146610180975
20,56.8,7,20,0.3790024172114827
500,36.4,5,500,0.24565861074921364
20,48.0,0,20,0.29890493033609394
75,78.0,8,75,0.5884659314076073
1309,0.0,3,1309,0.0
75,72.0,6,75,0.5486125061930927
750,1.2,4,750,0.00045248868778280545
100,67.2,4,100,0.4994547132181443
100,72.8,3,100,0.5363217035498952
20,52.800000000000004,9,20,0.3672432508955136
1309,0.4,4,1309,0.00018044027426921688
750,1.6,3,750,0.0011332489985241407
75,67.2,1,75,0.48631242108508266
50,68.4,7,50,0.507764409869386
250,78.8,8,250,0.6437868597538967
50,70.0,0,50,0.47915397842092156
250,82.8,1,250,0.6792066894234077
1,33.6,4,1,0.22611195993548935
50,66.4,9,50,0.4908322554234046
1,21.2,3,1,0.11786400834843738
250,79.2,6,250,0.623403039169293
25,54.800000000000004,9,25,0.37183107900758716
2,32.4,4,2,0.18691690397611602
2,18.0,3,2,0.12446488723879072
25,56.39999999999999,0,25,0.38481194752251946
25,54.800000000000004,7,25,0.34012871687762614
100,74.4,2,100,0.5525527778543088
20,50.4,8,20,0.34049395963680607
75,72.39999999999999,0,75,0.5335812667673895
750,2.4,2,750,0.0006893382352941177
1309,0.4,5,1309,0.0001661681621801263
750,0.4,5,750,0.00016249593760155994
75,74.8,7,75,0.5640269414108422
1309,0.0,2,1309,0.0
100,78.0,5,100,0.5990031750006174
500,38.0,4,500,0.2470452374372425
20,50.8,1,20,0.31965509662065794
75,70.8,9,75,0.5252256662983307
500,38.4,3,500,0.23787024087441572
20,52.400000000000006,6,20,0.3627701335712262
10,46.0,4,10,0.3194248089097269
200,82.8,1,200,0.6469727510602796
5,30.8,5,5,0.20684615222654543
10,35.199999999999996,3,10,0.23280767542570946
200,76.8,6,200,0.5821881033034956
5,32.0,2,5,0.1917800481829872
200,78.0,8,200,0.6394551446044798
25,57.99999999999999,6,25,0.3995747989209675
25,53.6,1,25,0.3254509713199854
2,26.8,2,2,0.17703850557581563
2,35.6,5,2,0.2270660076026943
25,58.8,8,25,0.3913327067489579
50,69.19999999999999,8,50,0.49841050648394486
1,23.200000000000003,2,1,0.12536402961968912
250,81.2,7,250,0.6353835402542377
250,82.0,0,250,0.653958120567117
1,30.0,5,1,0.20307322490098853
50,66.8,1,50,0.48963679649421343
50,67.60000000000001,6,50,0.48742126896151666
250,82.39999999999999,9,250,0.6417513626724151
