,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
360,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",360,20,6,False
17,human,human,3,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",17,20,6,False
361,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",361,20,6,False
411,entity,entity,1,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",411,20,6,False
67,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",67,20,6,False
425,location,entity,1,True,False,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",425,20,6,False
104,location,location,4,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",104,20,6,False
394,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",394,20,6,False
450,entity,entity,1,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",450,20,6,False
141,entity,entity,1,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",141,20,6,False
142,location,location,4,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",142,20,6,False
269,entity,description,2,True,False,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",269,20,6,False
173,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",173,20,6,False
238,location,location,4,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",238,20,6,False
55,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",55,20,6,False
121,numeric,numer,5,True,True,False,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",121,20,6,False
260,human,human,3,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",260,20,6,False
62,location,location,4,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",62,20,6,False
185,human,human,3,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",185,20,6,False
429,human,human,3,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",429,20,6,False
97,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",97,20,6,False
340,numeric,numer,5,True,True,False,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",340,20,6,False
496,entity,entity,1,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",496,20,6,False
183,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",183,20,6,False
393,numeric,numer,5,True,True,False,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",393,20,6,False
15,numeric,numer,5,True,True,False,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",15,20,6,False
162,entity,numer,5,True,False,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",162,20,6,False
481,entity,entity,1,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",481,20,6,False
332,entity,entity,1,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",332,20,6,False
251,location,location,4,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",251,20,6,False
305,location,location,4,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",305,20,6,False
169,human,human,3,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",169,20,6,False
249,description,entity,1,True,False,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",249,20,6,False
143,entity,entity,1,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",143,20,6,False
396,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",396,20,6,False
71,numeric,numer,5,True,True,False,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",71,20,6,False
168,entity,location,4,True,False,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",168,20,6,False
199,entity,entity,1,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",199,20,6,False
366,entity,entity,1,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",366,20,6,False
464,location,location,4,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",464,20,6,False
318,description,entity,1,True,False,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",318,20,6,False
242,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",242,20,6,False
69,location,location,4,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",69,20,6,False
271,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",271,20,6,False
145,entity,entity,1,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",145,20,6,False
379,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",379,20,6,False
398,numeric,numer,5,True,True,False,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",398,20,6,False
38,numeric,numer,5,True,True,False,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",38,20,6,False
20,human,human,3,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",20,20,6,False
160,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",160,20,6,False
194,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",194,20,6,False
485,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",485,20,6,False
293,description,entity,1,True,False,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",293,20,6,False
237,description,description,2,True,True,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",237,20,6,False
60,entity,location,4,True,False,True,"{1: 4, 2: 4, 3: 6, 5: 4, 4: 2}","[12, 546, 3558, 4218, 4636, 3420, 2836, 222, 3256, 5269, 4707, 5070, 303, 1925, 668, 255, 1592, 1304, 1166, 3824]",60,20,6,False
