n_shots,accuracy,run_num,nspw,f1
5,22.8,2,5,0.11499411968357992
50,56.8,9,50,0.29409967340463583
5,20.8,5,5,0.1540426774135214
50,62.4,7,50,0.36660767239781045
200,53.6,5,200,0.37384437848764224
200,60.0,2,200,0.36103120763862456
50,56.00000000000001,0,50,0.27885519509876916
500,3.5999999999999996,0,500,0.0014285714285714286
25,56.00000000000001,0,25,0.3057361897361897
750,0.8,8,750,0.001175609756097561
500,0.8,7,500,0.0012596525096525096
25,60.0,7,25,0.26939666144838553
100,52.800000000000004,8,100,0.24982779119202056
750,8.4,6,750,0.003218390804597701
25,44.4,9,25,0.2806004395870626
500,0.8,9,500,0.001
100,52.400000000000006,6,100,0.3126054015429731
100,56.39999999999999,1,100,0.356819581130794
750,8.4,1,750,0.004738461538461539
1,3.2,5,1,0.027104900533721495
10,23.599999999999998,2,10,0.08726379380301923
10,30.8,5,10,0.1721801639220994
1,23.599999999999998,2,1,0.1712113894902866
250,55.2,3,250,0.3522703640423275
250,64.4,4,250,0.40176800367189386
75,56.00000000000001,6,75,0.3247491568074722
75,56.00000000000001,1,75,0.3485293134027978
20,40.8,9,20,0.2510749094959621
20,62.0,7,20,0.2827581285683204
2,14.399999999999999,5,2,0.12673090350509703
75,50.8,8,75,0.22908051243340366
20,50.4,0,20,0.2834068056191626
2,32.800000000000004,2,2,0.19187238687866262
100,68.0,0,100,0.3691339613389002
750,5.6000000000000005,0,750,0.0035000000000000005
750,6.0,7,750,0.003389830508474576
500,3.5999999999999996,8,500,0.0014007782101167316
25,38.800000000000004,8,25,0.25725131391751543
100,55.2,7,100,0.33433792117281363
750,8.799999999999999,9,750,0.0032352941176470584
25,58.8,6,25,0.28116618621253564
500,3.5999999999999996,6,500,0.0013953488372093023
100,57.99999999999999,9,100,0.2932781459727272
25,46.800000000000004,1,25,0.24585112185112185
500,3.5999999999999996,1,500,0.004634146341463415
200,54.800000000000004,3,200,0.3613835546777998
50,56.8,1,50,0.3274072391079313
50,58.8,6,50,0.29628341495363564
200,57.99999999999999,4,200,0.35957072614646984
50,34.8,8,50,0.20304588025853523
5,36.0,4,5,0.26913276960730265
5,18.0,3,5,0.12307093534212177
75,54.400000000000006,9,75,0.3207307287061809
20,48.4,1,20,0.2618714630817201
2,22.400000000000002,3,2,0.10107682572768555
20,61.199999999999996,6,20,0.2778022152361775
2,25.6,4,2,0.1352678703410411
75,60.8,0,75,0.36913154927306785
20,40.400000000000006,8,20,0.2700636920631907
75,51.6,7,75,0.3324853857050654
250,58.8,5,250,0.39004004362814426
250,55.2,2,250,0.35339954705918397
10,46.400000000000006,4,10,0.26893332881780213
1,9.6,3,1,0.08126785714285713
1,18.8,4,1,0.11599563921149825
10,27.6,3,10,0.23104090624822327
20,60.4,5,20,0.24287524086006054
2,21.2,7,2,0.09559934318555008
20,32.4,2,20,0.14363200988897584
2,22.400000000000002,0,2,0.20126132708390773
75,51.6,4,75,0.3175039033362843
75,42.4,3,75,0.24279102289565788
2,28.4,9,2,0.06554310494976215
10,52.0,9,10,0.1373524811154645
250,50.0,1,250,0.3425274542665847
1,24.0,9,1,0.15963219644885293
250,56.00000000000001,6,250,0.35137734512801566
1,24.0,7,1,0.14364023837322268
10,48.8,0,10,0.27400610111136425
250,50.0,8,250,0.2802832161780876
10,36.4,7,10,0.2608335071032756
1,5.2,0,1,0.06320295131304304
750,8.0,4,750,0.003305785123966942
100,57.599999999999994,4,100,0.30042329408753465
100,46.0,3,100,0.24981718875311557
750,6.0,3,750,0.003949438202247192
500,3.5999999999999996,2,500,0.00145748987854251
25,46.0,2,25,0.2953385677546551
500,0.8,5,500,0.001095890410958904
25,51.2,5,25,0.2284387452604775
50,67.2,5,50,0.3188792664609215
200,53.6,7,200,0.3844079592355454
5,32.0,9,5,0.10279113802770577
200,66.4,0,200,0.44121022331548654
50,56.00000000000001,2,50,0.2469808741982655
5,31.6,0,5,0.2470213075455011
200,58.8,9,200,0.34527734565702106
5,42.4,7,5,0.21698956245701506
10,44.0,6,10,0.09001694710188138
1,13.200000000000001,1,1,0.0698669821020283
1,0.0,6,1,0.0
10,60.0,1,10,0.2451896848671042
250,55.60000000000001,9,250,0.38157514925894886
1,0.4,8,1,0.006666666666666666
250,48.0,7,250,0.3348741445104184
10,32.0,8,10,0.2826956185401952
250,62.0,0,250,0.41818159465437144
75,46.400000000000006,2,75,0.26053840424626257
2,3.5999999999999996,8,2,0.04253968253968254
75,52.800000000000004,5,75,0.3216909416543283
20,36.0,3,20,0.18954169819756175
2,37.2,1,2,0.10048335572473505
20,43.6,4,20,0.285026747857413
2,22.0,6,2,0.02880778588807786
200,52.400000000000006,8,200,0.3031798248621728
5,32.0,6,5,0.0758295529882992
5,52.800000000000004,1,5,0.2647895754121371
200,54.800000000000004,1,200,0.37091389127877733
50,42.0,3,50,0.23056579297343943
50,52.0,4,50,0.29144578755206224
200,50.8,6,200,0.3047466740369967
5,24.4,8,5,0.20861176032607653
25,44.4,4,25,0.2606530175327326
500,16.0,4,500,0.014564459930313588
25,42.4,3,25,0.2580938887382909
500,3.5999999999999996,3,500,0.0013899613899613897
100,49.2,2,100,0.27747477511267693
750,8.799999999999999,2,750,0.0032352941176470584
750,1.6,5,750,0.0018510895024487187
100,56.8,5,100,0.3550512480146347
