n_shots,accuracy,run_num,nspw,f1
50,53.6,4,50,0.37590084482729974
50,56.00000000000001,3,50,0.4133195722599694
75,52.800000000000004,9,75,0.39634658939294676
5,47.199999999999996,5,5,0.34947131602760717
5,40.400000000000006,2,5,0.30738463155681695
75,62.0,0,75,0.4025051339969428
75,54.800000000000004,7,75,0.3832834016608848
2,34.4,4,2,0.2545288412838081
200,71.2,3,200,0.478075094962512
20,50.0,6,20,0.3735309576369177
100,55.60000000000001,7,100,0.3966129345268416
20,47.199999999999996,1,20,0.3482602754125931
100,68.0,0,100,0.4640010100275
2,17.2,3,2,0.13660779985283297
1,39.6,9,1,0.2907100441868653
200,63.2,4,200,0.4790313255545043
10,46.0,2,10,0.33776411226742337
1,37.2,7,1,0.27695916114790275
25,49.6,5,25,0.3758297258297256
10,47.599999999999994,5,10,0.3626143172500786
1,35.199999999999996,0,1,0.2717654310369542
25,50.4,2,25,0.36847719220138364
20,49.6,8,20,0.35354090354090334
100,62.8,9,100,0.4290623770756221
50,54.0,2,50,0.4078524124881739
50,50.0,5,50,0.3745437417622846
10,44.0,4,10,0.31061705035214954
1,22.0,1,1,0.15251488601618174
25,52.800000000000004,3,25,0.3834752444023965
20,50.8,9,20,0.37581730263849444
100,59.599999999999994,8,100,0.4366213440716749
10,49.2,3,10,0.3631063650860746
1,23.599999999999998,6,1,0.1854321438824419
25,50.0,4,25,0.36275097235362114
20,53.6,0,20,0.3980256682243435
100,62.4,1,100,0.4104452632685464
2,38.0,2,2,0.28331150086116963
1,33.6,8,1,0.242489685743256
200,70.39999999999999,5,200,0.5143659872136694
2,42.4,5,2,0.31589499536519383
200,62.8,2,200,0.4880854087571212
20,48.8,7,20,0.3537535312369748
100,57.99999999999999,6,100,0.443914804841957
75,55.2,6,75,0.4115643370610255
75,57.99999999999999,1,75,0.4027777126778134
5,43.2,3,5,0.3150867246823282
75,55.60000000000001,8,75,0.4115903596036044
5,47.199999999999996,4,5,0.34731037909845835
10,51.6,0,10,0.37529696205192864
1,27.6,5,1,0.209758462952225
25,51.6,7,25,0.37097377582379504
200,68.0,8,200,0.4543768078867415
10,46.400000000000006,7,10,0.33557237464522216
1,34.8,2,1,0.2791698258374317
2,32.800000000000004,8,2,0.25323658731971127
25,54.400000000000006,0,25,0.4079154840744242
10,47.199999999999996,9,10,0.33670685458764915
2,35.6,6,2,0.28644029451688535
200,68.8,1,200,0.4733065023820715
20,47.199999999999996,4,20,0.35036791758646046
100,60.8,5,100,0.41184313089522123
20,52.800000000000004,3,20,0.3795842126967953
100,52.800000000000004,2,100,0.40994428676547867
2,30.0,1,2,0.2534166867630054
25,52.0,9,25,0.3987321707422991
200,67.2,6,200,0.47413491585677003
75,53.6,2,75,0.40669084410806233
75,53.2,5,75,0.35518655903189117
5,46.0,9,5,0.34035975062465107
5,42.4,7,5,0.27516177913528894
5,45.6,0,5,0.3320416975975661
50,52.0,6,50,0.38524771769804855
50,49.2,1,50,0.35528750131399117
50,53.6,8,50,0.39839538464392354
5,41.199999999999996,1,5,0.3252553921428092
5,43.6,6,5,0.3419948337166878
75,55.60000000000001,4,75,0.3984106854897327
5,46.0,8,5,0.32546844735760716
75,56.00000000000001,3,75,0.41776020153503574
20,48.4,2,20,0.35875643855776285
100,57.199999999999996,3,100,0.41637496058025836
2,39.6,0,2,0.2955964565236087
25,50.0,8,25,0.3649847576999893
200,61.6,7,200,0.4553466768698555
10,48.0,8,10,0.346063281824871
2,40.400000000000006,7,2,0.2798338159265311
200,72.39999999999999,0,200,0.5197004462133485
20,49.6,5,20,0.35793841919669717
100,60.0,4,100,0.44235060269341514
10,47.199999999999996,6,10,0.34295858666719575
1,28.000000000000004,3,1,0.178859313933755
2,45.2,9,2,0.32511300325869846
25,47.199999999999996,1,25,0.34333017975402064
10,47.199999999999996,1,10,0.34815037795170223
1,31.6,4,1,0.2294446798926737
25,48.4,6,25,0.3591769157994322
200,68.8,9,200,0.5094207800718387
50,49.2,9,50,0.36875830203644755
50,53.6,0,50,0.4085619678334908
50,61.199999999999996,7,50,0.41649427099758196
