n_shots,accuracy,run_num,nspw,f1
750,88.0,6,750,0.8595629026464623
2,42.4,6,2,0.3472568841185429
2,17.599999999999998,1,2,0.12497024968420849
750,91.60000000000001,1,750,0.901794145781436
250,88.0,4,250,0.8643297139284594
860,91.2,4,860,0.9003215679727007
250,86.4,3,250,0.8482551847876927
750,90.8,8,750,0.8970954784809274
860,90.0,3,860,0.8918776338389025
2,20.0,8,2,0.17228340061847933
5,30.8,7,5,0.2581767912284783
1,2.4,3,1,0.015028777384361468
50,55.60000000000001,2,50,0.5027462678651475
50,62.4,5,50,0.5597377234974136
5,29.2,0,5,0.2232698172491343
1,40.400000000000006,4,1,0.3509471221932522
500,92.80000000000001,5,500,0.9209868472374583
5,39.6,9,5,0.32152040796318915
500,90.0,2,500,0.8766188532829401
100,76.4,3,100,0.6807479864959091
75,72.0,6,75,0.6784009391594532
200,85.6,7,200,0.833763223750011
200,85.2,0,200,0.8508020435747873
100,83.2,4,100,0.8089905656090629
75,75.2,1,75,0.6907778289260312
75,76.0,8,75,0.6952137418565217
200,83.6,9,200,0.8102251877447414
20,50.0,9,20,0.3940667687039108
25,48.0,3,25,0.36878486246609743
10,32.800000000000004,4,10,0.2847458386286171
25,42.4,4,25,0.34976697315853533
10,40.400000000000006,3,10,0.35420229574437656
20,50.8,0,20,0.42831969361739813
20,45.6,7,20,0.41595663040994646
5,30.0,8,5,0.25720113921828247
500,87.6,3,500,0.8643022467366612
500,88.8,4,500,0.8783344573794165
50,70.0,4,50,0.6141402280843377
5,35.199999999999996,1,5,0.27700026690568863
1,5.2,5,1,0.0461222987538777
5,42.8,6,5,0.3358937647884237
1,26.400000000000002,2,1,0.19341670588675572
50,59.199999999999996,3,50,0.4977457830147502
750,92.4,9,750,0.9128232448665886
250,84.8,2,250,0.8155300237602354
860,90.4,2,860,0.8884972964771729
2,36.8,9,2,0.2807500395963507
250,89.60000000000001,5,250,0.8793962220677228
860,91.60000000000001,5,860,0.9069380062300056
2,29.2,0,2,0.23803744323781062
750,91.60000000000001,0,750,0.9018078697685998
750,92.80000000000001,7,750,0.924544936171138
2,27.200000000000003,7,2,0.2121467842428879
20,45.6,6,20,0.3351546638549653
20,51.2,1,20,0.42889042452306253
25,50.0,5,25,0.42497100102952134
10,34.8,2,10,0.24911399844596605
20,40.8,8,20,0.31642135555920337
25,44.800000000000004,2,25,0.36614271346628713
10,46.800000000000004,5,10,0.42500729950009913
75,74.0,9,75,0.6570816574661963
200,80.0,8,200,0.7768357796404889
200,82.8,1,200,0.7980543990707754
100,75.2,5,100,0.7281325398732955
75,72.0,0,75,0.677066730465364
100,72.39999999999999,2,100,0.6935558828584736
75,68.4,7,75,0.6426948660615975
200,86.0,6,200,0.8594804497294563
25,42.8,8,25,0.33913171182521024
20,43.2,2,20,0.3287702865575694
20,50.8,5,20,0.41657970213630463
10,37.6,8,10,0.2899304024752126
25,55.2,1,25,0.4576181526867817
10,38.4,6,10,0.2423786281445989
25,46.800000000000004,6,25,0.38549390144042145
10,41.6,1,10,0.3463233619542474
100,76.8,8,100,0.7038581071129547
100,80.4,1,100,0.7806939979149617
75,79.60000000000001,4,75,0.7625993048557006
200,86.8,5,200,0.8456041700866394
200,75.2,2,200,0.7091163574308842
100,78.4,6,100,0.7510162553719725
75,67.2,3,75,0.5793408591248574
500,92.0,7,500,0.9101962408076959
50,68.0,9,50,0.5645858490811239
1,6.0,8,1,0.04197045644414065
500,91.60000000000001,0,500,0.9043157128872957
5,42.0,5,5,0.40959240603831343
1,37.2,1,1,0.30573686719197557
50,63.6,0,50,0.5885024478445532
500,88.4,9,500,0.8696362340789586
50,65.2,7,50,0.5771889298798425
5,36.0,2,5,0.2454825033927201
1,42.0,6,1,0.3430226906529766
250,86.0,6,250,0.8612295637572648
860,86.4,6,860,0.8425170583254836
250,84.39999999999999,1,250,0.8362892379378449
860,93.60000000000001,1,860,0.9253060606042518
750,90.8,4,750,0.8919543047252027
2,28.4,4,2,0.22931736405999753
2,41.199999999999996,3,2,0.35327488558912706
750,92.0,3,750,0.9125410693175889
250,87.2,8,250,0.8570137030785555
860,92.0,8,860,0.9114982793897575
200,86.0,3,200,0.8478386730138404
100,72.0,7,100,0.6900157559032631
75,73.2,2,75,0.6728083778694828
100,79.2,0,100,0.7474378045626214
75,72.39999999999999,5,75,0.6853180745982604
200,87.6,4,200,0.8608293104158348
100,79.2,9,100,0.741545958459583
25,52.800000000000004,7,25,0.4571856118100212
10,42.0,0,10,0.34600983553769926
25,52.0,0,25,0.44121054840118323
10,43.6,7,10,0.39717218844642665
20,41.6,4,20,0.35177648747308193
10,49.6,9,10,0.4056308982797832
25,55.2,9,25,0.443278412424575
20,41.199999999999996,3,20,0.32089098734039256
2,36.8,2,2,0.2936659335750651
250,84.39999999999999,9,250,0.8240192412793034
750,89.2,2,750,0.8741480180723793
860,92.0,9,860,0.9063144028314308
750,90.8,5,750,0.8966881496108176
2,39.6,5,2,0.3445646062417707
250,87.2,0,250,0.8676089116919329
860,92.0,0,860,0.9115874688019059
250,91.2,7,250,0.9022056412351203
860,92.0,7,860,0.9087502491262471
500,88.8,8,500,0.8712081986265308
50,65.60000000000001,6,50,0.6164846661593153
5,46.400000000000006,3,5,0.3806744676254901
1,37.2,7,1,0.2977957261498223
5,32.800000000000004,4,5,0.2682203991610053
1,12.0,0,1,0.09542647537433134
50,71.6,1,50,0.6494503574125678
500,91.2,1,500,0.9017041992009404
500,89.2,6,500,0.8787492948937963
50,64.0,8,50,0.5419292124097616
1,10.0,9,1,0.08107905166728695
