n_shots,accuracy,run_num,nspw,f1
50,92.80000000000001,0,50,0.8829826018137704
750,93.60000000000001,0,750,0.9015625067573115
5,89.2,0,5,0.8384041643781897
2,81.2,0,2,0.7622288245664866
200,92.80000000000001,0,200,0.8896783591588784
25,41.199999999999996,0,25,0.35040485071243777
10,88.0,0,10,0.8360566561865259
838,94.39999999999999,0,838,0.906448097357188
20,90.4,0,20,0.8577545830792579
100,92.80000000000001,0,100,0.8908994324578738
250,92.0,0,250,0.8693170465897736
75,92.80000000000001,0,75,0.884014254144124
500,92.0,0,500,0.8836813258891177
1,80.80000000000001,0,1,0.7530720361889188
