n_shots,accuracy,run_num,nspw,f1
75,92.80000000000001,8,75,0.884014254144124
838,94.39999999999999,1,838,0.906448097357188
838,94.39999999999999,6,838,0.906448097357188
838,94.39999999999999,8,838,0.906448097357188
500,92.0,4,500,0.8836813258891177
75,92.80000000000001,1,75,0.884014254144124
500,92.0,3,500,0.8836813258891177
75,92.80000000000001,6,75,0.884014254144124
750,93.60000000000001,7,750,0.9015625067573115
750,93.60000000000001,0,750,0.9015625067573115
10,88.0,3,10,0.8360566561865259
25,90.8,4,25,0.8681376343714005
250,92.0,5,250,0.8693170465897736
10,88.0,4,10,0.8360566561865259
25,90.8,3,25,0.8681376343714005
750,93.60000000000001,9,750,0.9015625067573115
250,92.0,2,250,0.8693170465897736
200,92.80000000000001,6,200,0.8896783591588784
200,92.80000000000001,1,200,0.8896783591588784
50,92.80000000000001,5,50,0.8829826018137704
200,92.80000000000001,8,200,0.8896783591588784
50,92.80000000000001,2,50,0.8829826018137704
10,88.0,5,10,0.8360566561865259
25,90.8,2,25,0.8681376343714005
250,92.0,3,250,0.8693170465897736
750,93.60000000000001,8,750,0.9015625067573115
10,88.0,2,10,0.8360566561865259
25,90.8,5,25,0.8681376343714005
250,92.0,4,250,0.8693170465897736
750,93.60000000000001,1,750,0.9015625067573115
750,93.60000000000001,6,750,0.9015625067573115
500,92.0,2,500,0.8836813258891177
75,92.80000000000001,7,75,0.884014254144124
838,94.39999999999999,9,838,0.906448097357188
500,92.0,5,500,0.8836813258891177
75,92.80000000000001,0,75,0.884014254144124
838,94.0,7,838,0.9029127438218346
75,92.80000000000001,9,75,0.884014254144124
838,94.39999999999999,0,838,0.906448097357188
200,92.80000000000001,9,200,0.8896783591588784
50,92.80000000000001,3,50,0.8829826018137704
50,92.80000000000001,4,50,0.8829826018137704
200,92.80000000000001,0,200,0.8896783591588784
200,92.80000000000001,7,200,0.8896783591588784
50,92.80000000000001,7,50,0.8829826018137704
50,92.80000000000001,0,50,0.8829826018137704
200,92.80000000000001,4,200,0.8896783591588784
50,92.80000000000001,9,50,0.8829826018137704
200,92.80000000000001,3,200,0.8896783591588784
10,88.0,1,10,0.8360566561865259
250,92.0,7,250,0.8693170465897736
25,90.8,6,25,0.8681376343714005
10,88.0,6,10,0.8360566561865259
250,92.0,0,250,0.8693170465897736
25,90.8,1,25,0.8681376343714005
10,88.0,8,10,0.8360566561865259
750,93.60000000000001,5,750,0.9015625067573115
250,92.0,9,250,0.8693170465897736
750,93.60000000000001,2,750,0.9015625067573115
25,90.8,8,25,0.8681376343714005
75,92.80000000000001,3,75,0.884014254144124
500,92.0,6,500,0.8836813258891177
75,92.80000000000001,4,75,0.884014254144124
500,92.0,1,500,0.8836813258891177
838,94.39999999999999,3,838,0.906448097357188
838,94.0,4,838,0.9029127438218346
500,92.0,8,500,0.8836813258891177
50,92.80000000000001,8,50,0.8829826018137704
200,92.80000000000001,2,200,0.8896783591588784
200,92.80000000000001,5,200,0.8896783591588784
50,92.80000000000001,1,50,0.8829826018137704
50,92.80000000000001,6,50,0.8829826018137704
838,94.39999999999999,5,838,0.906448097357188
500,92.0,9,500,0.8836813258891177
838,94.39999999999999,2,838,0.906448097357188
75,92.80000000000001,5,75,0.884014254144124
500,92.0,0,500,0.8836813258891177
75,92.80000000000001,2,75,0.884014254144124
500,92.0,7,500,0.8836813258891177
750,93.60000000000001,3,750,0.9015625067573115
250,92.0,8,250,0.8693170465897736
25,90.8,9,25,0.8681376343714005
10,88.0,9,10,0.8360566561865259
750,93.60000000000001,4,750,0.9015625067573115
10,88.0,7,10,0.8360566561865259
250,92.0,1,250,0.8693170465897736
25,90.8,0,25,0.8681376343714005
10,88.0,0,10,0.8360566561865259
250,92.0,6,250,0.8693170465897736
25,90.8,7,25,0.8681376343714005
