n_shots,accuracy,run_num,nspw,f1
25,96.0,5,25,0.23376623376623376
10,100.0,2,10,0.1038961038961039
20,100.0,8,20,0.23376623376623376
25,96.0,2,25,0.23376623376623376
10,100.0,5,10,0.11688311688311688
20,100.0,6,20,0.2077922077922078
1,100.0,4,1,0.012987012987012988
5,100.0,3,5,0.06493506493506493
1,100.0,3,1,0.012987012987012988
5,100.0,4,5,0.06493506493506493
20,100.0,1,20,0.22077922077922077
100,97.0,2,100,0.6218614718614719
75,100.0,0,75,0.5974025974025974
200,99.5,6,200,0.8903318903318903
75,100.0,7,75,0.7012987012987013
200,100.0,1,200,0.935064935064935
100,100.0,5,100,0.7012987012987013
2,100.0,2,2,0.025974025974025976
75,97.33333333333334,9,75,0.6138528138528139
2,100.0,5,2,0.012987012987012988
200,98.0,8,200,0.8705262270197334
50,100.0,4,50,0.45454545454545453
50,98.0,3,50,0.43290043290043295
500,99.6,4,500,0.9966877291954692
500,99.0,3,500,0.9861515550302736
250,98.4,5,250,0.9453720882292309
250,100.0,2,250,0.922077922077922
2,100.0,4,2,0.025974025974025976
200,99.5,9,200,0.8916512059369203
2,50.0,3,2,0.008658008658008658
75,98.66666666666667,8,75,0.5645021645021645
75,100.0,6,75,0.6233766233766234
200,99.0,0,200,0.8742115027829314
100,98.0,4,100,0.6683982683982683
100,98.0,3,100,0.6387136672850958
75,100.0,1,75,0.6233766233766234
200,100.0,7,200,0.922077922077922
1,100.0,2,1,0.012987012987012988
5,100.0,5,5,0.05194805194805195
20,100.0,0,20,0.2077922077922078
20,100.0,7,20,0.23376623376623376
1,0.0,5,1,0.0
5,100.0,2,5,0.06493506493506493
20,100.0,9,20,0.19480519480519481
25,100.0,3,25,0.2597402597402597
10,100.0,4,10,0.12987012987012986
25,96.0,4,25,0.2961038961038961
10,100.0,3,10,0.1038961038961039
250,99.6,3,250,0.944011544011544
250,99.6,4,250,0.9588593224956861
500,99.8,2,500,0.9821645021645021
500,99.2,5,500,0.96723688839808
50,98.0,2,50,0.4372294372294373
50,100.0,5,50,0.45454545454545453
250,98.4,7,250,0.947148666629186
250,98.8,0,250,0.9220516856880493
250,99.6,9,250,0.9447536590393734
500,99.8,6,500,0.9838509316770186
50,100.0,8,50,0.45454545454545453
500,99.2,1,500,0.9802191214760068
50,100.0,6,50,0.42857142857142855
500,99.4,8,500,0.9953585261855938
50,98.0,1,50,0.5272727272727272
2,100.0,0,2,0.025974025974025976
100,98.0,9,100,0.7332096474953617
2,50.0,7,2,0.008658008658008658
100,100.0,0,100,0.6753246753246753
2,100.0,9,2,0.025974025974025976
75,97.33333333333334,2,75,0.5255411255411255
200,99.5,4,200,0.8932178932178931
75,96.0,5,75,0.556586270871985
200,99.0,3,200,0.8733766233766234
100,99.0,7,100,0.7722943722943724
20,100.0,4,20,0.2597402597402597
1,100.0,6,1,0.012987012987012988
10,100.0,9,10,0.1038961038961039
5,100.0,1,5,0.06493506493506493
1,0.0,1,1,0.0
25,96.0,9,25,0.2424242424242424
5,100.0,6,5,0.06493506493506493
20,100.0,3,20,0.2077922077922078
25,100.0,7,25,0.2857142857142857
5,100.0,8,5,0.06493506493506493
10,100.0,0,10,0.11688311688311688
25,100.0,0,25,0.24675324675324675
1,100.0,8,1,0.012987012987012988
10,100.0,7,10,0.1038961038961039
500,99.0,9,500,0.978132045358936
50,100.0,0,50,0.4805194805194805
50,100.0,7,50,0.5324675324675324
50,98.0,9,50,0.4735930735930736
500,98.8,0,500,0.9845495774067201
500,98.8,7,500,0.9906729241837531
250,98.8,8,250,0.913693377329741
250,99.6,1,250,0.9716646989374261
250,100.0,6,250,0.922077922077922
1,100.0,9,1,0.012987012987012988
25,100.0,1,25,0.2727272727272727
10,90.0,6,10,0.11688311688311688
25,100.0,6,25,0.24675324675324675
10,100.0,1,10,0.11688311688311688
5,100.0,9,5,0.06493506493506493
25,96.0,8,25,0.27705627705627706
1,100.0,0,1,0.012987012987012988
5,100.0,7,5,0.06493506493506493
20,100.0,2,20,0.2077922077922078
20,100.0,5,20,0.22077922077922077
1,100.0,7,1,0.012987012987012988
5,100.0,0,5,0.06493506493506493
10,100.0,8,10,0.11688311688311688
75,100.0,4,75,0.6103896103896104
200,98.0,2,200,0.8286576338524388
100,99.0,6,100,0.699443413729128
100,100.0,1,100,0.7402597402597403
2,100.0,8,2,0.025974025974025976
75,98.66666666666667,3,75,0.5627705627705627
200,98.0,5,200,0.8619919041996963
2,100.0,6,2,0.025974025974025976
2,100.0,1,2,0.025974025974025976
100,99.0,8,100,0.6943722943722944
