,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
903,fiat currency support,supported,54,False,False,False,{36: 1},[8047],903,1,8,False
1003,top up failed,top up revert,61,False,False,False,{36: 1},[8047],1003,1,8,False
2953,card payment not recognised,card about,9,False,False,False,{36: 1},[8047],2953,1,8,False
2979,fiat currency support,apple,2,False,False,False,{36: 1},[8047],2979,1,8,False
1926,atm support,card sw,18,False,False,False,{36: 1},[8047],1926,1,8,False
2137,change pin,change,21,False,True,False,{36: 1},[8047],2137,1,8,False
2980,fiat currency support,apple,2,False,False,False,{36: 1},[8047],2980,1,8,False
702,cancel transfer,cancel,8,False,True,False,{36: 1},[8047],702,1,8,False
2493,card payment not recognised,order,43,False,False,False,{36: 1},[8047],2493,1,8,False
2210,fiat currency support,transfer fee,64,False,False,False,{36: 1},[8047],2210,1,8,False
112,exchange rate,exchange rate,32,False,True,False,{36: 1},[8047],112,1,8,False
2909,fiat currency support,cash withdrawal charge,19,False,False,False,{36: 1},[8047],2909,1,8,False
1987,transaction charged twice,transaction,63,False,True,False,{36: 1},[8047],1987,1,8,False
1283,card payment not recognised,vis,73,False,False,False,{36: 1},[8047],1283,1,8,False
1539,passcode forgotten,pass,44,False,True,False,{36: 1},[8047],1539,1,8,False
2879,card payment not recognised,activ,0,False,False,False,{36: 1},[8047],2879,1,8,False
1158,change pin,edit,30,False,False,False,{36: 1},[8047],1158,1,8,False
1376,card payment fee charged,dispos,29,False,False,False,{36: 1},[8047],1376,1,8,False
1517,get disposable virtual card,direct,28,False,False,False,{36: 1},[8047],1517,1,8,False
1171,verify my identity,why,74,False,False,False,{36: 1},[8047],1171,1,8,False
2242,fiat currency support,receiving,50,False,False,False,{36: 1},[8047],2242,1,8,False
1476,fiat currency support,at,3,False,False,False,{36: 1},[8047],1476,1,8,False
237,atm support,pending c,46,False,False,False,{36: 1},[8047],237,1,8,False
1650,lost or stolen phone,lost or stolen phone,42,False,True,False,{36: 1},[8047],1650,1,8,False
2484,card payment fee charged,order,43,False,False,False,{36: 1},[8047],2484,1,8,False
2105,cancel transfer,revert,53,False,False,False,{36: 1},[8047],2105,1,8,False
2121,change pin,change,21,False,True,False,{36: 1},[8047],2121,1,8,False
