n_shots,accuracy,run_num,nspw,f1
1,21.2,2,1,0.14290875205580802
100,57.599999999999994,8,100,0.48560584437207815
838,84.39999999999999,8,838,0.790003178639542
1,26.8,5,1,0.2102836947451157
200,69.19999999999999,5,200,0.6397926027796156
838,83.6,6,838,0.7787621469439647
100,66.8,1,100,0.5839437979048366
100,52.800000000000004,6,100,0.4764377715485431
200,70.0,2,200,0.6406130324448845
838,78.0,1,838,0.7497844867974736
50,44.4,9,50,0.3777934422226972
50,46.800000000000004,7,50,0.3688607208087728
50,46.0,0,50,0.3948281156073364
250,71.2,6,250,0.6560442443559324
5,32.0,4,5,0.2630880182828235
5,34.8,3,5,0.28861494799233517
250,75.6,1,250,0.6900169094974287
750,81.6,4,750,0.7534870973182659
75,50.4,3,75,0.42356431447340537
250,72.39999999999999,8,250,0.6565272389947713
750,83.6,3,750,0.7745519992273237
75,47.199999999999996,4,75,0.3878911132157885
20,36.0,5,20,0.2798601173887652
2,26.400000000000002,5,2,0.20834100841805003
10,33.2,8,10,0.26143070939638474
500,79.60000000000001,7,500,0.7429450780100127
500,79.2,0,500,0.7461647680899014
25,38.800000000000004,8,25,0.3058938232724972
20,37.2,2,20,0.27919180923764575
2,20.0,2,2,0.15341877293095038
10,35.199999999999996,1,10,0.2758881984665024
25,30.8,6,25,0.25202370375718774
10,29.599999999999998,6,10,0.21295131730880196
500,78.4,9,500,0.7295139204230109
25,38.800000000000004,1,25,0.32007732527213045
50,48.0,1,50,0.3972851863668478
50,36.0,6,50,0.3172088118994154
50,46.400000000000006,8,50,0.3601455458216344
100,54.400000000000006,7,100,0.46062343140265216
200,71.6,3,200,0.6421027024923126
838,82.0,0,838,0.7900402330883609
200,68.0,4,200,0.6249864132981016
838,82.0,7,838,0.7657229494891831
100,54.800000000000004,0,100,0.48190502821398223
838,80.80000000000001,9,838,0.7742643359526472
1,14.399999999999999,4,1,0.08699343127584379
1,24.8,3,1,0.1779632839382015
100,54.0,9,100,0.46459359733454064
10,34.0,7,10,0.26737256250243263
500,82.39999999999999,8,500,0.7896852065683232
25,39.6,0,25,0.3134245464127219
10,36.4,0,10,0.29489148428715733
25,34.8,7,25,0.3059058037285692
500,80.0,1,500,0.7448261695014938
25,34.8,9,25,0.268069845017897
20,33.6,3,20,0.2672181243151362
2,24.0,3,2,0.17926946366594954
20,37.2,4,20,0.30748033346399173
2,21.2,4,2,0.1540314663691287
10,34.0,9,10,0.26728942688629453
500,77.60000000000001,6,500,0.7173147919901163
750,83.2,2,750,0.7502378573807142
250,73.6,9,250,0.693400360556888
75,56.8,5,75,0.5009173062829932
750,80.80000000000001,5,750,0.7570251537784003
75,52.800000000000004,2,75,0.4302593813872011
5,28.000000000000004,2,5,0.23395048155813708
250,77.2,0,250,0.7073627671030264
250,75.2,7,250,0.6888891220823992
5,18.0,5,5,0.14518491986631327
10,38.0,3,10,0.30232811073147203
25,35.199999999999996,4,25,0.29994813988320473
20,35.6,9,20,0.27093327901196507
2,34.4,9,2,0.27418480021119307
10,32.0,4,10,0.29499901253148
25,34.0,3,25,0.26793961068216227
20,33.2,7,20,0.27482697677502865
2,25.2,7,2,0.199418372565852
500,81.2,5,500,0.7353343626070896
500,78.0,2,500,0.7157273462468263
