n_shots,accuracy,run_num,nspw,f1
1,80.80000000000001,0,1,0.7530720361889188
5,87.6,0,5,0.8223885782327337
750,93.60000000000001,0,750,0.8954028655327354
50,92.4,0,50,0.8844914825434302
10,89.2,0,10,0.8518343849512677
25,91.60000000000001,0,25,0.8847735237345624
200,92.4,0,200,0.8882814155541425
2,83.2,0,2,0.7821312165468004
250,92.4,0,250,0.8795304983616667
20,90.8,0,20,0.879780176533423
838,94.0,0,838,0.8978353536795093
100,93.2,0,100,0.8997279776500552
500,93.2,0,500,0.8874362289946703
75,92.4,0,75,0.8992340271561047
