n_shots,accuracy,run_num,nspw,f1
750,83.2,7,750,0.7960761821151429
750,80.0,0,750,0.7332555611776386
75,51.2,9,75,0.4481784828674783
250,75.6,5,250,0.705518399349568
75,46.400000000000006,7,75,0.36085827459594366
250,73.6,2,250,0.6657920381433706
750,80.80000000000001,9,750,0.7512563915161315
75,49.2,0,75,0.4331344616676932
20,36.8,1,20,0.2965384239820329
20,26.8,6,20,0.22754374053075357
25,38.4,2,25,0.2971837673626906
838,82.8,2,838,0.7633974250857364
500,81.2,4,500,0.7502494258987764
10,35.199999999999996,5,10,0.2704809630435862
20,36.4,8,20,0.2921142983241411
25,37.6,5,25,0.3163323196132492
838,82.39999999999999,5,838,0.762060325019105
500,81.2,3,500,0.774104755273586
10,32.800000000000004,2,10,0.2751875259984931
100,64.4,2,100,0.5666072402572743
2,17.599999999999998,8,2,0.13274974311862955
200,70.0,6,200,0.5972677394755315
1,21.2,2,1,0.14290875205580802
200,69.19999999999999,1,200,0.6483806957832929
1,26.8,5,1,0.2102836947451157
100,61.199999999999996,5,100,0.5262271031922433
2,26.400000000000002,1,2,0.21162324102088942
2,25.6,6,2,0.17708911328335383
200,72.0,8,200,0.6477633136211398
5,34.8,9,5,0.24321637027070975
50,44.800000000000004,3,50,0.3836660332149054
5,31.6,0,5,0.25067596905259243
5,30.8,7,5,0.24021951065495759
50,39.2,4,50,0.31185729854561023
25,38.4,4,25,0.34067757259828346
500,78.0,2,500,0.7052913176289793
838,81.6,4,838,0.7667506014908612
10,38.4,3,10,0.29977164419486796
25,34.0,3,25,0.28194395791798393
500,78.0,5,500,0.7275864107032936
838,82.8,3,838,0.7565400688777307
10,33.6,4,10,0.301326775677425
20,36.0,9,20,0.28437038013251276
20,34.4,7,20,0.2877562302181162
20,40.400000000000006,0,20,0.32875569596348814
750,85.6,8,750,0.8029900474705666
250,73.6,3,250,0.6833585646480179
75,54.0,1,75,0.4531593266565725
250,72.39999999999999,4,250,0.6656349422583189
75,44.800000000000004,6,75,0.4071974360282028
750,82.39999999999999,1,750,0.7781006151136017
75,53.6,8,75,0.4409403727585546
750,81.2,6,750,0.7603535713925319
5,34.0,6,5,0.23470729230484347
50,50.8,5,50,0.4417500821053152
50,48.8,2,50,0.4167224550341434
5,28.799999999999997,1,5,0.229964847309345
5,27.200000000000003,8,5,0.2144251578644772
2,25.2,7,2,0.199418372565852
200,70.0,9,200,0.655107736874654
2,28.799999999999997,0,2,0.21830269297801763
1,14.399999999999999,4,1,0.08699343127584379
200,70.0,0,200,0.6430599513648044
100,53.2,4,100,0.4310703005508201
100,57.99999999999999,3,100,0.496046517780666
2,34.4,9,2,0.27418480021119307
1,24.8,3,1,0.1779632839382015
200,66.0,7,200,0.5911039177272941
50,49.2,1,50,0.40154737227532866
5,28.4,2,5,0.22812308239457152
5,20.4,5,5,0.15857473426938848
50,36.8,6,50,0.3203251415170157
50,47.599999999999994,8,50,0.3800803983386106
2,24.0,3,2,0.17926946366594954
1,25.6,9,1,0.21303022374450944
100,55.2,9,100,0.4891831131578225
2,21.2,4,2,0.1540314663691287
100,54.0,0,100,0.47361260672948974
200,68.4,4,200,0.6184834645873606
1,14.399999999999999,0,1,0.10289140449568256
200,71.2,3,200,0.6376481914075895
1,20.0,7,1,0.1639535815923367
100,50.8,7,100,0.4328297269320952
838,80.0,0,838,0.758764251621394
500,80.0,6,500,0.7310590563837315
25,41.6,0,25,0.35015415879168493
10,32.800000000000004,7,10,0.25512250001423814
838,82.39999999999999,7,838,0.7833921659360923
500,80.4,1,500,0.7639323158803676
25,37.2,7,25,0.3023070332641197
10,37.2,0,10,0.2716497806894253
20,34.0,3,20,0.2841039976066714
838,81.6,9,838,0.7676340254262329
25,39.2,9,25,0.3085009950043522
500,85.2,8,500,0.8065136883318699
10,34.0,9,10,0.24488738224012233
20,37.2,4,20,0.3087697295489502
75,53.6,5,75,0.44313649049586495
250,70.8,7,250,0.6611619282169318
75,55.60000000000001,2,75,0.4499264728588038
250,76.8,0,250,0.717659362737968
750,80.0,5,750,0.738891129574359
750,83.6,2,750,0.7722119150690575
250,72.0,9,250,0.6696651491593388
1,23.599999999999998,6,1,0.17259637908988557
200,73.6,2,200,0.6743398736905225
100,53.2,6,100,0.47724378371819176
100,60.8,1,100,0.5078537490101158
1,22.400000000000002,1,1,0.14288585201445309
200,73.6,5,200,0.6653471517871823
2,26.400000000000002,5,2,0.20834100841805003
2,20.0,2,2,0.15341877293095038
1,16.400000000000002,8,1,0.12511081952160713
100,57.599999999999994,8,100,0.4854422652611306
50,42.4,9,50,0.3644263949096886
5,31.2,4,5,0.2563144383274254
50,42.4,7,50,0.32980771880695486
50,46.0,0,50,0.39493832286040076
5,34.4,3,5,0.274693465434489
250,74.4,8,250,0.6902178989841324
750,83.2,3,750,0.7574572613533649
750,82.8,4,750,0.7904124735293563
75,50.8,3,75,0.40574616424418797
250,70.39999999999999,1,250,0.6464879276567587
75,48.4,4,75,0.3846528291333487
250,74.4,6,250,0.6691808191808188
500,74.8,9,500,0.7117637773481926
10,30.4,8,10,0.24025538590091683
20,36.4,5,20,0.28590583298375494
20,37.2,2,20,0.28494148524706203
838,85.6,8,838,0.8155733516123123
25,39.2,8,25,0.29792071068334847
500,80.0,0,500,0.7541397275163507
838,82.39999999999999,6,838,0.7489869437921381
25,32.0,6,25,0.256457820968697
10,32.800000000000004,1,10,0.2688458426019458
500,81.6,7,500,0.7501888867435083
838,82.8,1,838,0.7897175335487021
25,39.6,1,25,0.33245282223409356
10,31.6,6,10,0.22567066066501415
