n_shots,accuracy,run_num,nspw,f1
75,75.6,1,75,0.7137297517297515
250,90.8,0,250,0.8873658933658929
75,74.0,6,75,0.6484687534687532
250,89.60000000000001,7,250,0.8549694009694006
1000,95.6,2,1000,0.9501863321863318
75,72.39999999999999,8,75,0.6591301291301289
250,92.0,9,250,0.8988164428164425
750,94.0,2,750,0.9302586302586295
750,96.0,5,750,0.9491435231435228
1000,94.0,5,1000,0.9321326081326078
1169,95.19999999999999,9,1169,0.9283500203500201
500,93.60000000000001,1,500,0.9108506308506304
10,64.4,3,10,0.6051255846549963
25,64.8,4,25,0.618046176046176
500,94.8,6,500,0.9326771006771003
10,54.0,4,10,0.4990957408604468
25,71.2,3,25,0.6504156584156582
20,61.6,9,20,0.5822784992784991
500,94.39999999999999,8,500,0.9327992747992744
20,63.6,7,20,0.5761752691752691
1169,96.0,0,1169,0.9344240944240942
20,54.400000000000006,0,20,0.5093055513839827
1169,94.8,7,1169,0.9399421319421318
100,83.2,9,100,0.7929474229474226
1,46.0,3,1,0.44812180974206295
2,53.6,3,2,0.47945856322326896
200,91.60000000000001,3,200,0.9019527139527134
100,81.2,7,100,0.7638926171867345
100,79.2,0,100,0.7257410737410734
1,3.5999999999999996,4,1,0.03056854256854257
2,44.4,4,2,0.4113959973615147
200,86.4,4,200,0.851392681392681
50,69.19999999999999,5,50,0.6141853614794791
50,66.0,2,50,0.6309596764890881
5,54.0,2,5,0.48466523019464186
5,56.39999999999999,5,5,0.5094882894882895
20,56.00000000000001,1,20,0.49081268828637253
1169,96.0,6,1169,0.947242905242905
500,93.60000000000001,9,500,0.9094831094831091
20,54.0,6,20,0.4779790275084393
1169,94.0,1,1169,0.9144354904354899
500,93.60000000000001,7,500,0.9181430421430419
10,60.4,5,10,0.5626684861978979
25,59.599999999999994,2,25,0.5345915565915565
20,63.6,8,20,0.6127047961784803
1169,95.19999999999999,8,1169,0.9514545454545451
500,94.39999999999999,0,500,0.930359788359788
10,57.199999999999996,2,10,0.5308313821254997
25,62.8,5,25,0.5572538572538572
750,96.39999999999999,4,750,0.9605606985606983
1000,94.39999999999999,4,1000,0.9413707033707029
1000,95.6,3,1000,0.9394082214082213
75,80.80000000000001,9,75,0.7523707403707401
750,94.0,3,750,0.9301391941391938
250,93.2,8,250,0.909409035409035
75,75.2,7,75,0.7028897311838486
250,91.2,6,250,0.8958371258371254
75,77.60000000000001,0,75,0.6995217375217373
250,92.4,1,250,0.905252229252229
5,46.800000000000004,4,5,0.4397181337181337
5,51.2,3,5,0.4510871046165163
50,76.4,3,50,0.6971529951529951
50,68.4,4,50,0.6524173560644148
100,82.39999999999999,1,100,0.7738141858141854
1,50.4,5,1,0.486810705634235
2,45.6,5,2,0.4220665260665262
200,90.0,5,200,0.8758366731307906
1,40.0,2,1,0.3591156415512318
2,50.4,2,2,0.4761389585073796
200,85.2,2,200,0.8068336108336105
100,78.0,6,100,0.6994770044770042
100,77.2,8,100,0.7184357416462677
5,45.6,0,5,0.40449448796817233
5,54.400000000000006,7,5,0.48813716497927023
50,74.8,9,50,0.6762254782254781
5,52.800000000000004,9,5,0.4844966016270365
50,74.0,7,50,0.6805804195804193
50,70.39999999999999,0,50,0.6554274614274611
1,38.4,1,1,0.36275330989461424
200,89.2,1,200,0.8639698819698814
2,53.6,1,2,0.5023251258545377
100,80.0,5,100,0.7410738803679979
100,77.60000000000001,2,100,0.7263048803048802
1,53.6,6,1,0.511916157916158
200,90.0,6,200,0.8659410219410216
2,52.800000000000004,6,2,0.49546862026862026
1,50.4,8,1,0.4646777008108278
200,91.2,8,200,0.8894667554667548
2,35.6,8,2,0.35136439377615847
10,52.400000000000006,8,10,0.4991211011211012
20,61.199999999999996,5,20,0.5682666179136768
1169,96.0,2,1169,0.9576035076035073
20,58.8,2,20,0.5446823546823545
1169,95.6,5,1169,0.9476833536833534
25,62.4,8,25,0.5935148009884851
500,94.0,3,500,0.93046065046065
10,58.4,1,10,0.5228564768564768
25,52.800000000000004,6,25,0.4793325193325192
500,95.6,4,500,0.942393976393976
10,53.2,6,10,0.47753542753542744
25,64.8,1,25,0.588452051216757
1000,96.0,0,1000,0.932134236134236
750,96.0,0,750,0.9557468457468455
750,94.8,7,750,0.9202365042365039
1000,96.0,7,1000,0.9561250601250598
75,82.8,3,75,0.7736213416213414
750,96.8,9,750,0.9615449735449734
250,87.2,2,250,0.8396109076109073
1000,96.0,9,1000,0.9387627187627186
75,69.6,4,75,0.6323728776669951
250,91.2,5,250,0.8934337427278601
1,20.0,9,1,0.2397676767676768
200,87.6,9,200,0.8605135605135602
2,53.6,9,2,0.4893753206311346
100,81.6,3,100,0.7736684709625883
1,46.400000000000006,7,1,0.4396599326599327
200,84.8,7,200,0.8157659377659374
2,56.39999999999999,7,2,0.5036943601061249
1,5.2,0,1,0.04386913381603647
200,86.8,0,200,0.8323437956379128
2,6.0,0,2,0.052324707550514
100,72.8,4,100,0.7043160465265728
50,73.6,1,50,0.6887571687571685
5,37.6,8,5,0.3791114666332058
50,70.0,6,50,0.6416485366485366
5,55.2,6,5,0.49706911824558875
50,67.2,8,50,0.6308246938246936
5,60.4,1,5,0.5410197210197208
75,75.2,5,75,0.6969309862251035
250,88.8,4,250,0.8712503052503049
75,74.8,2,75,0.709172679172679
250,91.2,3,250,0.8943173123173119
750,94.0,8,750,0.9253291893291888
1000,94.8,8,1000,0.9386886446886441
750,96.8,6,750,0.9522490102490102
1000,96.0,6,1000,0.9503222703222699
1000,94.0,1,1000,0.924524956524956
750,93.60000000000001,1,750,0.909456173456173
500,94.39999999999999,5,500,0.9350109150109148
10,62.8,7,10,0.5921141229141227
25,59.199999999999996,0,25,0.5453693931340992
500,92.80000000000001,2,500,0.9160152440152437
10,53.6,0,10,0.4791828171828172
25,66.4,7,25,0.59003663003663
20,64.0,3,20,0.5861785621785618
1169,93.60000000000001,4,1169,0.9291061531061526
25,65.2,9,25,0.6170890590890589
10,56.39999999999999,9,10,0.511068302068302
20,58.8,4,20,0.5568302808302807
1169,94.8,3,1169,0.936429718429718
