n_shots,accuracy,run_num,nspw,f1
250,87.2,0,250,0.658719646799117
25,79.60000000000001,0,25,0.6198068671578606
10,78.0,0,10,0.6085732663216107
100,84.0,0,100,0.6388377626788224
500,86.8,0,500,0.6567223799011878
50,83.2,0,50,0.6312184006266467
1,64.4,0,1,0.5048017288083511
1000,90.8,0,1000,0.6759592137075581
5,41.199999999999996,0,5,0.31095909241604597
750,89.2,0,750,0.662887855977404
75,81.6,0,75,0.6217820684002424
200,85.2,0,200,0.6476808032556595
2,69.19999999999999,0,2,0.536384300026684
20,78.8,0,20,0.611958093415047
