n_shots,accuracy,run_num,nspw,f1
100,84.0,0,100,0.6388377626788224
200,86.4,4,200,0.654015878812318
200,86.0,3,200,0.652315013904418
100,82.39999999999999,7,100,0.6324253065750429
100,83.6,9,100,0.6362661620939768
750,88.0,5,750,0.6519766352720788
20,79.60000000000001,8,20,0.6152600603056682
5,73.2,2,5,0.5779726872160293
25,80.0,2,25,0.619712259778485
10,78.0,5,10,0.6080844615281701
25,79.60000000000001,5,25,0.6195230450197338
5,73.6,5,5,0.5819461971498042
10,77.60000000000001,2,10,0.6074523122205241
250,87.2,9,250,0.6617446167969562
750,88.8,2,750,0.66276364850576
250,86.4,7,250,0.6564536911839052
20,79.2,1,20,0.6152693516931926
250,87.2,0,250,0.658719646799117
20,79.2,6,20,0.613724097830058
1000,89.2,3,1000,0.6708312464058472
500,87.2,8,500,0.6541154210028383
1000,90.8,4,1000,0.6723342261071952
500,86.8,6,500,0.6534531693472091
500,88.0,1,500,0.6539003186527157
100,82.8,8,100,0.6364530042538722
200,86.0,2,200,0.6535764456294259
100,56.00000000000001,6,100,0.4461578892042465
100,82.8,1,100,0.636539294132739
200,84.39999999999999,5,200,0.6469104314274445
500,86.8,0,500,0.6567223799011878
500,89.2,7,500,0.6639285371505355
500,88.0,9,500,0.6562870903930507
1000,90.0,5,1000,0.6751256794108372
1000,89.2,2,1000,0.6667196185581084
250,86.8,1,250,0.6625401326106305
20,79.2,7,20,0.6157581564866332
250,88.4,6,250,0.6664294912225377
20,78.8,0,20,0.611958093415047
5,73.2,4,5,0.5801801927347932
25,79.2,4,25,0.6168267347075296
10,77.60000000000001,3,10,0.606318457113159
750,88.4,3,750,0.6634237359402924
250,87.6,8,250,0.6629146837342204
750,88.0,4,750,0.658658430259521
20,79.2,9,20,0.6152693516931926
25,79.60000000000001,3,25,0.617867415880661
5,73.2,3,5,0.5801801927347932
10,78.0,4,10,0.6082722428417792
500,88.0,4,500,0.6578738285864904
1000,90.0,8,1000,0.6712362649253962
500,87.2,3,500,0.6551779346481333
1000,88.8,1,1000,0.6680542415641754
1000,90.0,6,1000,0.6720351716845678
5,73.2,9,5,0.5799618680131572
25,79.60000000000001,9,25,0.6195230450197338
250,86.0,5,250,0.6537720096593147
20,79.2,3,20,0.613724097830058
750,88.4,9,750,0.6602442690364012
250,86.8,2,250,0.657974656073353
20,78.4,4,20,0.6088307939301316
10,78.0,9,10,0.6076902641141052
750,88.0,7,750,0.6601605899619146
25,79.60000000000001,0,25,0.6198068671578606
5,73.6,0,5,0.5819461971498042
10,77.2,7,10,0.6055090384229457
5,73.2,7,5,0.5779726872160293
25,79.60000000000001,7,25,0.6198068671578606
10,78.0,0,10,0.6085732663216107
750,89.2,0,750,0.662887855977404
200,86.8,8,200,0.652764398956452
100,84.8,2,100,0.642606407452787
200,86.8,6,200,0.6529247059048384
200,86.8,1,200,0.6537249690422091
100,84.39999999999999,5,100,0.6417849258908862
25,79.60000000000001,6,25,0.6195230450197338
5,73.2,6,5,0.5801801927347932
10,77.60000000000001,1,10,0.6033383246628278
750,88.4,1,750,0.6596982120160929
750,88.0,6,750,0.6613739093871545
5,73.2,1,5,0.5801801927347932
25,79.60000000000001,1,25,0.6195230450197338
10,77.60000000000001,6,10,0.6063289690442007
250,85.6,3,250,0.6476064677671453
750,88.4,8,750,0.6611794386628823
20,79.2,5,20,0.6149855295550659
10,78.0,8,10,0.6108438434266248
25,79.60000000000001,8,25,0.6195230450197338
5,73.6,8,5,0.5819461971498042
250,87.2,4,250,0.6605605911096191
20,79.2,2,20,0.6128410956225525
1000,88.8,7,1000,0.6609801042093224
1000,90.8,0,1000,0.6759592137075581
500,88.0,2,500,0.6596456523608841
500,88.4,5,500,0.6577161496208644
1000,90.8,9,1000,0.673911015763455
200,85.2,0,200,0.6476808032556595
100,83.2,4,100,0.6365829699467517
100,83.6,3,100,0.6370476083575197
200,87.2,7,200,0.661735060496009
200,87.2,9,200,0.6545330313542236
