n_shots,accuracy,run_num,nspw,f1
1,100.0,9,1,0.006622516556291391
1,100.0,0,1,0.006622516556291391
1,100.0,7,1,0.006622516556291391
200,99.0,0,200,0.7262693156732892
100,98.0,4,100,0.4600441501103753
100,98.0,3,100,0.48344370860927155
200,98.5,7,200,0.7334174287816673
50,98.0,9,50,0.2781456953642384
200,98.5,9,200,0.6949227373068433
50,98.0,7,50,0.2891832229580574
50,100.0,0,50,0.271523178807947
2,100.0,5,2,0.013245033112582781
2,50.0,2,2,0.006622516556291391
75,98.66666666666667,3,75,0.41501103752759383
500,98.8,2,500,0.9786106094053114
500,96.6,5,500,0.9516795198914407
75,96.0,4,75,0.3629139072847682
10,90.0,8,10,0.051655629139072845
20,90.0,5,20,0.11037527593818983
5,100.0,4,5,0.033112582781456956
750,97.73333333333333,1,750,0.9579782773908131
750,99.6,6,750,0.9949542730999685
5,80.0,3,5,0.026490066225165563
20,90.0,2,20,0.11699779249448125
25,92.0,8,25,0.13995584988962473
750,98.4,8,750,0.9775076652560095
250,98.8,3,250,0.7540208136234626
25,100.0,6,25,0.1456953642384106
10,100.0,1,10,0.06622516556291391
25,100.0,1,25,0.152317880794702
10,100.0,6,10,0.059602649006622516
250,98.4,4,250,0.7939293598233996
50,98.0,1,50,0.2891832229580574
200,97.0,8,200,0.7006622516556292
50,100.0,6,50,0.271523178807947
100,98.0,2,100,0.48565121412803536
200,97.5,6,200,0.6990066225165563
50,98.0,8,50,0.29448123620309047
200,97.5,1,200,0.7107537054556924
100,98.0,5,100,0.46578366445916114
1,100.0,6,1,0.006622516556291391
1,0.0,1,1,0.0
1,100.0,8,1,0.006622516556291391
25,100.0,0,25,0.1390728476821192
10,100.0,7,10,0.06622516556291391
250,97.6,5,250,0.7704667297382528
250,98.4,2,250,0.8184169031851151
750,98.93333333333332,9,750,0.9822026823974622
25,100.0,7,25,0.16556291390728478
10,100.0,0,10,0.059602649006622516
750,97.73333333333333,7,750,0.9427202849282198
20,100.0,3,20,0.13245033112582782
5,80.0,2,5,0.026490066225165563
25,96.0,9,25,0.1456953642384106
10,90.0,9,10,0.051655629139072845
5,80.0,5,5,0.026490066225165563
20,90.0,4,20,0.11920529801324503
750,98.0,0,750,0.9712706661295022
500,99.0,4,500,0.954830232313676
75,96.0,5,75,0.35540838852097123
75,97.33333333333334,2,75,0.3951434878587196
500,98.2,3,500,0.9355881425417849
2,100.0,3,2,0.013245033112582781
2,100.0,4,2,0.013245033112582781
250,98.4,1,250,0.7735099337748343
25,92.0,4,25,0.152317880794702
10,100.0,3,10,0.06622516556291391
25,92.0,3,25,0.152317880794702
10,90.0,4,10,0.059602649006622516
5,80.0,8,5,0.024282560706401765
20,90.0,9,20,0.10463576158940398
250,97.2,6,250,0.775801534741932
250,98.8,8,250,0.8052349416587827
750,98.66666666666667,3,750,0.9817869833062666
5,100.0,6,5,0.026490066225165563
20,95.0,7,20,0.12362030905077263
20,100.0,0,20,0.11920529801324503
5,100.0,1,5,0.033112582781456956
750,98.26666666666667,4,750,0.9775313603420344
75,97.33333333333334,1,75,0.40706401766004413
500,97.8,0,500,0.9549511195206559
2,50.0,9,2,0.006622516556291391
500,98.0,7,500,0.9293185907716488
75,100.0,6,75,0.3708609271523179
2,100.0,7,2,0.013245033112582781
500,98.8,9,500,0.9362794674052952
75,97.33333333333334,8,75,0.37836644591611474
2,100.0,0,2,0.013245033112582781
50,98.0,5,50,0.26887417218543047
50,94.0,2,50,0.2693156732891832
100,96.0,8,100,0.43598233995584984
200,98.5,2,200,0.7487228003784294
100,99.0,6,100,0.48344370860927155
100,98.0,1,100,0.49353516240933465
200,95.5,5,200,0.6840973595940484
1,0.0,2,1,0.0
1,100.0,5,1,0.006622516556291391
2,100.0,1,2,0.013245033112582781
2,100.0,6,2,0.013245033112582781
500,98.2,8,500,0.9259890955255194
75,98.66666666666667,9,75,0.3502575423105224
2,100.0,8,2,0.013245033112582781
500,99.2,6,500,0.9630667345899133
75,96.0,7,75,0.40176600441501104
75,98.66666666666667,0,75,0.3841059602649007
500,97.8,1,500,0.9310811034613141
5,100.0,0,5,0.033112582781456956
20,100.0,1,20,0.12582781456953643
750,96.93333333333334,5,750,0.9781055286314345
750,98.66666666666667,2,750,0.9805086687449879
250,99.2,9,250,0.7713024282560705
20,100.0,6,20,0.11920529801324503
5,100.0,7,5,0.033112582781456956
25,92.0,2,25,0.1456953642384106
10,90.0,5,10,0.059602649006622516
20,90.0,8,20,0.10905077262693158
5,80.0,9,5,0.024282560706401765
250,99.2,7,250,0.8147167034584253
250,99.2,0,250,0.8132450331125828
25,88.0,5,25,0.130242825607064
10,90.0,2,10,0.059602649006622516
1,100.0,4,1,0.006622516556291391
1,100.0,3,1,0.006622516556291391
100,99.0,0,100,0.4679911699779249
200,99.0,4,200,0.7253232418795333
200,98.0,3,200,0.6911869587366276
100,99.0,7,100,0.5130242825607064
50,98.0,3,50,0.2980132450331126
100,99.0,9,100,0.45621780721118466
50,94.0,4,50,0.2582781456953642
