n_shots,accuracy,run_num,nspw,f1
750,57.599999999999994,7,750,0.4485942313756881
750,56.8,0,750,0.43003258698622904
250,53.6,5,250,0.39679123304951086
2,38.0,5,2,0.2714309605038081
2,34.4,2,2,0.2766243322534713
750,58.4,9,750,0.45653786784842887
250,58.4,2,250,0.4631425417849256
50,51.2,0,50,0.38647114474929023
50,54.400000000000006,7,50,0.3789084339538934
50,44.800000000000004,9,50,0.3374597440822605
500,58.4,4,500,0.44166348542437744
5,42.0,4,5,0.3059018698021092
500,58.4,3,500,0.4555076986063392
5,39.6,3,5,0.29490219125980704
75,51.6,4,75,0.37195921198311255
200,55.60000000000001,6,200,0.42792865490567056
1169,59.599999999999994,8,1169,0.453211394933249
100,51.6,2,100,0.416681717840658
100,50.0,5,100,0.3768238200357404
75,55.2,3,75,0.40543352574737507
200,54.800000000000004,1,200,0.4168658400969309
1,24.4,5,1,0.1890102724151594
1169,57.199999999999996,1,1169,0.436870598128876
200,54.800000000000004,8,200,0.42311573636076916
1169,56.39999999999999,6,1169,0.44393406252939166
1,31.2,2,1,0.24660892438499077
10,43.2,6,10,0.3208182999503274
25,42.8,1,25,0.2967255334805003
10,42.0,1,10,0.2983245599139637
25,45.2,6,25,0.31128761724083676
25,46.0,8,25,0.3377903920950276
20,46.0,2,20,0.34877010406811715
20,46.0,5,20,0.33808796920675155
10,40.8,8,10,0.28970477645974324
500,60.8,2,500,0.46935091917561717
5,37.6,2,5,0.2918596727839456
50,46.800000000000004,8,50,0.3535582886576262
500,60.8,5,500,0.4699279932723641
5,43.2,5,5,0.32106993931671496
50,48.4,6,50,0.3589072919030064
50,45.6,1,50,0.32427606242175766
2,6.0,3,2,0.05109773228978528
250,53.6,3,250,0.4150577879577529
750,60.0,8,750,0.4561068786757178
250,56.8,4,250,0.4153211394933247
2,34.0,4,2,0.26988940051853955
750,60.4,1,750,0.47103437401450626
750,58.8,6,750,0.45061865805924994
20,42.8,4,20,0.32059270671421536
10,43.6,9,10,0.31631195079427454
25,45.6,9,25,0.3411817027711065
20,51.6,3,20,0.36225090477692157
10,46.0,0,10,0.3246766035332453
25,47.599999999999994,7,25,0.35012351518974016
10,42.4,7,10,0.29009515135342945
25,47.599999999999994,0,25,0.3584195035048989
200,55.60000000000001,9,200,0.4446652653102407
1169,60.8,7,1169,0.4619625775254912
1,25.2,3,1,0.19331112228463226
1,27.200000000000003,4,1,0.21660323333380146
1169,57.99999999999999,0,1169,0.44828655524019734
100,54.0,4,100,0.3864917590556188
75,51.6,2,75,0.3923282015997246
200,55.60000000000001,0,200,0.42977767265846717
75,50.4,5,75,0.3769153951273154
200,54.400000000000006,7,200,0.4091395707812576
1169,59.199999999999996,9,1169,0.4704982655313781
100,54.400000000000006,3,100,0.3957993409476274
20,47.199999999999996,0,20,0.3529459686744453
20,46.400000000000006,7,20,0.33135012154879695
20,44.4,9,20,0.33543167649127886
10,40.0,4,10,0.2829796136797082
25,52.400000000000006,3,25,0.37496382330114864
10,45.6,3,10,0.3300520112066324
25,43.6,4,25,0.3252600040967445
1,32.0,7,1,0.24072850386732675
100,51.6,9,100,0.3949361593233483
1169,60.4,3,1169,0.4792355914872472
75,47.199999999999996,8,75,0.3538205336741409
1169,58.4,4,1169,0.43201408598759555
1,36.0,0,1,0.2716353734565654
75,51.6,6,75,0.38847614100827943
200,57.199999999999996,4,200,0.4172748127948748
100,54.400000000000006,0,100,0.4151332089976419
1,37.6,9,1,0.2778254857725056
100,50.0,7,100,0.36634120110941276
75,50.8,1,75,0.37405989889433583
