n_shots,accuracy,run_num,nspw,f1
20,57.99999999999999,9,20,0.4166960492849738
25,70.39999999999999,3,25,0.45671314273609853
500,90.8,1,500,0.7559565382021297
10,40.400000000000006,4,10,0.28433101277129225
25,67.2,4,25,0.448962845545892
500,87.2,6,500,0.713178719571479
10,42.0,3,10,0.3172691874385555
500,89.2,8,500,0.7335379284132462
20,55.2,0,20,0.4287065123558932
20,52.0,7,20,0.3835759223475486
75,82.0,6,75,0.6695560885171651
250,88.4,0,250,0.6908278018670417
1259,90.0,5,1259,0.7210066827901143
75,79.2,1,75,0.5924046240203512
1259,89.60000000000001,2,1259,0.7223743035153202
250,88.4,7,250,0.7205800053621826
750,89.2,2,750,0.7073166801153659
250,88.0,9,250,0.7055265527094978
75,79.2,8,75,0.5618079753384846
750,90.0,5,750,0.754848846477459
5,34.0,7,5,0.2217503865841462
1000,88.0,2,1000,0.7147447048011759
1,28.799999999999997,8,1,0.2785889157923056
50,77.60000000000001,2,50,0.5479174612474116
1000,91.60000000000001,5,1000,0.734762274254684
50,71.2,5,50,0.4616776302053319
5,40.8,0,5,0.3632881184682122
1,5.2,1,1,0.021341098316536515
5,36.8,9,5,0.3216615845750355
1,2.0,6,1,0.0011534025374855825
2,22.8,6,2,0.2561017307760407
2,40.0,1,2,0.34815476705956583
100,84.39999999999999,9,100,0.6415470123824787
200,86.4,3,200,0.7170888396651345
100,79.60000000000001,7,100,0.5792300268004377
100,81.2,0,100,0.5797411234478709
200,80.80000000000001,4,200,0.6363437332664837
2,38.4,8,2,0.28414337845671456
75,80.80000000000001,9,75,0.618126738380316
750,89.60000000000001,4,750,0.736834815511286
250,89.2,8,250,0.7217636748289181
750,89.60000000000001,3,750,0.7226918887733587
75,77.2,0,75,0.5437457295496314
250,84.39999999999999,6,250,0.6734459081344895
1259,90.4,3,1259,0.7712733381013881
75,80.0,7,75,0.5896639549249563
1259,88.8,4,1259,0.727722967923942
250,86.8,1,250,0.7212240662067652
20,55.60000000000001,6,20,0.4708977144509608
500,87.6,9,500,0.6766712420762567
20,61.199999999999996,1,20,0.4587381016356688
