n_shots,accuracy,run_num,nspw,f1
200,99.0,2,200,0.7440632224369248
200,100.0,5,200,0.7941176470588235
750,98.66666666666667,3,750,0.9655539705460434
250,98.8,8,250,0.7886284338296722
750,99.86666666666667,4,750,0.9548633073301005
250,98.8,1,250,0.8438400722607885
250,100.0,6,250,0.8235294117647058
500,99.4,9,500,0.8941031878338379
1000,98.2,7,1000,0.9449429402333195
1000,97.1,0,1000,0.9269798100350013
500,99.0,0,500,0.9002004473518135
500,98.4,7,500,0.9088409969973079
1000,99.2,9,1000,0.9445564349030666
200,100.0,4,200,0.7794117647058824
200,98.5,3,200,0.7740447461035695
500,99.8,6,500,0.9109216168039697
1000,98.9,8,1000,0.9286689563711679
500,98.8,1,500,0.9438353016092488
1000,98.8,1,1000,0.9915828707985161
500,98.6,8,500,0.866179784719559
1000,99.4,6,1000,0.9770652936409926
250,99.2,7,250,0.8341328384900871
250,99.6,0,250,0.850944902848017
750,99.33333333333333,5,750,0.9338941586589039
250,99.6,9,250,0.8803566675538993
750,98.93333333333332,2,750,0.9193259414679292
500,99.0,2,500,0.8891044284233137
500,100.0,5,500,0.8970588235294118
1000,99.1,5,1000,0.962930491949136
1000,98.6,2,1000,0.9267258050788312
250,98.4,3,250,0.816029573079746
750,99.06666666666666,8,750,0.9043498151709108
250,100.0,4,250,0.8382352941176471
750,98.93333333333332,1,750,0.978149062885321
750,99.33333333333333,6,750,0.9497958346450174
200,99.0,9,200,0.8045157456922163
200,99.5,0,200,0.7918003565062389
200,99.5,7,200,0.8025846702317291
750,98.4,7,750,0.9378079657811954
750,98.26666666666667,0,750,0.9240919993274953
250,100.0,5,250,0.8382352941176471
750,99.2,9,750,0.9123740168930999
250,98.4,2,250,0.8121612806361762
1000,98.5,3,1000,0.9714608485636589
1000,99.7,4,1000,0.9379252495121039
500,100.0,4,500,0.9117647058823529
500,99.0,3,500,0.9769184714865969
200,100.0,6,200,0.7941176470588235
200,98.0,1,200,0.7938814741582908
200,98.5,8,200,0.771604539251598
