n_shots,accuracy,run_num,nspw,f1
5,27.6,5,5,0.15656282525297574
750,82.8,4,750,0.638320718090034
750,86.4,3,750,0.6715962222028965
250,75.2,8,250,0.5581771897978544
5,29.599999999999998,2,5,0.1570073582285859
250,77.2,6,250,0.5269758408895178
250,78.8,1,250,0.583350484604291
50,64.4,4,50,0.4141213353846873
2,40.0,4,2,0.24655825752060134
2,17.599999999999998,3,2,0.10008818119274747
500,80.4,9,500,0.5849415288286619
50,61.6,3,50,0.33504413306817243
500,84.8,7,500,0.6722705535633052
500,82.0,0,500,0.6192697693507316
1309,88.4,5,1309,0.6940851874311611
200,74.4,5,200,0.5510306589597166
100,68.4,1,100,0.4199130688980434
75,66.0,0,75,0.4290936828829864
100,68.8,6,100,0.4148726846540354
75,67.60000000000001,7,75,0.45238626297449835
1309,83.2,2,1309,0.6389871158253507
200,72.8,2,200,0.5217137445751024
75,61.6,9,75,0.37402849043253594
100,68.0,8,100,0.41152990012759405
25,46.800000000000004,5,25,0.2565540132228249
10,36.4,2,10,0.1894142695258314
1,8.799999999999999,1,1,0.04366868969810146
1,18.4,6,1,0.0956066431877791
20,43.6,8,20,0.23619717658666092
25,48.4,2,25,0.25725249634440545
10,50.0,5,10,0.32158291779314413
1,10.8,8,1,0.05034412596936645
20,52.0,6,20,0.353428607239111
1000,87.2,3,1000,0.6628662117837192
20,43.6,1,20,0.20888883330742736
1000,86.8,4,1000,0.6884708197008023
500,82.39999999999999,1,500,0.6481004144247807
500,80.4,6,500,0.6399920271343728
2,25.2,2,2,0.10459968511598394
500,81.6,8,500,0.6197921456810608
50,60.4,2,50,0.3303085643704539
50,57.99999999999999,5,50,0.33561664833075394
2,26.0,5,2,0.13346716004183712
250,76.4,0,250,0.5394664080127022
250,78.4,7,250,0.5816092910246757
250,76.0,9,250,0.5437376422768663
750,82.39999999999999,2,750,0.6309005361604276
5,23.599999999999998,3,5,0.10738430637560961
5,39.6,4,5,0.21571224426252023
750,85.2,5,750,0.6629445045535008
20,44.800000000000004,0,20,0.25220414442667716
1000,83.6,5,1000,0.6674365928949003
1,24.4,9,1,0.1192738598707457
20,40.8,7,20,0.29348921626318886
1000,82.39999999999999,2,1000,0.6211062294107275
1,6.4,7,1,0.013120124082690929
20,45.6,9,20,0.2080189260138614
25,46.800000000000004,3,25,0.2466644877534634
10,42.4,4,10,0.27810586309987817
25,48.4,4,25,0.2850810307533958
10,30.8,3,10,0.14510672322719678
1,31.2,0,1,0.19220797379272883
100,58.8,9,100,0.365611275842124
75,67.60000000000001,8,75,0.40195879329481193
75,60.0,6,75,0.33935391868350356
100,67.60000000000001,7,100,0.44845056329275473
1309,84.8,3,1309,0.6409843001487896
200,76.4,3,200,0.520801329960636
1309,88.0,4,1309,0.7142780164918909
200,71.6,4,200,0.4788059848681776
75,67.60000000000001,1,75,0.4205274588104084
100,66.4,0,100,0.4275429468263091
1000,87.2,1,1000,0.7011156256580584
20,48.8,4,20,0.2983454830716494
10,44.800000000000004,9,10,0.22077673333014455
25,46.0,9,25,0.21818636837019192
1000,84.0,6,1000,0.6652140359899914
20,45.6,3,20,0.2510681085024525
25,50.0,7,25,0.352404885803924
10,45.6,0,10,0.28203676848607195
1000,86.0,8,1000,0.6948425137540081
1,7.199999999999999,3,1,0.031552393684746625
1,25.2,4,1,0.1356092822078826
25,48.0,0,25,0.27980765931032503
10,42.8,7,10,0.26908552181894774
1309,84.0,9,1309,0.6419423808320568
200,76.4,9,200,0.5379132774567237
1309,86.8,7,1309,0.695478450670371
200,75.2,7,200,0.5598231220482442
100,68.4,3,100,0.43077604484100773
75,63.6,2,75,0.4133042830298215
100,69.19999999999999,4,100,0.41270229795990915
75,68.4,5,75,0.4256683858746325
1309,83.2,0,1309,0.6523675258693933
200,73.2,0,200,0.5040120350668147
500,80.80000000000001,5,500,0.6126311987400813
500,84.39999999999999,2,500,0.6495504199696532
50,57.199999999999996,8,50,0.31888058230823674
2,15.2,8,2,0.08405344558564741
50,61.199999999999996,6,50,0.37218374860311676
2,32.800000000000004,6,2,0.24592327219580912
2,36.4,1,2,0.2246598468770691
50,63.6,1,50,0.38639441909034083
250,78.4,4,250,0.5685426643757988
5,34.0,9,5,0.21071356695170732
250,78.8,3,250,0.6032243566915403
750,84.39999999999999,8,750,0.6675552279522566
5,25.6,7,5,0.19781161408756565
750,82.0,6,750,0.6562365315588136
750,85.6,1,750,0.6899179849562302
5,40.8,0,5,0.22113269355916412
75,64.0,4,75,0.40297661200077767
100,69.19999999999999,5,100,0.47523795595336177
1309,84.0,1,1309,0.6706479798170109
200,78.0,1,200,0.5518679292031298
1309,86.8,6,1309,0.6831265980271166
200,74.0,6,200,0.5057799571235143
75,68.4,3,75,0.44630159394138397
100,68.0,2,100,0.5042089199068415
1309,86.8,8,1309,0.6818416668396162
200,77.60000000000001,8,200,0.568124365007846
1,14.399999999999999,5,1,0.06850096609990271
25,52.800000000000004,1,25,0.2816111122567142
10,39.2,6,10,0.2525245130338472
25,51.2,6,25,0.33497259508140564
10,36.4,1,10,0.21810436898606755
1000,83.6,9,1000,0.654627159288894
1,18.4,2,1,0.09357439920739152
25,49.6,8,25,0.24044738320963055
1000,84.0,7,1000,0.6398746842011634
20,47.199999999999996,2,20,0.24547282733522766
1000,85.6,0,1000,0.6787742280985924
20,45.6,5,20,0.2506701972366934
10,46.800000000000004,8,10,0.26002639948104145
750,84.39999999999999,0,750,0.6416312467202556
5,37.2,1,5,0.22278232487813218
5,29.2,6,5,0.1679513110645139
750,82.39999999999999,7,750,0.6369389583097741
5,40.400000000000006,8,5,0.257556222489729
750,84.39999999999999,9,750,0.6733352097693168
250,75.6,2,250,0.5644134090973294
250,76.4,5,250,0.5803378953984645
2,36.4,0,2,0.22019007136654195
50,57.199999999999996,0,50,0.319210836248375
50,57.599999999999994,7,50,0.3789293949233098
2,13.200000000000001,7,2,0.0750925899902882
500,84.0,3,500,0.667297492437405
50,56.00000000000001,9,50,0.32460506175634396
2,20.8,9,2,0.11706243242687042
500,82.8,4,500,0.6306652671802241
