n_shots,accuracy,run_num,nspw,f1
200,89.2,0,200,0.7392969988581943
20,84.0,0,20,0.6957495616864685
75,90.4,0,75,0.7439162173433271
750,89.60000000000001,0,750,0.7507479331895632
50,89.60000000000001,0,50,0.747098796515632
500,89.2,0,500,0.7539059930424453
5,75.6,0,5,0.6195986597355764
2,71.6,0,2,0.5858824145128115
250,88.4,0,250,0.7440026913268599
100,89.60000000000001,0,100,0.7467131551229639
1,68.8,0,1,0.5786993307538291
1000,88.8,0,1000,0.7451662859862435
25,88.0,0,25,0.7437803129427168
10,82.39999999999999,0,10,0.6839823130307998
