n_shots,accuracy,run_num,nspw,f1
50,95.19999999999999,7,50,0.9442797892223808
50,91.60000000000001,0,50,0.9014791881664946
50,94.39999999999999,9,50,0.934850536811321
100,94.8,8,100,0.9448118827771744
1,75.2,3,1,0.6915962056423272
200,96.8,5,200,0.9644029202449831
100,94.39999999999999,1,100,0.9355493308434486
100,96.8,6,100,0.9644029202449831
1,44.0,4,1,0.23072012257405516
200,97.6,2,200,0.9725130478526064
25,96.39999999999999,6,25,0.9587226452630858
10,92.0,1,10,0.9172634532068858
2,45.2,4,2,0.41640313980739513
500,95.19999999999999,7,500,0.9467454467454468
2,46.400000000000006,3,2,0.27441435959841803
500,95.19999999999999,0,500,0.9504883347878649
25,97.2,1,25,0.9678553493135821
10,92.4,6,10,0.9105757858699035
1000,97.6,5,1000,0.9732299447405798
20,91.60000000000001,5,20,0.9065436978480457
10,62.4,8,10,0.5116579832243285
25,96.0,8,25,0.9536118240968602
1000,97.6,2,1000,0.9717113475313504
500,97.6,9,500,0.9734172471073252
20,90.8,2,20,0.8973118975221581
250,93.60000000000001,6,250,0.934965376951611
5,95.19999999999999,5,5,0.9471734892787524
1129,97.6,8,1129,0.9747064422524785
75,95.19999999999999,3,75,0.9453680671799335
75,94.39999999999999,4,75,0.9355493308434486
250,96.0,1,250,0.9549808349592483
5,84.39999999999999,2,5,0.8419302391729553
750,97.6,4,750,0.9736486772842166
1129,98.0,1,1129,0.9782096854336277
250,96.39999999999999,8,250,0.9597147950089128
750,97.6,3,750,0.9734172471073252
1129,96.0,6,1129,0.9557889895551837
100,94.39999999999999,7,100,0.9371962059268562
1,38.4,5,1,0.36177783450510725
200,92.0,3,200,0.9169061407902793
1,80.4,2,1,0.7089525199281298
200,95.19999999999999,4,200,0.9467761912857924
100,96.8,0,100,0.9627072948387222
100,94.8,9,100,0.9419577846069579
50,95.19999999999999,8,50,0.9467761912857924
50,96.39999999999999,1,50,0.9594387939389218
50,95.19999999999999,6,50,0.9438723817845749
750,98.0,2,750,0.9782096854336277
250,96.8,9,250,0.9655712072729985
1129,97.2,7,1129,0.9703308273542387
750,97.2,5,750,0.9686144123750235
1129,96.8,0,1129,0.9651316598991019
75,95.19999999999999,5,75,0.9467028003613369
250,96.39999999999999,0,250,0.9631494854217549
5,67.2,3,5,0.6254790487608185
250,95.6,7,250,0.9528060528060528
5,88.0,4,5,0.872809341363696
1129,96.39999999999999,9,1129,0.9631494854217549
75,97.2,2,75,0.9678553493135821
25,90.4,9,25,0.8913975159692242
1000,96.8,3,1000,0.9635465494430235
500,97.2,8,500,0.9690469765888007
20,85.6,3,20,0.8433034582767203
1000,98.0,4,1000,0.9771285802181625
20,93.2,4,20,0.9190358184247138
10,76.0,9,10,0.7610225436572743
2,78.0,2,2,0.6612806721485199
500,93.60000000000001,1,500,0.9339190974458905
25,90.4,0,25,0.899454214675561
10,86.0,7,10,0.8537031740390306
25,94.39999999999999,7,25,0.9390265470422431
10,71.6,0,10,0.6932604071930778
2,45.6,5,2,0.34224097515236757
500,96.39999999999999,6,500,0.9620851370851371
75,95.19999999999999,8,75,0.9480981048636457
750,96.0,6,750,0.9572497804070057
1129,96.8,3,1129,0.9635465494430235
750,96.8,1,750,0.9639567138359992
5,55.60000000000001,9,5,0.49369103203285053
1129,96.8,4,1129,0.9622967373853073
250,96.0,4,250,0.9536118240968602
5,25.2,7,5,0.15320417287630403
75,96.39999999999999,1,75,0.9584065343601799
75,94.0,6,75,0.9321640314152226
750,97.2,8,750,0.971193273704138
250,93.2,3,250,0.929265630003448
5,54.0,0,5,0.4375431331953072
1000,96.0,7,1000,0.9579627164416961
20,94.39999999999999,7,20,0.9370482807818745
1000,96.39999999999999,0,1000,0.9600858083517044
2,46.0,8,2,0.2918856303328248
20,89.60000000000001,0,20,0.8906390226107429
25,94.39999999999999,4,25,0.9339196281301544
10,88.8,3,10,0.8684047848259172
2,42.4,6,2,0.19850187265917604
500,96.39999999999999,5,500,0.9592551324346567
1000,96.0,9,1000,0.9533023197951609
2,50.0,1,2,0.3314882446929925
500,94.8,2,500,0.9446398814428809
20,89.60000000000001,9,20,0.8859503149519966
25,90.4,3,25,0.8928168097430819
10,94.39999999999999,4,10,0.9374513327343516
1,86.4,1,1,0.8364183299299564
200,97.6,7,200,0.9725130478526064
100,89.60000000000001,3,100,0.8884076325565688
100,97.2,4,100,0.9690469765888007
1,49.2,6,1,0.33031416735174174
200,96.39999999999999,0,200,0.9609406070944532
1,35.199999999999996,8,1,0.32130299820111635
200,98.0,9,200,0.9782096854336277
50,92.4,5,50,0.9187086870792084
50,96.8,2,50,0.9655712072729985
1000,97.2,8,1000,0.9690469765888007
2,48.0,0,2,0.31727536595042705
500,96.8,3,500,0.9651316598991019
20,97.2,8,20,0.9680366383155891
25,94.0,2,25,0.9337236637835441
10,64.8,5,10,0.6591016408394692
25,92.0,5,25,0.9113829767424537
10,76.0,2,10,0.7639008899228242
2,50.8,7,2,0.38321333838575217
500,96.8,4,500,0.9631537679122394
1000,98.0,1,1000,0.9782096854336277
2,27.6,9,2,0.20216649005062992
20,96.39999999999999,1,20,0.9612014567829231
1000,96.39999999999999,6,1000,0.9609406070944532
20,93.60000000000001,6,20,0.9257655266605481
75,96.8,7,75,0.9629021468101927
250,96.39999999999999,2,250,0.9592245407647235
750,97.6,9,750,0.9734172471073252
5,92.0,1,5,0.9147461435421925
250,96.39999999999999,5,250,0.9584065343601799
5,87.2,6,5,0.8596790385921399
75,92.0,0,75,0.9035297287556858
750,96.8,0,750,0.965353743836716
5,57.99999999999999,8,5,0.4755760368663595
1129,96.39999999999999,5,1129,0.9628045634991823
75,96.39999999999999,9,75,0.9587912393320409
750,96.0,7,750,0.9567917804370708
1129,96.8,2,1129,0.9639041006306476
50,98.0,3,50,0.9782096854336277
50,97.6,4,50,0.9725130478526064
200,95.6,8,200,0.9501803751803752
1,37.6,9,1,0.3519595116515382
100,93.60000000000001,5,100,0.9299260946770526
1,42.4,7,1,0.4180634540172001
200,94.0,1,200,0.9374535511120877
1,34.0,0,1,0.2993109760758695
200,97.6,6,200,0.9736486772842166
100,97.6,2,100,0.9725130478526064
